,MGH258,UKF248,UKF251,UKF259,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.05464950256458936,
BMP1,-0.03955190060669942,0.1006683505700348,-0.015396438714888962,-0.00599135463709667,-0.019347084349888754,-0.0023247647772587504,0.05223694395866607,0.14154736366554413,-0.060665483833832606,0.009293765437797384,0.028443540556650278,0.19847526896497847,0.12543011739185916
NDP,0.07276543070272123,-0.03917570176646378,0.03412333119345518,0.008748074495387639,-0.02897798363160818,0.030900652531591404,-0.020704672672031656,0.14118500604940817,0.038773366825074616,-0.024406670223689253,0.05378353551804602,0.011493993613607477,0.02209936349445782
TNFSF18,0.03265818220373829,-0.001516509843516133,-0.039483697695139826,,-0.01433915972666538,,,,-0.03128376052560517,,,0.06817125819860297,0.08075990780250245
RTN4,0.049083819310742946,0.01695308390499355,0.0007128726586441397,-0.012239144740498965,-0.00630174428482985,-0.0535262747897206,-0.13447012818067897,-0.05737056261490612,0.08803125816212302,-0.028223069236423495,-0.024677436274424983,-0.005839826011246068,-0.08191702892771938
HEBP1,-0.022931213890500818,0.05815532798890315,-0.007568900228476295,-0.003649459368155783,0.02493156771968527,0.03440908052584962,0.000776889949957137,0.0010390610016802232,-0.05421854723078955,0.04602795006822194,0.06054614321101127,0.040274988060824905,0.020510212926414875
WNT7B,0.045658506612473004,-0.028733532835020267,0.029282084851279987,0.11034594447859025,-0.027004059180671967,-0.017000928863967788,,0.04262292076297547,0.12516208045311314,-0.013117222456587455,-0.026766382020620334,-0.0001371900089087273,0.029675685244217338
PTMA,0.06933314927228885,0.06046873647233192,0.06915262592663717,-0.009919384694758069,0.0061358732929066425,0.054090814414089944,0.07004217540880367,0.17407135582925534,-0.027489527318662655,-0.08096400606713137,0.020345078762384887,0.10348000306748036,0.031143838738100775
FASLG,0.0323243515054109,,,,,,,,,,,0.07354836769093456,
CEACAM1,0.03404002471720625,0.0354574800902608,-0.018822267513095115,-0.02316471844348766,0.014343432229281174,,,,,-0.03053902827498547,-0.02156122482088231,-0.008244655934296906,
PDAP1,-0.007965734032005558,0.021021775661815116,0.04809366514561321,-0.015290345128587027,-0.027694077652601606,0.018267243640711806,-0.0274645711799961,0.1211415670912747,0.017344773022378867,-0.006248627066513019,0.04313654200135679,-0.038295890536125796,-0.042572581867269275
QDPR,0.1348162145582969,-0.017521797489189934,-0.0008796385241470707,-0.023049639712925077,0.04602874831094096,-0.03533499525366474,0.0718347588592264,0.16283292159754642,0.11274909781793731,-0.12191406780112837,-0.025534405694521065,0.03773591537114733,-0.012146567327180068
POMC,-0.035923584736585044,0.03894571294543237,0.06382394711399243,0.02354966914185914,-0.016638027032781447,0.00942624033844622,0.03152023449232953,0.023696759605698413,0.051233241987889505,0.16578843259040352,-0.0010741865470187116,0.029830417748997553,0.1391156050299784
CCL18,,-0.033524809074748266,,,,,0.05966212229653565,0.1105431143112549,,0.2090524270119054,0.04069764718472567,,
CCL17,,,,0.0950056936885658,0.028522911874904404,0.19764364138631282,,,,,0.1566518380153636,0.12904467758469335,
VEGFD,,-0.033524819720445354,0.04828335280859731,-0.02463534263114879,0.03750706462405334,-0.01543484321032925,-0.021300069243895183,0.0324073158934631,,,,,
TNFSF13,,0.02778203809536144,,-0.015252444944780915,,,,,,,0.04933752078101284,0.10347015273757418,0.05095601012709648
WNT5A,-0.02923358892584232,0.0137775298406007,-0.019140740569293633,-0.005271196734565779,0.05994505523132093,0.03458565682616283,0.02539053039167287,0.02513677116782859,0.08004345147863534,0.05223531003364149,0.04444210392308191,0.10486761891709175,0.05770471815387459
CXCL8,,0.0077738634459174295,0.0385309003590015,0.045041824043388926,0.0388074751557863,-0.01437359712675326,-0.00043891717146999964,-0.011767331202759006,,-0.03812294015933694,-0.030469950368050985,0.013794305772642158,-0.0038167904566016276
GRN,0.10747681411220326,0.057230348876275476,-0.02122149501233661,0.011293205677520152,0.016029577723220546,0.05974036612460276,0.06252836225509177,0.05035383433121388,0.11797655021233437,0.09725322515212287,0.04120182729248405,0.1610294059893737,0.12894892496401583
MIA,0.006842896557402379,0.007971882239051563,0.01696882760068113,-0.0048906262312268705,-0.02730994598338707,-0.01755388360403616,,-0.002311363974013572,-0.004758020444150008,0.01590053073406041,0.06240104533292285,-0.07139788493734386,0.0649537731944525
COL4A4,-0.03496415102068911,-0.040263023317543556,0.01881405302225055,-0.029748339971863092,-0.018671161079281965,0.010718494411326624,,,,-0.02737574431870247,-0.02965701623070441,0.13475363401308707,0.030855202352794348
TAC1,-0.030190374197437083,0.01698310715353428,-0.007753728773030827,0.006828036218767388,-0.006147366580014716,-0.007670940242900158,-0.06454116952089956,,,,,0.017069091064052456,-0.09896782896182874
RARRES2,-0.09896441603968291,0.0244407051942637,-0.041813990067941086,0.005113463019285134,0.08016117390939344,0.027519407488554175,0.09858380164041153,-0.12281343844031767,0.035713703253316714,0.04253330694016544,0.012986113578353952,-0.018835796405216113,-0.06659394499361462
FGF7,0.06355059769153902,,0.03574704753835575,-0.0004921350622025059,-0.0015902488838844518,0.04221196547707738,-0.049449865294676265,0.02767272616838288,-0.007545741904186627,-0.032923828084283756,0.01912271443299306,0.020892056958763297,0.10735895061992866
HBEGF,-0.03251765559543049,0.02706023970989029,0.028385339445654793,0.03535829616228641,0.0009329609887238283,0.026791515291078007,0.0024246407705356523,0.11749548881915217,0.040863933945470235,0.12163844096972334,-0.07147391871347805,0.011432748160689005,0.18762382069433226
CSF3,,,,0.054912582017985795,,,,-0.0389895769921764,,,0.0349553548249699,0.054621909756165515,0.029568304968511462
PI3,,-0.035269512611395056,,-0.03174847537867667,,,,,,,-0.009981736016324723,-0.08641425863411077,-0.09045222517374754
PCSK1N,-0.03739721731111919,0.004218916670557258,-0.0009333322924363187,-0.0367823217042027,0.03337565757911078,-0.009251889401080576,-0.08222300744328793,0.04403500570416803,0.01642302174781162,-0.02573377899062081,0.008484097126367605,-0.05065168718101595,-0.07034897925476374
NTS,,,,,-0.007863549011943773,-0.027669720960687004,-0.019176904478915832,,,,-0.03568548143762317,-0.02960951215437445,
SFRP1,0.04217561471839658,-0.0359602617107754,-0.0693842577998311,0.05704493977499,0.05499691377128503,-0.02104238430983354,0.07529413959545803,-0.005257768671317081,0.052628988735517544,0.07467245298539582,0.08785614532118328,0.05185924954641241,0.001912689923222429
CXCL13,,,-0.038456844362862216,,,,,0.09131159834888014,,,0.04652502573378774,,0.10762437163534816
MICA,0.015401300271913415,0.04524928900569817,-0.057429954816679056,0.0018377518368203997,0.07328836588085476,0.016475863791721328,0.033404610331557005,0.04093367002349543,0.04344249835444685,0.1031047607526837,0.018930934592863585,0.1164507483716371,0.046371639743239206
TG,0.04547765730077136,0.004493820054480723,0.037962847356821004,-0.020820936118752874,0.012233052766151461,-0.015228281992562522,,0.014739737210434712,0.09817146854451188,0.0076089042605592795,-0.02032541737971956,0.06489733711575682,-0.04665549152904811
ADA,0.028738065936546753,0.09709577276818446,-0.05287481156727686,-0.0036259870327914824,-0.005972163914291673,-0.024731954615174495,0.026937212352420994,0.14726587850584433,-0.0005790356582809403,0.06411741794381867,0.04219608070644235,0.20038493789938602,0.11560815880233669
LAMC3,-0.027759696103444777,0.06969482860886639,-0.023880279628407625,0.03270797632255497,0.035655706204538076,0.05993640942445457,0.042890636524653254,0.0802110270596305,0.03801377150755969,0.10380222746880284,0.024194098346534618,0.18175975502916641,0.1762368470462585
CCL7,,0.04293038267774812,,-0.015053503547638514,,,,,,,0.05470492065780875,-0.041678606934602035,-0.05268232246644935
NGF,,-0.017218957179018106,,-0.00048514767991576465,,,-0.019176917105635065,0.16593271736705134,,0.16274175052165427,-0.009722606918646933,0.15388885948380537,0.019108105877294692
TNFSF15,,,,0.01788655482548269,,,,-0.024829328993919753,-0.036954306195573175,-0.0324962912124873,0.015413899235553972,0.128911847561643,0.07352966841944361
HMGB1,-0.014480407085249256,0.041613166857502895,0.04656388390392591,0.03416268987481776,-0.09048993288747072,0.027711857903140347,0.11082006880537276,0.16591433729911165,-0.01790425346216009,-0.01589616969899002,-0.012051789805162407,-0.15054638498949457,-0.07039432301613471
ITGB3BP,0.028991682103032358,-0.03236005285530971,0.0198480330637162,0.012005225949855479,-0.009050292743643419,0.02584881739409765,-0.027942419687264908,0.03789514837141295,0.0941876894949115,0.0164120826442174,0.03462477921771975,0.029739870516062545,-0.07942205395413965
AANAT,,-0.009135811211223305,,-0.015252446572645333,0.1360024659749798,0.16053498973771219,-0.01802912235555715,,,0.09949665480487171,0.06620480426305471,-0.04409770422550231,-0.037908580175649534
RELN,0.03416852092042169,-0.009372845194406766,0.01949182566977411,-0.02647483154032946,-0.027066343683479054,-0.024028297658259465,0.037047167327830026,,,,,,0.007264257442148715
IL15,-0.027708057342384917,-0.02731180209628844,-0.022513460502004763,-0.005834798979641426,0.05789827519846331,0.017036480468843956,-0.036945698794613215,0.05939056620364438,0.08310672431267532,-0.0381230397970246,-0.03684728796148005,0.1939685466440152,-0.0018198720301332788
UTS2,,,,,,,,,0.07925929700827183,,-0.017127434892735823,,
BSG,-0.11945267010410637,-0.009995013408808833,-0.02571767849444096,-0.02672286057102445,-0.03263514845750079,0.033278248317312194,0.03509343395519749,-0.016667410379913917,0.01756847263718594,0.0665178631524272,0.018660966179827994,0.07576290541967919,0.05916464301497656
ADAMTS3,-0.09141598049508674,0.008191762931267076,0.026207643028694282,0.0016114148351849989,0.037346516314302566,0.015683258810658744,-0.00947053977346357,0.04039517653894141,0.07943312947602713,-0.0015236633476530044,0.03415759866405677,0.02251691887288786,-0.008348898330598247
