,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.017312738877415173,,,-0.015471712642977902,,
BMP1,-0.08058868293894389,-0.009228089360245415,-0.007256661147748648,-0.022103357460157805,-0.0527802061866115,0.04140371635992591,0.003673310078513701,-0.02877999700554312
NDP,-0.012127542009497672,0.027833864484996553,0.02276176767870036,-0.03476282115512898,0.03355459162743715,-0.018737316309311053,-0.005225536299869725,-0.0005755191623020541
TNFSF18,-0.04352269688758497,,-0.01785432201649142,,0.004080772672715118,-0.026098013170412653,-0.030906820751268733,
RTN4,0.10937167339773503,-0.008877613011479957,0.019382927386892724,0.02064528434545251,-0.018450029181424615,0.03778146755273645,-0.06584054664048096,0.05193950685449656
HEBP1,-0.027979448228919127,0.05587091361104481,0.08045533637738518,0.027899196006857887,-0.03324927376427272,-0.005327943176212029,0.056779598672065654,-0.09850554195801492
WNT7B,,-0.03299707049573514,-0.037334831713551515,-0.019769036204434782,0.0038571459603493957,-0.00836554859928753,-0.05153936232388768,0.04862084770431426
PTMA,-0.026503282197360714,0.026825849895260538,-0.024424660740595038,0.022629613525036466,0.03012775636271617,-0.0049453307893904865,0.10579901454150198,-0.09374452236156715
FASLG,,,,,,-0.013418611097003697,,
CEACAM1,0.09092031964786429,-0.018489886075878367,-0.025654796721250282,0.09845429615169538,,0.07041751997569051,,
PDAP1,-0.009142045587953186,0.01922131791999606,0.013459000929898058,0.029980903364152777,0.04189591187672213,-0.004400850277029266,-0.01917210843215446,-0.0205036267431851
QDPR,0.037055972588186784,-0.053458031537477996,-0.008456327084397586,0.05394934261242475,0.01916354666827532,-0.03848258975940084,-0.06806874071929254,-0.0025317808052137602
POMC,0.004500357852364261,0.12875103648527175,-0.014761423539030935,0.04792949486110895,,-0.002600616435862025,-0.04278936402719336,0.09024078008313553
CCL18,,0.006745746796230741,,-0.045185376589196635,,,,
CCL17,,-0.01311767923519362,-0.022825846139179977,,,-0.012162463786148972,,
VEGFD,-0.04160525301274267,,-0.0031454295214311274,,,,,
TNFSF13,,0.07624620218612162,-0.02447776807485139,-0.014734000053140904,,-0.01981771957992552,0.014376159384576297,
WNT5A,0.014241463574362304,-0.012007592426361376,0.08487626602237121,0.015320465092585521,-0.012494271432716782,0.048083114832616305,0.07566317177238799,-0.07571735420545196
CXCL8,0.05914238960249327,-0.03855589106222432,0.14132185407359713,-0.008298118568108736,0.03495977193190827,-0.0045592218375622735,0.06525204843492499,-0.0660753582924943
GRN,0.008466057331330904,0.11439917057759075,-0.005832456239583354,0.0077702174383570445,-0.0034464228533483293,-0.02128987133410554,-0.06544641843963833,0.008700177029884234
MIA,0.13335212627314663,0.006206394787139491,-0.04256984704443404,0.05225214465677942,,0.08056759637790649,-0.026365629081098015,
COL4A4,-0.003089611935244765,-0.03466061875221174,0.12285174267659249,-0.026443343676556694,,-0.03571733270821176,0.1679481680338005,
TAC1,,,,-0.022637457497879786,-0.017519160317599973,0.16261506716536117,-0.051160162051867526,0.02429627489536278
