,MGH258,UKF248,UKF251,UKF259,UKF260,UKF296,UKF313,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.03503248795690973,
BMP1,0.02655892602871144,0.01766959763448898,0.027529766810911068,-0.044471635359674376,0.07147001409495748,0.026124897998030062,0.010246848763949892,0.07506068699290128,-0.017927488331040835,-0.04050659665644729,0.12317146698930706,0.06663031993278888
NDP,0.051501437493515684,0.013833125174643073,0.015507884097289771,0.045643292949989984,-0.004470680464834948,-0.021759849302715847,-0.018589125334639987,-0.0678887615042451,0.032627698704781986,-0.027647087848955386,0.00038228283534695996,0.03542611987336498
TNFSF18,0.14426440136785698,0.05667258397210455,0.030119549675725454,,,,,,,,0.07634182447552561,0.021633735982514113
RTN4,-0.027426450981360477,0.045159682565011704,0.04532192547936297,-0.011252491548621568,-0.04123090097918305,-0.030166162639261168,-0.08327719127721549,-0.04301056940940715,0.029848878122298465,0.02747512377650647,-0.12418482668884238,-0.0802877614503993
HEBP1,0.01819364247654891,0.011835342049081396,-0.0006078280850315262,0.03266540717121967,0.015431655195605172,0.01810202818383993,0.02279596518194363,-0.038449229659107284,-0.012166851832024383,0.04825985666627975,0.03700377450773418,-0.03192473901077581
WNT7B,0.10280199239032714,-0.011469528675328074,-0.01975488616285528,-0.006573593089908017,0.034501020829825264,-0.011246855396774986,0.03118031051662072,-0.031398357092730395,-0.03732251497368611,-0.027464030079571235,0.02209413612669355,0.0481276518023097
PTMA,0.012794778681065218,0.012971265490749704,-0.0028820296425074556,-0.035432037336511325,0.10790639467940327,0.012788262704825528,0.09169854500499029,0.10721416980141756,-0.011332562296724689,-0.0024336878218652615,0.06125663708028046,-0.009781808229410199
FASLG,-0.02197965318045499,,,,,,,,,,-0.016992076890890027,
CEACAM1,-0.030518940800111315,-0.01854773275406515,-0.01516068695359664,0.05726153505707374,-0.017345626840248343,,,-0.028158549559180037,-0.018081020908524096,-0.018228276192437977,-0.021401647673620135,
PDAP1,-7.159385151616523e-05,-0.02024080968476336,-0.02164797276448914,0.01482328663485524,0.0885494948297473,-0.0027465468056730685,0.031260789553012494,-0.0014268640944770762,-0.04200793216263008,-0.0542544346896867,0.007279769826606095,-0.07342431530639758
QDPR,0.04921603406191363,-0.044352352556626604,0.013749719684674698,0.020335072041548604,-0.027601654655911124,-0.02960249300954287,0.01964855047657791,0.014341814078617397,0.06857075998545717,0.01936359095639905,0.010629944084066926,-0.05178966796310819
POMC,0.006581368356351747,-0.018078200871244798,-0.01468948719808859,-0.019964744091866483,0.009825671473656285,0.049574382788131185,-0.028582756214329146,0.0617583118353796,0.06962057014625377,0.022697261955684594,0.07378765251450468,0.07550907909600527
CCL18,,-0.023145818012587863,,,,,0.10511876727808919,0.12261774932250698,-0.022016444089201267,0.036051230042281515,,
CCL17,,,,0.004555452623335119,,0.006470863186160872,,,-0.02610108879771137,,0.0344353254954569,
VEGFD,,-0.008127883261949546,-0.007013862248259083,-0.01296659139415488,-0.016595313683299195,-0.010210821482018302,-0.01931166551210328,,0.06990494500793541,,,
TNFSF13,,0.02206724601899445,,-0.015464353011710617,,,,,0.0781838947138864,-0.020469132458824167,0.1588381731255366,0.04117319403954542
WNT5A,0.010010608717945358,0.04746364152667062,-0.032950870517668304,0.02768322715951097,0.029293878409290694,-0.009098679996297418,0.025067511487415244,0.0018369787001671087,0.03308948254658809,0.10912509304862535,0.06261344829912588,0.010742737813764504
CXCL8,,-0.06361466564228208,-0.02033230405861681,0.0004117892093095847,-0.031872440097618034,0.049962811021852745,0.0476750041208401,0.04834699341908146,-0.08154216365838145,0.08796136751966828,0.00016520347107379756,0.0765099883513825
GRN,0.011117035366011765,-0.004646317258626867,0.008239169853433974,-0.03451881193228373,0.009838493439233353,0.008501646841642927,0.006292723256943709,0.044698770869208565,-0.008607306711473462,0.0016968867167952548,0.10494776671809361,0.008138265319589775
MIA,0.05120175045931854,-0.0038284408915847065,0.09699630248409995,0.07444647258378399,-0.03309041663774676,-0.011612659056814467,-0.026190087831497455,0.051762293222552734,0.031155978764922043,0.0031970148467884616,0.0281451908808988,-0.0352415991488672
COL4A4,-0.025455116589441117,0.01138267316102629,-0.03247616484880286,0.0251779245874992,0.014015780988977454,0.010515926218363024,,0.08589816993153154,0.028173199274947484,-0.03673627680313902,0.13262468237856076,0.09728649715599749
TAC1,-0.021979641222230065,-0.055314109748945496,0.023393420414103774,0.026710150899107568,0.004724036858805477,-0.011794750320941318,,,,0.04359692942791938,0.03818975251810729,-0.10936882032536344
RARRES2,-0.05110451592481933,-0.03015923146956629,-0.0429142872234328,0.06817492914118187,-0.027105317900167618,-0.021753111245179885,-0.062494188845369815,0.02164377602954889,-0.041647260760494235,-0.0036203260076675247,-0.09439229197317144,-0.0028250119606189465
FGF7,0.04647248490017173,,-0.02450898913772244,0.030371068100549077,-0.0317751993220763,0.06482165050725111,-0.022466208117456397,0.062291473380291784,0.016905717490075568,0.00798838015795472,-0.07661698119791009,0.037835998259722656
EFNA2,,,,,,,,,-0.017184800335994444,,,
HBEGF,0.040471116820859424,0.04059427892741126,0.01245728076294128,-0.028496683126830416,0.010256867292814203,0.0884567284151477,0.05975334337217964,0.02038486566091623,0.006107267326544285,0.01913990989930903,0.03482688472578902,0.04760474002876337
CSF3,,,,0.005350424348588145,-0.05529121211187702,,-0.029012421822382076,,-0.01231616670664087,-0.011891663275749871,0.02994646600507722,0.002710691690703563
PI3,,-0.02435037641753229,,-0.03391268814878074,-0.0509077354788397,,,,-0.08753208115746491,0.017167589215468966,-0.015256489276326418,-0.03572642197403374
PCSK1N,0.0659486526379491,-0.02354640297729831,0.030376587081338613,-0.041808656172718575,0.02339083057529519,-0.033263006859425764,0.022966396674033152,0.04730665844208801,0.05919750146410383,-0.047645155878527246,-0.05351946705488219,-0.11116771858741262
NTS,,,,,0.005349112983330784,0.044608562879486925,,,-0.020936418162859672,0.043055126926113824,0.020290683274778343,
SFRP1,0.01185254527600313,-0.014477536541645622,-0.0074049482488031775,-0.019561733198032255,-0.018932378988862287,-0.013920454313390451,0.043650458375966886,-0.01168628214585827,0.01958213822636035,0.009244589265002663,-0.03102140364119917,-0.027249207477078236
CXCL13,,,-0.02726637149889709,,0.11907163094710616,,0.05870430243075935,,-0.04415265093510466,0.040358455956054036,,0.1042946232108177
MICA,0.06318989107980914,0.015212492966672847,0.047911101517252294,0.04486388626768868,0.027176303974176533,0.012619416527719036,-0.0343648490843623,0.11414222876873183,0.03565926628493615,0.02445966619298492,0.061615479292639476,0.039919573449250664
TG,0.06508323036026846,0.04110055230180472,-0.020615479616414387,0.034730467703279796,-0.0011135650168026998,-0.010074172233886458,0.10908109248993784,-0.010694453015751086,-0.00979739377463749,0.13644877647669415,-0.027201389613260865,-0.0020720994758216403
ADA,0.048299329092299254,0.04914188743461729,-0.04258883608705429,-0.010161718162872906,0.007972094984897093,-0.016361265873301892,0.09644928595506809,0.0391972806822473,-0.0405846938685115,-0.04703954789296285,0.13769290792588584,0.08505640878239212
LAMC3,-0.013289088807168876,0.04461263508918071,-0.016516245854235865,0.031501576495750326,0.06245528067133707,0.08324505634751835,0.07098587405204328,0.11119544098668396,0.049039547828525,-0.05173134049374732,0.1092223102482836,0.04421438012444032
CCL7,,-0.014722695562985869,,-0.0152626476454437,-0.024875252109246185,,,,,,-0.030383654049453295,-0.04238157959898271
NGF,,0.03016894357531119,,0.059174311025088605,-0.026551742577381646,,0.06692281293675653,0.019496813586685802,0.029964834661885247,0.03340107017846105,0.07555930033162743,0.021525072012239393
TNFSF15,,,,-0.016995704639735532,-0.018417552249443456,,-0.018475680474370055,-0.029963246320639708,,-0.01622797288601003,0.06741051691455441,0.010946609715133393
HMGB1,0.05586011487310006,0.01658566212507818,0.023581729768014467,-0.003365666208995959,0.08664541835700741,-0.013825539450965532,0.05637277380503579,0.018869772750222124,0.025965843770793848,-0.003941421613883273,-0.08263060452240811,-0.05328413292421367
ITGB3BP,0.023203527594467515,-0.0290469050975551,-0.001084541233936174,0.0023296920042372485,-0.04435199740691873,-0.062028646925921124,0.05686754384953751,0.03718858233335754,-0.01831327723979126,0.006703972740080977,-0.019012630206843965,-0.05849446391095319
AANAT,,0.01138757862382467,,-0.015464354662191579,0.02783165538791564,-0.011612659702740214,,-0.020794253795089583,0.05143823601759257,,-0.03214717304887701,-0.014130617190953949
RELN,0.17864315063493602,0.01791151873649834,0.06283854673167755,0.016903702172896058,-0.04995971310542976,-0.0390274752982522,,,,-0.01960163258310031,,-0.023068907966382814
IL15,-0.04206568241575951,-0.015500544050241186,-0.026263805632859665,-0.0079480783737817,0.0004187939789612865,0.024331604853116775,-0.04344343667940282,-0.015773088817903153,0.038914204549310515,0.06988149478916035,0.09891826628844168,0.007033000314611092
BSG,0.009974878651113636,0.021506323956307784,0.00509665150564035,-0.004074477044651271,0.005618591369782135,0.006119211857426717,-0.07146198303190383,-0.009544565264510843,0.006207165898980559,-0.008725974921705458,0.014600672309306992,-0.026069994386363416
ADAMTS3,-0.032964008786595965,0.04531610121747827,-0.026770433236365087,0.1052958321631238,0.024947200739772347,0.023699483535385892,-0.0038704465340961367,0.0308992889214565,0.01067089903681602,0.047464982810300954,0.018773181394001713,0.04623823100078781
CD34,0.06364606163305107,0.01806864722831538,-0.01912871578548635,-0.039598041632127406,0.05692703923479559,0.0044276650015571,0.09167721145291703,0.058468740056890685,0.01780932432600591,0.00268388871860034,0.13837998348379377,0.018849279294784766
