,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.09980635231470529,,,,,,,,,,0.020211521074621326,,
BMP1,-0.008477014402307676,-0.015683771649059226,0.023032432546859626,0.019068298700704953,-0.08593151452594665,-0.03410106080592101,0.006360346804429751,-0.10257625824751664,0.024663446965032122,-0.10153199822011322,-0.18692254301453795,0.12420682806805082,0.024274120360470407,-0.05207854586138915,-0.08837904616016892,-0.021767331884493823,-0.045461728048943814,-0.017492359122373353,0.026507907230904012
NDP,-0.0578936019883882,0.05868803372756348,-0.04087847314337617,0.03255344172421475,0.12334394531175576,0.03233851563220425,0.04128259893282441,-0.0010252598290363074,-0.004375882097823417,-0.07034755674884306,0.006067065936142654,-0.04663512496219248,0.0774609589157238,0.017282968327447454,-0.014455332684794748,-0.0654894132742361,0.05618645002666337,0.03170484264220957,0.020788208619018773
TNFSF18,-0.02233791290274666,0.06477791830425338,-0.02739773059224591,,,0.06884856592815379,0.007158535445482702,-0.017396005915870143,,,,,,,,0.18104902845101406,-0.034374025562919464,-0.02267761050761188,
IL36G,,,,,,,,,,,-0.022846508567952124,,,,,,,,
RTN4,0.13118716149364448,0.01117247059174167,0.08536874870966524,-0.008378679027765236,0.1594656428475687,0.06866028772655713,-0.03389955034157027,0.0630213667944648,0.09224650083797406,0.2312426094605638,0.30014183780230286,0.008085979869161685,0.018497161742972397,0.00861606951332968,0.009925881228231292,0.017071441121394765,-0.007699388703081964,0.2769725371739301,0.011778084965722852
HEBP1,-0.053997179017733335,-0.005888399371006132,0.006863241818147603,0.0034066107184763856,0.010093763136763998,-0.0027846050628986016,-0.056618117378508186,0.010264092445523386,-0.006834503962678332,-0.15459187699922114,-0.02851159498834574,0.035959111633026175,0.06878864560506966,-0.05703144335671834,0.01638521392455522,-0.004454445138986971,-0.002208702581817344,0.06161323128658809,-0.03599965185758051
WNT7B,0.17215591247509618,-0.04258447883345666,0.060176773092744724,-0.022423414113495913,0.056747092163820206,-0.0341092701816305,-0.05183983852323653,-0.02501477851183671,-0.03111217940108128,,0.031406116606254315,-0.05455773960633278,0.04185607552171298,0.016970001249008514,-0.005744934458187677,-0.03732009211640264,0.07145494014487604,0.06381102671680018,-0.05901815879310216
PTMA,0.024062979978203097,0.060502123800916185,-0.003740115083834661,-0.015746186638114047,-0.13708394047037484,-0.06440069429249717,-0.005392811525685199,0.1321816798029651,-0.004170731286227078,-0.3348529243175845,-0.28780165769819205,0.055364955432823576,-0.073242540395637,0.0022210067854310494,-0.03811471362561111,-0.10746307188976126,-0.06324712578600726,-0.06886198184037043,-0.17133303049977344
FASLG,,,,,,,,,,,,,,,,,-0.017673823591682503,,
CEACAM1,,-0.0344446267524786,-0.0130607679767146,0.030716698577844894,-0.023235676819996276,,-0.023018316063231615,-0.0061856952665924605,,,,-0.04108334605943773,-0.01674137570337489,0.0311728813135925,0.03947619016307375,,-0.024590529715635745,,
PDAP1,-0.02206842278450007,0.014535982042724155,-0.04179435980856139,0.02159117719030801,-0.04393142896029666,-0.10046914311923877,0.0349969920552674,-0.001724882253591094,0.009383662121805744,0.0676204244283349,-0.11974946049804572,0.029986727493475016,0.015406023152535012,0.03197270341278351,-0.013298566748701132,0.007469470602372684,0.0631560444923937,-0.001394766871152864,0.038921098735307934
QDPR,0.0887130819755601,0.0586935430699149,0.033500683220544086,-0.020569775241746056,0.18799649136646934,0.11732760374386385,-0.05929106082198612,0.05620018292371504,0.06351291257287567,-0.26424533438043507,0.11843682256614722,0.09486234649374174,0.028465599867226042,0.05580002041233492,0.11870004839958602,-0.06661413376971428,0.06863325845236384,0.16383434803598018,0.01791028719841824
POMC,0.08457078286790473,0.033401207021725506,-0.023206900945772522,-0.024112253276654304,0.09080618918316631,-0.021194368901724814,-0.04920899005899504,0.03548966633338288,-0.0038758622040918444,-0.004614507573292764,0.04385550794228174,0.02996420074210393,-0.030466038704422646,0.015628853460309667,-0.006821121275376633,,0.030619029277708206,0.13009545715379897,-0.04848607394691676
