,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.024469123289982228,,,,,,,,,,,,0.043272312433506085,
BMP1,0.026979515646940466,0.0996380960061797,0.12210667056086111,-0.035258451785584614,-0.10609647821904185,-0.03118134322085469,0.05233501918910828,0.05955120556497343,0.27979305801720405,0.05596681027022727,0.17689354485289055,-0.0025545380659660827,0.0025668910294999662,-0.008646306914739686,-0.0062755139644284,0.08675433817408504,0.12882513121475714,0.09650532830565747,0.0887076907878453,0.06142793717758838,0.03284679229019342,0.10419649941335153
NDP,0.028150302408015217,0.06352794746026583,0.08339582121808022,-0.007362444113075181,-0.03761573093949423,-0.027847335048300795,-0.020325163482838096,-0.012403561616205722,-0.014659815854312015,-0.05139293625855822,0.016319576616487246,0.007012847612070244,-0.019589579355826083,0.08048421858685224,-0.10553617018007459,-0.09857819830434691,0.0802783995031262,0.09138648854793253,0.012188670662563168,-0.07282834594606118,0.041325402799410695,-0.06867682763331263
TNFSF18,-0.025387507560902883,-0.05478125091401404,0.003210246528095501,0.08493774297196349,,,,0.00016956647291520703,0.05130293912381627,0.06984519707455487,,,,0.22169245789322126,,-0.028816067156011753,,,,-0.06187012624276868,0.011752509637219842,0.13017927625279638
IL36G,,,,,,,,,,,,,-0.01898233391070643,,,,,,,,,
RTN4,-0.05397201561503373,0.11884236980819508,0.12300088398430786,0.02732479189987084,0.0026564234769805525,-0.04495197416638814,-0.06873702897840013,-0.07904578817614967,-0.2060895409326235,-0.10443617076369288,-0.17861072122178362,-0.02620911528735472,-0.03951046412025134,0.020722223651556244,-0.03927045410013859,-0.01855049052068664,-0.11572558493531548,-0.11928023031320963,-0.0892662645420235,0.08040039282949389,0.09593424054797858,-0.302256536124891
HEBP1,0.04128700587747533,0.07663313340394588,0.0936797907598683,-0.03467975976513804,0.12366314739330869,0.03143131567580107,-0.03618188992845282,0.013828328562885565,0.12123062489442625,0.04080921245282704,0.14276755846490932,-0.053917255154068144,0.06827977299724981,0.062014909492522696,-0.046769464717400275,0.04720266675250246,0.10167688446387793,0.03484817527695252,-0.007506456607244077,0.046963795014439744,0.058894373501761174,0.06260232888474625
WNT7B,-0.02236559900230691,-0.04995316029993693,0.0025444435266120374,-0.020473589707297447,-0.021378103733325497,-0.006989525261658517,-0.021315319564124805,0.026463519402583124,-0.0864271878383567,-0.07825180051972788,,0.0010611528200343738,-0.02086377251859173,0.009298287773945018,0.04944111104342095,,-0.031141938615215022,0.0670429632155593,-0.05282288808928863,0.009063767370956951,0.10207442878299598,0.0016533886846908207
PTMA,0.03906790790131594,-0.16473184867265994,-0.05096776910572859,0.030575608164475913,-0.18376152353411881,-0.0015601953347398707,-0.03623449305024912,0.06804945992318441,-0.1989514483629835,-0.09819078612423768,0.24723338491421215,0.046910096216895666,0.013092190482316378,0.022051090169269403,-0.05632167660324858,0.021866746283904816,-0.231774225203574,-0.011717160288854517,-0.01852665205017153,0.04941285624810023,-0.10600231420711115,0.18813868363052702
FASLG,0.1209171540730422,,,,,,,,,,,,,,,,,,,,-0.004752765366184317,
