,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.012843354154418054,,,,,,,,,,,,-0.05070459080414401,
BMP1,-0.028426682405850685,-0.03110749210651901,-0.13627482599988694,0.008680209516122112,-0.029612384463775412,-0.09530234732068496,-0.05972879431483578,0.05538955471541835,0.054556544629688515,0.040268475598035605,0.04725870911212473,0.06346569699152649,0.01658257737933518,-0.058656626337095896,0.040886006465833985,0.010227813891238995,0.040525464649309395,0.05544578611647632,0.008615757730402445,-0.03048270335096673,-0.03449077194356594,0.046073877203907584
NDP,0.04057009601090845,-0.18390117094362649,-0.11694252059105051,-0.03764457784630711,-0.03645753327493873,-0.12347100529269049,-0.10509972453534504,0.0012271795900246814,0.01241335134117096,-0.08876774236229971,0.020917525891298208,0.007455630359007684,0.043808609424810505,-0.1028557112065224,-0.014099921486569413,-0.030957747449873417,-0.003136177783783772,-0.0245999412829712,-0.09995092306591138,0.082053351928899,-0.04734167765331826,-0.04975674279141309
TNFSF18,-0.01812836595010476,-0.00495032897154214,-0.013212080783030931,-0.01953183862380819,,,,-0.015976249239378494,0.02019301817305818,0.012536270772115271,,,,,0.0009010865994955368,,,,,-0.01454057001810496,-0.012615990255050207,0.10752750456287266
IL36G,,,,,,,,,,,,,-0.014337270467405853,,,,,,,,,
RTN4,-0.006488469119139852,0.12967458682334906,0.0091125945029416,-0.016457686516733603,-0.014146980298561321,-0.01459838010886365,-0.06848513652891158,-0.12833097285271317,-0.08449635527133831,-0.12195372323547214,-0.08578477111862776,0.047357971069719645,-0.05115430160857485,-0.04279425256551731,-0.075856838167324,-0.07497525149790264,-0.016357927339648845,-0.09107635428947387,0.02745511888288077,-0.10685645868373941,-0.06624282200271972,-0.16182965859454357
HEBP1,-0.04564530787435216,0.033298462207411506,0.002326768668068012,0.0127261686565342,0.07726970611410847,-0.0035884592936239615,0.050491005373738615,0.042559236864875956,0.03231693171312371,-0.007348017392930935,0.10507696936718516,0.03916581064139879,0.08058956982896624,0.007285753766320384,0.057517158756410926,-0.0018287895714342109,0.05280066121963864,-0.0025504383801549894,0.04973469820750896,0.0853907726255581,0.025971636803700793,0.05122340241703587
WNT7B,-0.015970522605831497,-0.05768436171901367,-0.006120099728652094,-0.003260016224236738,-0.029024081697052676,0.08198982044824675,-0.09777641546321654,-0.008891410512969385,-0.053158246181214716,0.03319386480629933,,0.04936853732636768,-0.015758312490792497,0.21978325921817296,,-0.014910250851465221,0.04173173790305044,-0.003067193253300976,-0.019049514672194533,-0.0398997594119221,0.009476798729960463,0.025600861255270602
PTMA,-0.06805538161814471,0.20246948770751724,-0.13589456086572593,-0.009885296827374362,-0.09882347612705664,0.0899369120150702,0.14572387759625402,0.1393078673166792,-0.06881481639508177,0.005995602255136999,0.1679828541534713,0.015832667061196553,-0.004078158908279206,-0.1506437161854377,0.11287455894439263,0.05010614000012633,-0.09546181149483594,0.039203147784563686,0.023208060367288192,0.05197144096872029,0.0357893866646129,0.22376844657355288
FASLG,-0.015970527120657326,,,,,,,,,,,,,,,,,,,,-0.0030446103540004506,
