,UKF243,UKF248,UKF251,UKF260,UKF269,UKF275,UKF296,UKF313,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01284335305722187,,,,-0.015714761716265478,
BMP1,0.030911013606817875,-0.01966554392281192,0.013122389531462128,0.005470899881100761,0.028465222338658575,-0.006695424399111167,0.05015501731207744,0.059909968696778955,0.07357267215751673,0.052711152855525564
NDP,0.013807741916986326,0.001695893702037912,0.024267970688992238,0.012580374655372987,-0.016684558881373535,0.005525800685853073,-0.026135503829449545,0.03538973790235083,0.011729842338041573,-0.006582729735177478
TNFSF18,-0.026650789294883594,-0.004190553543606505,-0.027734216376985768,,-0.019071993721949964,-0.014105908596600427,,,-0.010968824180948545,-0.009398417373850531
RTN4,0.0014257345378663095,0.007135028516718853,0.032793085094715145,-0.014415093210851765,0.02183062486006611,0.029226434283010107,-0.03174861056018299,-0.05093094724229547,0.0035673542799959396,-0.03559360586789497
HEBP1,0.015464944008855563,-0.04633391967189399,0.0222934027018765,-0.01377550221436726,-0.03324389510979627,-0.0034973134501932747,0.000748410646789124,0.013632795033373443,-0.004216096655290845,0.035504649505615285
WNT7B,-0.06220323846890561,-0.024619356074244047,-0.01722763548716353,-0.004516605407294809,0.08905218403477307,0.03716167054657776,-0.013194807001110923,-0.04840168787332364,0.02853803041707791,0.04811357126530416
PTMA,-0.05137034277502564,0.042069693757132695,-0.009898815779734307,0.0432015104935664,0.024880827250857874,0.033502792415063355,0.027843781284544053,0.03408487913458331,0.05422589687836575,0.021545751425503672
FASLG,,,,,,,,,-0.01362940747534862,
CEACAM1,,-0.022315903223725325,-0.013221174063895919,0.1730954327283072,-0.00909815711948643,0.09062147550057253,,,-0.018963318706360498,
PDAP1,0.018091901095460966,0.07380466736758066,-0.02592055085841107,0.03300841003674636,0.00197092222350999,-0.030196182052891686,0.06489048383823076,0.06792198509525986,-0.05174870703798731,-0.05864225181083892
QDPR,0.03948168452716423,-0.019493860954220937,0.05496205921393764,0.011767174543711905,-0.015554028243199423,-0.0021397820582167446,-0.017934385454271975,0.0760870974570238,-0.0621385305773117,-0.04452050923328381
POMC,-0.050321137850656845,0.010023318545905503,-0.023491916971089905,-0.03141107173319524,-0.032352271897562034,0.03360183909533359,0.006065074930143481,0.011705792881383795,-0.014856170191428406,-0.000768189712899525
CCL18,0.08163015976838581,-0.027848138726802737,,,,,,0.025069277745289026,,
CCL17,,,,,,-0.017592814356007933,0.0879696162636257,,-0.012353527026549762,
VEGFD,0.07739481358727751,-0.027848147569891107,-0.018936679290759154,0.03375908011782226,-0.021516061520221525,-0.01874365567561554,0.08229987720506825,0.04095176585407549,,
TNFSF13,,-0.0210151057980534,,,,,,,-0.020129041182757906,0.023708880741876548
WNT5A,-0.002723386174317437,-0.0036294275383591435,0.022542458221894608,0.05301599945369152,-0.03802738098026085,-0.020021122649464845,0.04454225527329771,-0.04839343371155933,0.08470978347340259,0.040368257130461334
CXCL8,0.06186093393927736,-0.00800359607909613,-0.01773118407508953,0.03730735250689327,-0.03280886226434278,-0.019300095886451527,-0.011155675170266457,-0.029766472236100818,-0.02549789364484832,-0.02667051973024503
GRN,0.042073908178527734,-0.012913662300534333,0.02907509574797518,0.04425177509977798,-0.0622741589408825,-0.05537736195326731,-0.001290224884230886,0.016581579313280876,0.08463249663649414,-0.023229339154539237
MIA,-0.052586487917273335,-0.02732176382689385,-0.0168409582657511,0.09302126203796682,-0.0015913797611913716,-0.026551047828357162,-0.013623967733088058,-0.032033443846728286,-0.07326565044185496,-0.035544235517886255
COL4A4,-0.04053832747681144,-0.011703427219750309,-0.028321475781936032,-0.037380300834511535,-0.012656171137864955,-0.018367442485976358,-0.022887182313376248,,-0.011690086444191977,0.07414664651798213
TAC1,-0.05077109475757049,0.005644197957975175,-0.01782197130856844,-0.006046806521730194,0.04996304652515181,-0.03829737380305863,-0.0015807130872417916,,-0.01623996743589958,-0.05840071200295277
RARRES2,0.008934197254144365,0.0037787580851839212,-0.016605447690788668,-0.02127587411589245,-0.003922064360644555,0.09415252676976309,0.015786491176843158,0.019708766110832304,-0.015224321417445029,0.03974047617127829
FGF7,0.0561805593899356,,-0.021373544121830824,-0.02859578496710032,-0.036068160735665745,0.06396489993535112,-0.027411374043338568,-0.026044604287410632,-0.03796409272633864,0.019214151655417882
HBEGF,0.025344393945217914,-0.013031465953606144,-0.02355385741766138,0.09351916814291318,-0.004054329093242612,-0.011447549352281964,-0.030764074104437537,0.03539697236065774,0.062283516600206965,0.041937795134097317
CSF3,0.12028360472399371,,,-0.03503216102412069,-0.013389985462816414,,,-0.013760773549840935,-0.013006358202478918,-0.035338101366649784
PI3,0.0037764908089797443,-0.029297416066976462,,0.03395027879852442,-0.015077300359810177,,,,-0.028258495435073538,-0.07105275182853273
PCSK1N,-0.07235126508651486,0.005370623688116179,0.004842165301095347,-0.03861380987385701,-0.03454166761618523,0.013719956519616699,-0.049248754588872144,0.017705825588569646,-0.025285844914400703,-0.10414260712299414
NTS,,,,0.021554100651398546,-0.016457902833427296,0.07107221019639055,0.01585531853783034,,-0.01926064293503173,
SFRP1,-0.0313960423179249,-0.0257181703061444,-0.040623073410549236,-0.01703801235024883,-0.028816389574597805,-0.007068670764339887,-0.016331472358543733,-0.014741001978625604,-0.018813074388941,-0.021672546157822648
CXCL13,,,0.0444713876935493,-0.016884887824453746,,,,0.02289411889839794,,0.023733856689270603
MICA,0.08564417872168154,-0.023359687166199496,-0.04732305257545925,0.010686033305108783,0.00417836448258303,0.007999946049064082,-0.01579661654802949,0.0030493768857759456,0.06223917299210028,-0.036535155060915925
TG,-0.014282293458279539,0.013271711354650656,-0.017978132867828397,0.05444285624908679,-0.016160514478729817,-0.017724094690125092,-0.011819015505453978,0.005510098729554543,-0.025364879358546016,0.030327412967775122
