,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01451372118130078,,,,,,,,0.01523219345756342,
BMP1,0.0948495792195432,0.01627050557284133,-0.039025410314580226,-0.003893793474434708,0.06547354033406537,0.0013438416604398457,0.017435671511299856,0.04444450502231966,0.09404694133369673,0.036166754815596856,0.08290367590457498,0.0023669944330986076,0.05033414465101033,0.026102492213364546,0.029692738924406027,0.023162730422830013
NDP,0.0017035366896994701,-0.04380092517413809,0.003698833959838088,-0.024551053628253963,0.011462057798178767,0.09030342082321469,0.008061668402685618,-0.024477626550720145,0.12539237798186995,0.047557258437918505,-0.009457600280802987,0.018238305502398185,0.004915061603704235,-0.05446289812842386,0.03722763472540429,-0.017100237262304745
TNFSF18,0.07689398718650109,-0.02483050295827567,,,,-0.01329155642320675,0.014125749935305392,-0.01433915972666538,,,-0.06061986076096904,,,,-0.005728857412542386,-0.028861145402811084
IL36G,,,,,,,,,,-0.0036271067158685304,,,,,,
RTN4,-0.06504068550028937,0.04773757261628678,0.04222897548709986,-0.004858031493854427,0.0088474313409333,0.0030440287019138784,-0.017571938602589588,-0.04401962834559928,-0.038504660573091785,-0.0006589318523988256,0.09925485943954215,-0.028625948848850925,-0.07961296124866614,-0.016504394360703153,0.0004026654121623684,-0.07204639978586659
HEBP1,0.020483677991143243,-0.06396371322790861,0.08732775998028858,0.0033911749875578235,0.0007395323543941976,-0.01742239387777961,-0.027303346007186174,0.009503777056509937,-0.04210827446853189,0.073454822014611,-0.016181059400579734,-0.025194461307701758,0.00371735407742604,-0.046607714354218704,-0.0011558812392752586,0.008800568051915838
WNT7B,-0.039268758399641376,0.05059712046764837,-0.032553776998981085,0.022766382849251043,0.06540072049197453,-0.002829237759746057,0.034011964761216165,0.10076866807389347,-0.025816787306739693,-0.022121269320546078,,-0.021092221989898213,-0.030018034737354135,-0.030440101761365305,0.012941531982221293,0.00986007462865731
PTMA,-0.023551750257700822,-0.038201352327213264,-0.10185323845695952,-0.0020506693190615014,0.021173648134479788,0.00047224594725503205,-0.014012717548950166,0.02111422588730027,0.051181958229117266,0.08077534700604146,0.026417671099372965,-0.07023677266847592,-0.029385135210038042,0.0471116011283149,-0.014040147091340516,-0.003378054576195659
FASLG,,,,,,,,,,,,,,,0.008957207820624827,
CEACAM1,,0.005526200990369235,,0.014079682510705703,-0.02056280616822277,,-0.028361783821132636,-0.022552082174129753,,,0.0468854728194615,0.06616652466101632,-0.01973867968506824,-0.020203538250739752,-0.03483125122663505,
PDAP1,0.05097613843320094,-0.030462000694141813,0.043287088790484186,-0.047711581152816714,0.006290772817938245,0.06195397499899839,0.05294933036480672,0.023165960365704095,0.02279260414429914,0.014923555083810052,-0.011684579577421583,0.0697082721407113,0.0360817757308673,0.03769887753904318,0.009607936463131381,-0.01494466891746095
QDPR,0.0025255746828624645,-0.010462432113774461,-0.05372432060771924,0.0013323494770471,0.03276574598283334,-0.007414088950757302,-0.07846163523041574,-0.06500752219161793,0.0748228168495746,-0.01856355040900925,-0.013002181443873984,-0.10306607712920109,0.04706706841834905,-0.033631141899816655,0.03030557687861079,-0.05267247654744622
