,UKF243,UKF248,UKF251,UKF259,UKF260,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,,-0.013832295696524326,
BMP1,0.00807703482261914,0.11467290708305647,0.04738467488263872,0.011279081765771035,-0.03086960491833524,0.09873963743729025,0.04096946449438882,0.013708695366900817,0.024428420837410057,-0.0383777329174032,-0.07915871778321276
NDP,0.05586191852235132,-0.009660939759069133,0.05637490173769518,0.01116515530419449,0.02668255437368747,-0.01404783108536175,0.055336063976751594,0.04039013337935725,0.0653770771192545,-0.0574122068039111,0.08945193961462868
TNFSF18,0.14275964924988305,0.031984803553550406,-0.024425421655428915,,,,,0.04584019527091992,,-0.03180169755441254,
IL36G,,,,,,,-0.030607953492645206,,,,
RTN4,-0.10547335271516303,-0.0022970903786048978,0.025767088627382757,0.06225149614826502,-0.03367181475933711,-0.01859485009081335,-0.126306638123429,-0.1218382044924423,-0.00891294995560399,0.1012615943103488,0.02365399842963002
HEBP1,0.03279680476981356,0.05636365006209242,0.03861882007744222,0.026304415564240093,-0.008216694215936984,0.027823975328164427,0.021601259703375064,0.031187178064934873,0.05862141582775064,-0.04545234177971328,-0.0037585002926808714
WNT7B,-0.055096935986040235,0.027842648090377432,0.020501823431381978,-0.04642145882865068,0.002972878293604627,0.03610095153761323,-0.033641668191812954,,-0.009301148311324524,0.0013236311419940353,0.01993919883871325
PTMA,-0.022161030615312455,0.1434661912337941,0.047096256547126014,-0.07864231579701345,0.06671649599523222,0.1326403100020839,0.08996527888176273,0.06269586247109576,-0.10339726555951173,0.06793615794540196,-0.06691861612291602
CEACAM1,,0.06883844118657795,-0.030210697951329624,-0.006223602638574182,0.03164459119405643,,,-0.001081103628582211,0.15102027389999906,0.07657543895047465,-0.012712568302731039
PDAP1,0.004858345521533827,0.008932552850047435,0.02995623660333502,0.033460212533908844,0.019630841388483505,0.0512274813350641,0.059706469397345224,0.04883075475925537,0.043285428318728864,-0.0037137134260539226,0.016831573717907153
QDPR,-0.010635744055551628,-0.022415661137587684,0.028970386154459453,-0.004133459136645117,-0.000982645210467124,0.10838163247128402,-0.022069037601144557,-0.019251598559334046,-0.04839535080850923,-0.0009372902752829889,0.021660046599559984
POMC,0.023653920314090006,0.03285689138256712,0.02353748371436626,-0.036063020163773954,0.0798802232397711,-0.0036734354798234115,-0.01615108784963414,0.06319135081908234,-0.03908235271156428,0.04107645596565725,-0.020796091748704535
CCL18,-0.03165774187980075,-0.03299638060433291,,,,0.16469408274481567,,,-0.03702216986349444,,0.06545882570646151
CCL17,,,,0.00936190364891761,,,0.08331070766428582,,,-0.040656859144316285,
VEGFD,-0.03566902202324165,-0.0329963910822292,-0.012216747035028876,0.022014159252294066,0.004428163510685376,-0.0198321329475468,-0.0072924492472723704,0.07640857947949938,,-0.042880437685374105,
TNFSF13,,0.0025739274691194383,,-0.0563362022023361,,,,,,0.027125223926714022,-0.014275362175409749
WNT5A,0.02511333814645895,-0.019817850972085,0.046170773583340506,0.06512588795268312,0.05526957670240115,0.07324201440019823,0.015835326167628984,0.06333426297185944,0.08011429764534582,-0.005168509777663625,-0.019285938090275012
CXCL8,-0.020937657614213654,-0.07561915562772648,0.019803631111769755,-0.14042918173568292,-0.07231181277064651,-0.016015152833218214,0.075262467117534,0.11293207434852748,-0.06518335893480624,0.00868469173409261,-0.013931297632209936
GRN,-0.07720173913126531,0.02795884207929354,0.005778556498599226,-0.016793682249129686,-0.0406976668007008,-0.004933962094813935,-0.011608430866525181,0.0839692424161515,0.007229828377108787,-0.03057069968275413,-0.029236778923811973
