,UKF259,UKF266,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,-0.020378000655361068
BMP1,-0.025401231085000458,-0.029307285670525002,-0.0027613392433872646,0.03143961297101334,0.06289147774532568,0.07646525627890792,-0.032283876880523005,0.05769374604967822,0.023128775131385643,-0.034402115444446775,0.056840630591778775
NDP,-0.03271020668633774,0.0034190044502353657,-0.020303575156923274,0.03286792485787994,0.012777443514414528,0.042626942043967254,0.10267468484916423,0.010308965520561566,0.02490456017213402,0.04183794371168901,-0.012136260892468009
TNFSF18,,-0.011239798812833357,-0.0027859834342238684,,,0.006991220883491076,,,,,0.040294404805080855
RTN4,0.08010673429572493,0.06655137781503966,0.04164417361267606,-0.022623744128048996,-0.009586381578891221,0.02259268033479092,-0.02995332057237188,0.05235283884527676,-0.02970020641088119,0.03479426419891393,0.023920475556144592
HEBP1,0.04034309793675286,-0.000348508305910148,-0.013748915969545923,-0.006461567105055424,0.07266413771950596,0.02664943371194383,-0.029241038622958362,0.031685630054984544,0.05193925349119526,0.058592565741683526,0.027903239844878705
WNT7B,0.07665590644159243,-0.007360825249982012,-0.03980203423661401,-0.015148168551425843,0.01313359500259797,,-0.034477253683121226,0.039423228690614945,-0.025117725434688314,-0.025623813297311553,-0.03323124366902377
PTMA,-0.013685360844333815,-0.06415692744990961,-0.03648576989384802,-0.05742137715492333,0.006570431286457912,0.08505207517020089,-0.06328535847385383,0.0002573988496713603,0.01920493852677563,0.07918280453688673,0.0038892189210178196
FASLG,,,,,,,,,,,-0.01767383301633927
CEACAM1,-0.013667144027027019,,-0.008925363433916561,,,0.000635469123252089,-0.030919753337201386,0.03027193271425963,-0.01788812390717716,0.07052538140808277,0.11182124537941417
PDAP1,0.0055864539655275675,0.021122724914958372,0.013069501127149528,0.014263573895476589,0.018193511676433696,0.04640982650860122,0.008258915056916581,0.08534121422316947,0.013335588534472876,0.0310406363146824,-0.03200535363793624
QDPR,-0.026896521105580037,0.027591060274197533,0.06366088779107174,-0.02971039857591906,-0.007917783949669034,-0.0008301721458775871,-0.14591822725976086,0.03726541089488935,0.01316890349066034,0.007755737728956383,0.02079892208891145
POMC,-0.020077588551543867,-0.029652856227909054,-0.007466137668243117,0.0176486905780982,0.005357110749858118,-0.08363463069139601,-0.005963404753591891,0.044563096466287914,-0.021509466156303374,-0.027821050270765528,0.022852008588801386
CCL18,,,,,0.012705089895774726,,-0.021922613485586592,-0.0004659440692436106,-0.015163181638157275,0.05447708027180171,
CCL17,-0.018787874141205425,,0.02702172619976958,0.07209154528736712,,,,-0.021346250954105313,-0.025822629866302522,,-0.016019344511122264
VEGFD,0.03309745210453587,,-0.023876719591290434,-0.013752754828028272,0.04875829734274608,0.07594183285316856,,,0.004470762028756359,,
TNFSF13,-0.012959455097563962,-0.010900260094148382,,,,,,-0.019258176965782185,-0.012954388518835104,-0.019097606103810328,0.05339389521984077
WNT5A,0.023746724288349265,-0.06352662047990855,0.013591922648695241,-0.001596421806036014,0.002526813704424706,-0.02074259390232536,-0.03451084889463972,0.003510565752355946,0.04574483430967551,0.021732284322235722,0.00882931812711726
CXCL8,0.031590330063795864,-0.015504913002260617,-0.022841549905850526,-0.012807163285520182,0.054951121209951555,0.04594839183760082,-0.020826954805557615,-0.05880255102941772,-0.012559117730300415,-0.06204813392966467,-0.0011757198525302946
GRN,-0.0386810018755177,-0.013898770245486799,0.041995818587996336,-0.03515802957336131,-0.02026135502106105,-0.011038329026132672,-0.012852732348837536,0.0358417466124597,0.00040252486626926153,0.014182191914558433,0.010193895512133701
MIA,0.033892014381126025,0.020059127365663502,-0.0036821323226680722,-0.015640862313683643,-0.029466901343690215,-0.01246749615818415,0.01797346591028583,0.006603455577388566,-0.00019701782286884423,-0.028827469926804673,0.0793551494538744
COL4A4,-0.024117485724724552,0.23879808702039135,-0.02339747813535365,-0.026275404810471716,,-0.04645922080571773,-0.02771703323808443,0.04072430650838488,0.02729046648360468,-0.03427477669208435,-0.0008109016147837736
TAC1,-0.003396579403704725,0.043771325658635694,0.029185243016594618,0.0937508088388358,,,,,,0.024712658877610393,0.018781009003943402
RARRES2,0.0068814385971570635,-0.01805994931421681,0.04280272706085852,0.0341879124914742,-0.03196123819477305,0.016816771414982556,0.10382619010322608,-0.0220309145252215,-0.01409830723404944,0.008328833325128444,0.011905278696932177
FGF7,0.06828400680422266,0.0979457513846265,0.021674733309015454,0.04777123965209535,-0.00573257834446156,0.016110335960508884,0.029584419174108895,0.06362887735610875,-0.04390290388387413,0.015144732101230718,0.005023253310843298
EFNA2,,,,,,,,,-0.01700146464547509,,
HBEGF,0.019862409294027338,0.02596016179680051,-0.010730578882269696,-0.010323081575698938,0.02224321057127472,0.05431219604145852,0.004390991174544647,0.01474527736549261,0.04846336465109125,-0.009184144623380608,0.03445921710999028
CSF3,0.0039106191573745775,,,,0.02738363210531753,,,-0.07513833289297918,0.045506924890392,-0.024381710758144524,-0.01686589849463923
PI3,0.006122593206161881,,,,,,,-0.009637720365406489,-0.014212914191734734,-0.04645554665816691,-0.03664399428337587
PCSK1N,0.016016459468614394,0.015747095888866313,0.026815485101896148,0.01991416125016435,-0.03118724984023321,-0.006589396494101741,-0.01266757764982267,-0.05602095795191164,-0.017538688880215154,-0.05668555608797684,-0.010859380659681912
NTS,,-0.01266077611345735,0.005225144025626471,0.034367592238603924,,,,0.01789972520275688,-0.020713058414370183,-0.04947966107360852,-0.02497609581610798
