,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01303893656223607,,,,,,,,0.011374952871932438,,-0.02056657175426379,
BMP1,0.023104859728776416,-0.01955228479425947,0.03386889544023814,0.0388121791911044,0.022093074754531174,-0.015002530519407767,0.1423344795667167,-0.021810473105766493,-0.021159306937366944,0.03164708279839908,0.004163444452906429,0.035956072512302074,-0.03259855546090624,0.05794614441756995,-0.028680711981128575,-0.05030720705657124
NDP,0.05338088282989752,-0.021409151753131496,-0.03109292387167006,0.04865808211534764,-0.02124694882811385,-0.024689258133970524,-0.0172731665335839,0.08807799828470707,-0.08701867280024789,-0.0779535770896102,0.039109897688747224,0.06275818508309791,-0.00877277959176215,-0.02490985831839731,0.04734009548306055,-0.041231295109297475
TNFSF18,-0.042647478249067186,,,-0.0120245410024366,-0.019362429355318334,0.09173067263928263,,,-0.046919410831608555,,,,-0.017854324866828974,,-0.03469212962384127,-0.030335019317203667
RTN4,0.07736514190633687,0.0048063573420079626,-0.01048923324386388,-0.017686548372322173,-0.034654218855114584,0.013340830047538036,-0.04100951601527912,-0.12796666695050793,0.07791377643338435,-0.010575585383808232,-0.05671615177177408,-0.015492737455204592,0.0601294826368147,-0.013219281729058913,-0.016611799899201644,0.012157572900145899
HEBP1,0.010643786436359345,-0.01106865390221745,0.00018038527641000779,0.029037091627625,0.03862592956219007,0.0028541461634178163,0.023793233514383977,0.07228525684549356,-0.05409025150014286,-0.007630861242033972,0.035915528109629204,0.03007295389662999,-0.02306285409568327,0.047795186466752106,0.043886753389239176,-0.007027886244972877
WNT7B,-0.03735289148738913,0.014584447973216666,-0.03685101917166243,-0.02490429506050093,0.00931858177425728,-0.030520095349847606,0.045643789784903334,-0.06496706196808219,,0.0905708164072893,-0.033485872476708686,0.045326005255487134,-0.037334837673837926,0.030820308051803507,0.017054458021592125,-0.010820185631373666
PTMA,-0.023723574957284766,0.0233023468464432,0.034940158206076086,0.016850190161306455,-0.004867835725853883,-0.0010860707753613716,0.1791837879354492,-0.10561803834225622,-0.07268743401711211,-0.0005095276980564523,0.0322519988364687,-0.03411239384899909,0.013442167131110702,0.06292802040876036,-0.1191782225827694,0.0019880885543472103
FASLG,,,,,,,,,,,,,,,-0.01783738066608564,
CEACAM1,0.025138975948445132,0.040691359457050165,-0.015199080925982435,,-0.025479854230082297,-0.00047398547122433566,,-0.04892182683077737,-0.05182990618210251,-0.0305390370043446,-0.018763785934444076,-0.01214556130577769,-0.025654800816887764,-0.017163928396483053,0.008404109258752087,
