,UKF243,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.029574697459615756,,,,,,,,,-0.017996417338518606,-0.028443307603555245,
BMP1,0.021724744021300826,0.06678983335597852,0.04128564931436367,0.019001799852119257,0.04616968641092204,0.03917274280598661,0.03363536391319733,-0.03857101542013624,-0.04208408356478584,0.2375102061248254,0.03854549732443828,-0.015909489487751644,0.13037711605219524,0.018093880779669357,-0.0012397718779115735,0.107490514871528,0.05326674207217068
NDP,0.023970309124683196,-0.0034643487517809052,-0.019449106248097783,0.040364813167665686,0.019550923618108156,-0.019587190758822922,-0.012378010849204507,-0.030486708254134045,0.008401031038017445,-0.0509977187891373,0.036932483065453145,-0.02239275540156079,-0.038707369680749684,0.044245861747916,0.016720241945702954,0.03400935570537252,0.03654987166845203
TNFSF18,0.10040587046777659,0.03174448703938402,,,,0.04100543770601218,0.0614791555706124,,,,-0.0035110752289712814,,0.15496666808091475,,-0.018559387545793886,0.01343598213731767,-0.040193216353668716
RTN4,0.04205199373941697,-0.03472390273849173,-0.028990480009319107,0.05602226475294341,-0.06877306054350135,-0.05573405178065513,0.005580105978944646,-0.034147300556876314,0.02163184065046496,0.01939458183072244,-0.08300155112585897,-0.034446607263158846,-0.06218088028339726,0.028560488713982972,0.07565203030658864,-0.055922387163237816,0.1167599221519473
HEBP1,0.058716956495713034,0.02353972070558281,-0.02453160923025411,-0.02202735619537995,0.015572075647413891,0.020601360043381044,0.044525644694584324,0.0209048983772215,-0.046454377420820196,0.12865013731329336,0.04976573902945326,-0.005785636112120169,0.04810337742286825,-0.029256148249226885,0.052842318110055846,0.07279221283634306,0.05907022675756265
WNT7B,0.009959688881191212,-0.021169626005504764,-0.04101481855644715,-0.022088078688402166,0.008872816669687523,-0.03332098896526602,0.010429168528099785,-0.011878754251214067,,0.15744097154130016,0.015357159153229603,-0.039978254575478996,,-0.037328700145355206,-0.011365982745325484,0.04425081509417141,-0.04078624485973424
PTMA,-0.055256363272746314,0.053997137820664114,0.03357577312219388,0.053966389868682234,-0.02294401187754064,-0.029930115054104266,0.00276796213765324,0.01569655115194787,-0.10517620513363707,0.09401845239299186,0.030516902739211104,-0.04527834432700274,0.08132388960271343,0.0022148908945404653,0.05913635961778581,0.07435381809552435,0.008968590646919777
FASLG,,,,,,,,,,,,,,,,0.010723534389501948,
CEACAM1,,-0.016246414691958328,,-0.025505398330213952,0.009943562439497016,0.003914703323437098,-0.022552078448084573,,,,,-0.04449316691222827,-0.03605281462532839,-0.0131525255927078,-0.026667902277020355,0.0033086820024425174,
