,UKF259,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.01799641680517279,,
BMP1,-0.04255428985424231,0.004055990406255974,0.011286728362649129,0.05949496834766397,-0.014036141053732985,0.11156889428772593,-0.047767489154161256,-0.06597908100910871
NDP,0.0016063446236355638,-0.004590477522757532,0.0762084203345279,0.03696351861057186,0.042534841201597465,0.08111318523035428,-0.016730166039052776,-0.02000721356616129
TNFSF18,,-0.012490943509120495,-0.02144537570292243,,,0.09103380016674806,,-0.02568532112611875
RTN4,-0.01795374347476797,-0.009449334263659594,-0.032223889254699344,0.0038928223078077183,-0.03704097974684066,-0.07961919066673181,0.0247033752595427,-0.03198610875843278
HEBP1,-0.030780032619892487,-0.009005009655395848,-0.07748622086919191,-0.022896912205357146,0.062368711225476756,0.06320815970508181,-0.029453603591260237,0.02212307911005319
WNT7B,0.0069417445550260465,0.006806158313504796,,-0.02990650248860013,-0.033581891331711855,0.0793645164311501,-0.029824915203042722,0.0756503145750956
PTMA,0.03222580192323949,-0.02549253238175483,0.0548481768372386,-0.040661759338807064,-0.040641979506450626,-0.11549338545624055,-0.016024841409496848,0.07001862343245902
CEACAM1,0.024475384763051857,-0.01964527837194318,-0.030603842339149787,0.0839945216345475,0.08262157024289365,0.03053168760002268,-0.01979522998489203,
PDAP1,-0.019301678802758918,-0.03486261358383151,0.059533592913140074,-0.06877650738271135,-0.010332766702754629,0.057831466244269866,-0.03362784492216838,0.03866999074964462
QDPR,-0.047376312171827285,0.005484165344159158,-0.003254521084014928,-0.030394856246022218,0.03297628191580155,-0.06764373605949056,-0.022535830063732387,0.00926305233958374
POMC,0.005273936140951434,0.0230010061220454,-0.054238270059204105,-0.04023731742816576,0.11243797882430787,-0.04015107113501698,-0.009187300390477438,-0.0614911887634084
CCL18,,,,-0.030667096187012178,-0.017973658028072506,,0.009148919172147852,
CCL17,-0.013850538176361582,-0.015578638467875782,,0.024673962520955897,0.010567080856213256,0.018221073426495742,,
