,UKF251,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.026194746864525043,,0.08805289941350339
BMP1,0.0008857537181912739,-0.021029999825157086,-0.044125909662183105,0.03197100541263328,0.07344268954662703,0.021889212270345838
NDP,0.01350021598408722,0.01371873893646372,0.08885465161690542,0.04938397455230867,-0.03219364779873143,0.04204409479124576
TNFSF18,-0.015941784395556168,,,-0.00820762359763717,,0.035784332140333205
RTN4,0.04708429745608494,0.00182537384877813,-0.0007874314720963238,0.01254847422749857,-0.1028410858103959,-0.01886631571219411
HEBP1,0.04152400328603168,0.047015248629275315,-0.003059840923703595,-0.009785357484171444,-0.04817407766750289,0.06261444921661964
WNT7B,-0.017227636103705507,-0.019621158057200147,-0.014654258854837092,-0.0027647992972741286,-0.021792635990184835,-0.03455726665392825
PTMA,0.06520185683316129,-0.029816726465323826,-0.009729779565032884,-0.04077184552550719,-0.017997270108563966,-0.036853367651343984
FASLG,,,,,,0.044438859661604345
CEACAM1,-0.013221174537054804,-0.022953372759121987,-0.030613740352567632,-0.013363704920488296,-0.014464089452255467,0.06706345795864857
PDAP1,0.028954511113776327,0.0070473633678652245,-0.013469119248069181,0.03180196533512233,-0.02033016222207068,0.03192295005741468
QDPR,-0.0188130075891576,0.029241393996153997,0.028633252725482637,-0.04107808473529213,-0.0201389588574668,-0.00102637576237065
POMC,0.04510479182157943,-0.019664503871913184,0.01747396353927659,-0.01763321749073741,-0.02366135025964456,0.05367367826111658
CCL18,,0.12858324899071208,-0.05743696492986219,,0.10632951630819684,
CCL17,,-0.016284306998126805,-0.03473068574862267,-0.0060971868367929215,,-0.012727512895294628
VEGFD,-0.018936679968464327,,0.011485403275713423,-0.03642509534056016,,
TNFSF13,,0.02450326841788372,0.057463966973111964,0.04803946258237177,-0.016242203034937695,-0.020738419940545542
WNT5A,0.011417603593510935,-0.029809130549902873,0.06292876701479647,0.03924871206853374,-0.0489493752992472,0.004424259676657239
CXCL8,-0.017731184709652483,-0.06479745804375607,-0.17948221962930955,-0.02877041141886331,0.05089190312164307,0.023338579638292653
GRN,0.024026604890282795,-0.0385852551948385,0.027324414200883156,0.05976652425247342,0.07693431542479105,-0.04905960904915406
MIA,-0.016840958868454686,0.06790825041129255,0.08050679191959326,0.005363638236951126,0.003624138065856447,0.03837525233106284
COL4A4,-0.028321476795503953,-0.04302774495291397,0.03772543735101054,-0.033095665867846485,-0.016365876209425787,-0.015005723303778086
TAC1,0.04784709985840335,,,,-0.024954674870993766,-0.01673160988884846
RARRES2,0.0643155783586266,-0.02820438279284475,-0.07496722705518567,0.01333001101037029,0.06891983118189579,-0.01604981684066822
FGF7,-0.021373544886746424,0.056928272868971945,0.08892381381359678,0.01868778601969305,0.028441216247355374,0.044290254279616255
EFNA2,,,-0.014068431973713004,,,
HBEGF,0.022326622180538564,-0.006109448005979738,-0.02529355297034221,0.06202984371880637,-0.04092809907285274,-0.06426222978416866
CSF3,,-0.06847219512193864,-0.10462703725413315,,0.05113220655735182,-0.013400107628137441
PI3,,-0.012040297768206365,-0.13356208816954251,0.040529903777652206,0.0864056481210505,-0.029113982126606718
PCSK1N,-0.03438208422240893,0.04722072368801061,0.018907958001437932,0.0334303543117959,-0.02595963003463909,0.021991756412796007
NTS,,0.024523640131949038,-0.035448334073238205,,-0.04015085219680321,0.1722494529333345
SFRP1,0.015940772160226328,-0.0007457635789595105,0.07254551464542076,-0.011576592828420183,-0.06536267470144945,-0.019382614080236348
CXCL13,0.02300450942475503,-0.013384120394615343,0.04408433602273222,,0.012601319559643902,
MICA,-0.0401077753270863,0.03394411954604967,0.02676508692888958,0.07496487398525431,-0.043924554602087267,0.012945833307244563
TG,0.01924954309287582,-0.021637772690426788,-0.01595916102104084,,-0.017066250753453385,-0.02613276584328251
ADA,0.0009131080814086904,-0.03422559776798004,0.04532727811758983,0.05205822486161062,-0.03250829747830777,-0.029977843563791413
LAMC3,-0.010952251068348243,0.006193454691726933,0.06279726023058342,0.04867926020449692,0.05800828137774449,-0.0018181474311002276
CCL7,,-0.024406422647302427,,,,-0.014042013859005515
NGF,,0.0334632250447485,0.04679414453880451,,0.018290936956976676,-0.04204136627428198
TNFSF15,,-0.023793521476226036,,,-0.012876854013732822,-0.03710143175364702
HMGB1,-0.02198205037394231,-0.04300916001091581,0.05713152418735371,-0.019890571498354867,0.0378006012148749,-0.01529031495335321
ITGB3BP,0.051994324467754094,-0.04567020424604028,-0.005992537368048461,0.046554777592371664,0.007923911159403644,0.032502664874449284
AANAT,,-0.021411319298154534,0.023731472386436626,0.07669361848973302,,0.09568046502079541
RELN,0.014197036278493422,,,-0.053424302243335296,0.008650239543131292,
IL15,-0.008939763496337513,0.06520710170179636,0.13466210938612608,0.025129560697141083,-0.01856649409879371,0.015520447146282201
UTS2,,-0.01823330542520035,,,,
BSG,0.0012006082491379864,0.00397158332903854,-0.020513744457042328,0.02825441313842887,0.015844442264312777,0.0442349773050557
ADAMTS3,0.08952261067774421,0.09218137748197276,0.1056632508196691,0.09615753517656861,-0.038164215771759824,0.03923465593639352
CD34,0.0021499148906350537,-0.026458028389596534,-0.009101410334642682,0.010810840479483242,-0.0018392561908799955,-0.028060323672935095
PLAT,-0.0034344444432938674,0.044890801608653,0.18189639224149434,0.029681113614915846,-0.010119990460661643,-0.002852288336575991
NTF3,,-0.002385678727146721,0.11025698067482907,,-0.056944386075481364,
LTA,-0.013221175893784128,,,,,-0.019995331777199074
CKLF,0.015121522934200585,0.005441125517809997,0.13131545690276208,-0.028733936384943325,0.04701478238281336,0.1416653835506785
CD24,0.06696115698930673,0.05413639212070001,0.05000986083834969,-0.037849338705289226,-0.06243745479987984,0.0026581152078807894
HSP90AA1,-0.006426640837670879,-0.048306528137536636,-0.18969785229660502,0.0735954114025528,-0.0016909993764912428,-0.048436819135150556
BMP4,-0.014015221472817339,0.0002394838611294458,0.009297626701701561,0.025849613670568053,-0.016648036262341907,-0.0115249536542334
SCGB3A1,,-0.01210478073263189,0.025348544311296954,,0.017477388648850192,-0.02944234882389196
IGFBP4,0.012028725946359498,0.02247174986213454,-0.01403557939776526,-0.00447551515192723,0.09628147901835134,-0.013099302666420303
RSPO4,0.008754360785682517,,,,0.023530749182638973,0.13747538554305788
LEFTY2,-0.013383552049426598,-0.020718289018452483,0.003379965408422708,0.020224305639173174,-0.024491097751224118,0.028006122366592907
PF4,-0.012026456421144366,,-0.026668783865700933,,,-0.019995327150130988
ANGPTL2,-0.03679998141520222,0.038691806148918054,0.13223872134952006,0.015796472089813857,0.003755226087373185,-0.0067871011776179544
LRIG2,-0.009313669987511302,0.03655369896558534,0.010403984240557052,-0.005002030572117562,0.009869534217147362,0.06739769782710132
ICOSLG,-0.03687061802370677,-0.038979755196642284,0.09175291899781554,0.02390507691340782,0.005945156313260367,0.08580456250403626
WIF1,,,,,-0.016741142376434714,
NPPC,,-0.036434387713266285,0.052457546044861386,0.05013795363107987,-0.026659417250796742,
LYZ,-0.030219527593967965,0.013999919271523093,0.033273749577683726,0.014305051343382358,0.019604937174118906,-0.02407024218696723
EREG,,-0.010172031677981457,-0.053892270146407885,,-0.022430556665106915,-0.016081622475697315
SPTAN1,0.007772332205314092,-0.006075147312608776,0.06317387242930757,-0.009664262107012097,-0.04568251320579468,0.046129064964273055
PTH2,,,,,0.027587819936840403,
LIPC,-0.018100459662655558,,,0.039889885839857836,,0.009195466815183271
COL8A1,0.012836952196671568,0.05496378890623597,0.0074353506799295895,0.095161781440286,0.021231954122149496,0.010356809455434835
GSTM2,0.10233422220263447,0.003059949482676038,0.010321615747660957,-0.03355173643109217,0.002897043065878554,0.018440212288625454
SPX,0.1410762544145371,0.17323453286257628,0.016162544367788845,0.01355730064216108,-0.04431925431939903,0.11446454049152775
MFGE8,0.014574734766744556,0.02334517368983476,-0.020387319831684816,0.007865989343343085,0.04139024000814732,-0.018550377731611317
TGFA,0.050758395836064105,0.04446170955462337,0.017709397454181163,-0.08821505393276756,0.016323560880897998,0.062393070749942714
SLIT2,-0.03135861054083022,-0.05878913792575825,-0.008689674645361148,-0.0003221789717495311,0.0408368862568468,-0.019376236038082112
PLTP,-0.03717270624389656,-0.006001189118124578,0.08072785862877281,0.0552274878377628,0.047791437564798506,0.02614660859366436
APOD,-0.00832188301180837,0.05429635809101733,0.15979218605568757,-0.012296463126294791,-0.010575539385806746,-0.005316457571264721
B2M,-0.06993579567222005,-0.05484188293380112,0.16842417306584956,0.02671363837251916,0.06177265672063806,-0.06250012507847158
OMG,0.04072910376077045,0.03977889414456263,0.13697889841587121,-0.027131055991139463,-0.05669007376474777,0.08930376868702161
CXCL3,-0.011202117049393705,-0.06430605094029453,-0.038994085935606736,-0.030083618065550162,0.07880608355459286,0.006911017419264553
CXCL10,-0.023045998774741776,-0.02520276242455434,0.0013147901528848271,0.038924230593608465,-0.024607689022774097,0.03157801122583568
RSPO3,,-0.010552351878342612,0.09611091504907474,,-0.020627139983674138,-0.014249898285060155
CORT,-0.021478489597709167,0.1506487658334525,0.047879940451513545,,-0.02995144043701938,
NCAN,0.02408526707310366,0.03105465161059418,0.13502160162074747,0.07498031083022402,-0.07415168336439196,0.04926387729094269
PRG4,,0.03771986519740122,0.06413964252691305,,0.12493277622468954,-0.018717594910127155
ZG16B,-0.014471885659367193,,,,,-0.017768089589109578
TGM2,-0.02768959249344533,0.02540800828447124,0.007805990730182079,-0.028893528474845404,0.03558950671487272,0.014673167420526989
VEGFC,-0.018582458492065256,-0.003252376124071628,0.0036875827348113416,-0.02597815927689072,-0.018623936151598578,-0.00019915380051597147
WNT6,0.03529564802450124,-0.036434392628918656,-0.00316773064901286,,0.04030498154716543,0.11752721072004947
NRG4,,,,-0.01602750978927079,0.13685077985752991,-0.014249899882133774
PMCH,,0.04647637937128979,0.08029904103271139,,0.04129477697385345,-0.03072819754261934
COL9A1,-0.02242180285558509,0.0486157258263972,0.0763568995259815,0.01592049660767582,-0.0110253679674888,0.048193243294145094
GDF11,0.1479627663488674,0.044878428605423265,0.05863893929039192,0.02820528971162241,0.0534118070461472,0.06064323861993104
RAET1E,,,,,,-0.015632038922430966
IL24,,-0.01849583588734648,-0.026243563665870585,,,
SORBS1,0.03298481444555153,0.021844780639841556,0.06684165603858483,-0.01708199939557077,0.011395232141826663,0.016080666947492075
DLL1,0.06669143071784374,0.06025100004078798,0.1690109911243114,-0.019214813070113787,0.02297218237567522,0.00020304882763160965
TLN1,0.0018896075283378983,-0.044309317256365395,-0.04464450506104528,0.0691885524384503,0.05057838407441898,0.019019885726664847
COL2A1,,-0.04043432191402473,0.031676245291369705,,-0.001547159582006882,-0.0005541319273780501
SHH,,0.02098137971846496,0.02339398940268533,0.04706941354709758,-0.004616018111424508,0.051190152256424606
PON2,-0.0564774058369203,0.013221147681035873,0.14642119162012235,0.006525981759725694,-0.01852059599671102,0.1000260266446844
ICAM5,-0.017227637668192974,0.003057873768252993,0.06543345056124697,,-0.03673245413100648,-0.030728196249776154
HPX,,0.050818485092117956,0.08587835774159298,0.06354113237103061,-0.006262860603345083,0.03124227255052294
SFRP2,,-0.021109179185827963,0.11994256181057719,-0.07101673219879037,0.09419264353247336,0.03133099559405707
CD70,,-0.022146873429099073,0.012739383586935172,,0.10117571464022093,-0.02174079703113364
HP,,-0.005895045919238113,0.0952548605134435,0.05956951109455904,0.02725156822580099,-0.021316291651016624
CXCL2,0.007715558226805175,-0.008488516522662354,-0.02156683507352213,-0.03508628503072297,0.032887315414896305,-0.052434188865520405
NPPB,,-0.039943242487922845,-0.009365077009557599,,-0.0023111337734701195,-0.01445493641593399
CCK,-0.0274251239721067,0.07238693376606628,0.05386253974788945,-0.04192913663299121,-0.030749818348611537,0.0033575430309350065
SEMA6A,-0.007845897578554837,0.06295894561908977,0.03273832111334478,0.031131807920223714,-0.08598541837934152,0.041415928532294095
IRAK4,-0.03574572241321389,-0.010645068589918762,0.018204170518519573,0.07171140591191551,0.07414212726273883,0.053503879526242755
GSTP1,0.033027943942229535,0.06260601359129819,0.1426021908422212,-0.019848693005527232,0.010377675568806385,0.05527876221666722
VCAM1,-0.0362422635815666,0.03401101506085018,0.0006705301195602956,0.029060971048930403,0.04149263094170444,0.05995705285619143
NXPH3,0.06554621487292832,0.037080406355529644,0.022760248370251215,0.015912342095095844,0.008219986398197179,0.08031032262262702
MTMR4,-0.03278147894938196,0.013379626068738342,0.07378756348543546,0.011562359002268402,-0.03290736901829516,0.005983942567127072
LAMC2,,0.052391214285872935,-0.03446516289594745,0.0680419269426703,0.09726928817777043,-0.02754108665663721
IL10,-0.01916955235343001,-0.02127335500367133,0.07324408269385681,-0.02971601287203754,0.014009079962164332,0.04232091010768372
SEMA4D,0.02320853663117038,0.08200875071537667,0.09444922972055941,-0.013439071958505461,-0.05204780016447579,0.04686626396248116
TRH,,0.037082777332680276,0.06753037584162651,0.0639034279651362,-0.05872344798410619,-0.016190498155189734
SEMA6D,-0.014134702964155752,0.003744260805437322,0.0400941356178963,0.04366308379477035,-0.009821287321614731,0.08492805104812592
CEL,,0.0368438511874105,-0.03308452634218667,0.0013316578243933674,-0.022530375020924618,0.03510921649228407
PDCD1LG2,0.021511674596306016,-0.024879116592363422,0.09240047866681263,0.03709974178012385,-0.04772744217353359,0.07600745872746872
SPINT1,0.007715681312275533,0.021576616893084627,0.044864370599898534,6.0340299231407734e-05,-0.002191239957745227,-0.00447755694930884
CTHRC1,-0.020076838900184968,0.009881801529436728,0.00547079629660419,0.01210372832268042,0.07813572886290249,-0.0040641920709942655
PODXL,0.06364044402096675,-0.03462737887747045,0.1068030130964914,0.02309474348016694,0.02673912782649099,0.0022608858412502286
JAM3,-0.011425150047131018,-0.03255840097072422,0.025965767177016593,0.01761275773187429,0.04387025130794049,-0.03659454405032568
TGFB2,0.02101668052687547,0.0014758679156724871,0.06924188602626334,0.061261085844630705,-0.050400633436951774,0.020473636730998602
COL18A1,0.01878660106177432,0.049149146792568606,-0.04751958584377079,0.012822147596712309,0.09078694564518053,-0.03982137084030791
NODAL,-0.01289060485296708,0.00435689546549514,-0.03241698313018013,-0.0227236237968789,-0.015198750458900172,-0.022158169080980308
INHBB,0.02751273798200565,0.013517292125743761,-0.011939572742400342,0.012379190617927173,0.06793711705840172,0.05143005606402744
LCN1,,-0.0294096373595053,-0.030613740352567632,,,0.08458027306670535
ARF4,0.07262838766850027,0.018765104104786965,0.08412181375173525,0.007275077403104397,-0.017127919068075825,-0.046914975561123465
CXCL14,-0.032106963270626454,-0.0729930278866818,-0.04643244615350846,0.06832129179513693,-0.019704015195476276,-0.0025974434394150235
LIF,0.022483180638933706,-0.07060562187679281,-0.023721562845967298,-0.007222993080179351,0.03558869482741361,-0.07626623181176671
IL17B,,-0.02559260644948402,0.02951935158573366,,-0.018908657869526998,-0.01165961192827649
MMP1,,-0.028913979678318803,-0.007555551545303266,,-0.01369234595428024,-0.0504786012876685
MATN1,,-0.037005818905339403,0.07362019302830863,-0.013918962699677358,0.019250698785839838,-0.01969110546084479
ADAM28,-0.007666783032507469,-0.00580821886067132,0.0971446945672773,0.003258404454906483,-0.01449233819529654,0.015251933840978405
TCN2,0.026575117773026014,0.023407314071692376,0.06614231561613258,0.03087160869968569,0.07437026777705263,-0.026492634070036422
THPO,,,,,0.07146482539157069,0.03635239564087804
CUBN,-0.031049609479401823,0.06299373867464603,0.08684852080432749,-0.0029016886895356637,0.07304817237533286,-0.016133389787967405
TIMP3,0.02202904467510081,0.005963149644319163,-0.08762846807699566,0.058156342694983675,0.03503261886280841,-0.03583013275754777
PIGF,0.01867606027859524,0.10809562242441982,0.11040550057877559,-0.042484407024808254,0.014323829791064776,0.0156165156686527
CRH,0.06421794925369895,-0.032390001759647756,0.04863759670827992,0.07336696835407099,-0.01365446864055335,-0.007076260023117622
BDNF,0.07624458845849962,-0.011783859491599543,0.0316720301538314,0.07912401928912435,-0.014242447630419727,-0.03569097040379331
