,UKF251,UKF266,UKF269,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,,0.0036827282598697678,,,,-0.03673948186334133,,
BMP1,-0.044120474598605366,0.06074095917222795,0.04570111198224175,-0.08359917657978279,0.07598788913521479,-0.009970337823277095,0.06927871359622154,0.039236388921317526,0.0047743649154131955
NDP,-0.020780238869308014,0.016154756800199947,0.04515981965106402,-0.017360295876877662,0.044576923419684326,0.01785484184078516,-0.022204567076113742,0.12568723668160972,-0.010515864252512963
TNFSF18,0.028037279927173572,-0.01202454628056412,-0.026500534257144406,,,,-0.007597148441759336,0.1098263271204825,
IL36G,,,,,-0.019128753761140167,,,,
RTN4,-0.022478964660189518,-0.1036092360165406,-0.02843333829695145,0.03315518076594625,-0.05180465323378865,0.02128143709605074,0.03568218617590013,-0.08204171084628012,0.025215709833249892
HEBP1,0.015499172412132145,0.030518003560570134,0.025337827318689752,0.0762266464135373,-0.010951356015328803,-0.01794939686296185,0.006907066323224151,0.03469805123992181,0.09249133689034632
WNT7B,-0.019936823218783758,-0.01776195255967031,-0.07386337391710925,,-0.02102470480784689,0.11511438432806627,0.07090616878994219,0.05441411136636121,0.14113257039499386
PTMA,0.04585355998235965,0.11989376138346663,0.019837631935854458,-0.0066946264426238555,0.044329281300862895,-0.029133904119928087,0.006320547128084536,-0.051735165557020665,-0.0581447075299935
CEACAM1,-0.015300312701244684,,-0.03487319372482949,,,0.06831736188006199,-0.04421332063091318,,
PDAP1,-0.0005183141175248854,0.04663583499237748,0.08056555683556267,0.06294773100305225,0.013290301682887898,-0.047305528791312376,-0.03394146653692546,0.09868442906602526,0.061366821042223456
QDPR,0.05136427913820245,-0.025980547104441917,0.002273716108075144,0.058124523435886366,-0.030634590471250004,-0.04558001935875146,0.08755630602916843,0.004450855930565392,0.0923667619106447
POMC,-0.00202505680718565,-0.03172317832382298,0.1693797899171529,0.050012162857351265,-0.04098355995777778,-0.031946756170184394,0.06442351799882355,,-0.06082931714419208
CCL18,,,,-0.02073476096767651,,-0.02770773980772339,,,
CCL17,,,,,-0.017474659625936695,,0.006045551637687673,,
VEGFD,-0.021914628252494385,,-0.017211685553808625,-0.03324977659865005,-0.01872813396963372,,-0.01960053615596162,,
TNFSF13,,-0.011661301430290708,,,,,-0.03179708944452141,,
WNT5A,0.002810691632090294,0.08828954258389297,0.023533133070183437,-0.023927389870715035,-0.02080116034314859,-0.008698622500471459,0.09004788365755954,-0.02348719097820924,-0.08052918085153556
CXCL8,-0.020519558974194246,0.02732434624824756,-0.01648083751978166,0.012298645098575239,0.056988071713852284,0.04241768201323051,0.0012452965904063119,-0.032178365043761675,0.016338658141734304
GRN,-0.004525497944112797,0.07570687576085919,0.04553817360674558,-0.04889542696372311,0.030523067962431184,-0.0022731626289412797,-0.05623821947367875,0.055055819739835046,-0.06733500963770322
MIA,0.04611219697684002,-0.02108588199870011,0.030914998414328446,,-0.025649037736101277,-0.05098566682711434,0.029905159601979585,,
COL4A4,-0.012734421756425062,-0.011095213109774996,-0.01758574911952,,0.002253170287626,-0.03503124049091063,0.0050931606383764075,,
TAC1,0.03147840918469478,-0.06263817910669683,-0.024552610307008633,-0.06399814791706912,-0.02633599784406194,,,-0.021167473515209676,-0.008325858940697222
RARRES2,-0.01121132208980803,0.057678888884578845,0.018332006596278965,-0.010381078261598753,0.029159296285977007,0.03358126285167667,-0.04335419193217924,0.06051725837794522,-0.04777616424202409
FGF7,0.002070792517715103,0.01775725777762943,0.02911769112722727,-0.05706615606454327,0.010438438564492227,0.08542079047145962,0.05206299897589801,-0.031129162169597855,0.1279265101590977
HBEGF,-0.026901927688126947,0.051368904590933545,0.00434911707900498,-0.02905386758236348,0.0030611854682007647,0.05734382912966192,0.0351585159901725,-0.032996810486691,-0.07579519528840922
CSF3,,,-0.018605384084813555,,,,,-0.036974956864392595,
PI3,,,-0.020949908043989943,,,,-0.04115673265425633,,
PCSK1N,-0.027719327075755914,-0.04292181311994233,0.0008330868123434263,0.013801996308737902,-0.05992908642705182,-0.029257905956541593,0.03186528037016382,0.03591461397010761,0.06608127698416598
NTS,,0.09370930706237764,0.21482008109413434,0.10142470750365039,,,,,
SFRP1,-0.03668773234749589,0.08679021131119105,0.06804521725359831,-0.021363663719668677,-0.005950664668884692,-0.015819050055744712,0.019534970554500996,0.09660152637972827,-0.05774995701969286
CXCL13,0.02067488282245245,,,,,,,,
MICA,0.01883282087086227,0.1541196838317976,-0.003078301035050801,0.019909566816365687,0.037792069342076205,-0.05309645409635439,0.04795160548925024,0.021620560235690787,-0.03800797177548804
TG,-0.02080534250081898,0.03128213418772337,0.04561923136206849,,0.062295011387553785,0.03350029065252626,,,
ADA,-0.01303330046286159,0.04389870061373228,0.00928925684715429,0.03214952038099139,0.07336541651425826,-0.05850881485955599,0.015120669356200203,-0.03750233738320425,-0.01222774981971102
LAMC3,-0.027817901795497056,0.10571807510268363,0.0664973845720856,0.009136825226503815,0.007188302025297377,-0.015032010059169067,-0.013461412019619028,-0.04232287813727163,-0.03382850389992774
NGF,,-0.014919214371302001,,0.04442032077390555,,0.04499585934096029,,,
TNFSF15,,0.06381594753869423,,,,-0.024766347395857466,,,
HMGB1,0.028850551746869516,0.10482859612031631,0.02583928213216829,-0.03176633972950957,-0.003954523572965289,-0.06995515618863173,0.05696969824343661,0.08986404472107214,0.02902008632347263
ITGB3BP,-0.05344820401272709,0.09443657667730074,0.01468381195420103,-0.06964957377801324,0.028460104245195197,0.009539749405375303,0.05220570028148897,0.010894484225318083,-0.0007826154194518365
AANAT,,,-0.016782559941928014,-0.024844118584049456,-0.023440584418946905,-0.028858772466669437,-0.04262469925055231,,
RELN,-0.04882331206868882,-0.030387184972402885,0.0020677809147075597,0.06874338891603932,6.143921383568074e-05,,0.03378300574026348,-0.031041834857314633,-0.03798460011347206
IL15,-0.026505688042858307,-0.01289003962410537,-0.04377575515136092,-0.0012073699987753866,0.039072883960017936,0.1729005415636451,-0.04043891319856517,0.06885521693440952,
UTS2,,,0.008053890996302722,,,,,,
BSG,0.012122088523847694,0.04067501812868544,-0.05623981187787169,-0.039700831336200254,0.010651507042519045,0.013688969415913705,-0.07101010233686969,0.02228869395928004,0.026540670806240903
ADAMTS3,0.002770827637249415,-0.0033430768988303825,0.026084409026111244,0.008743343261504579,-0.007827585364828884,0.009490339355136275,-0.026067976825520825,-0.044961192146997425,
CD34,-0.004068216384559332,0.053670953658103086,0.0307813930184493,-0.0015023251522873638,-0.021408084869720918,-0.05044140634613967,-0.0316806474994285,0.046812445893617986,-0.04611043441133047
CCL23,,,-0.01909588915786919,,,,,,
PLAT,-0.06696858221354514,0.1181284023378158,0.04123690398563288,0.058990398684663374,0.008668915264915983,0.024530392068509963,-0.009926487583141078,0.008112848240942277,0.04608197909070465
LTA,0.027656358284402844,,,,-0.006394689520786953,,,,
CKLF,0.008506935766209148,0.07668648394047836,0.03068436561107393,0.04960975596084027,0.006695701926662567,-0.01572294672343332,0.031803463634072104,0.03903298500639101,-0.06820240808596008
CD24,-0.013842826465042216,0.020447296633913464,-0.023178742188452797,-0.035787657371654576,0.06399710812353815,0.11349577925916343,-0.0285451415499502,-0.07255100825569055,0.19758659660512573
HSP90AA1,0.0821601712450749,-0.11646036647303183,0.019100940587278643,0.028014815297274478,-0.04689884896106684,-0.08063935375836082,0.032659927532666055,-0.09373013568117783,0.13883227331068357
BMP4,0.023421764222926716,0.06706304753817213,-0.043878401092962926,0.03403957693700365,-0.018524777659485764,-0.03842186097028348,0.012222240634167589,,
SCGB3A1,,0.029597941281607525,,-0.03532589029189463,-0.015169927292987629,,,,
IGFBP4,0.01256677476929535,0.09351370514926617,-0.00840907127057338,-0.017169536070512918,0.02063085509805595,0.08869214357831338,0.020806961377631533,-0.07027598367781293,-0.026133759190077335
RSPO4,0.029736199861640413,,,,-0.007170815900751461,,,,
LEFTY2,-0.015488225409603202,0.1501416795436279,0.05894696828647793,-0.02857332423706775,-0.01426720873733467,-0.01752132274278456,-0.06719547676949157,0.09472057878305855,
PF4,0.07800970118243665,,,,,,,,
ANGPTL2,-0.06118227814713929,0.13572610328581697,0.003193630976212993,0.002635344790977136,0.06805664200727772,0.007368316167305277,0.00213245042827121,0.10062669577256761,0.006467248859260726
LRIG2,0.035109832996153466,0.07771999524609692,0.00774802773309961,0.08060078523669598,0.0405610705182056,-0.014414371748269535,0.00904632887117432,0.08690508167183277,0.11308166054019518
ICOSLG,-0.01147938924138231,0.13007404623347,-0.0280593944464403,-0.026677761520804217,0.038182895570016355,-0.04790673305753732,-0.02008115623597312,0.05625811696027165,-0.03865372809228644
WIF1,,-0.07662091016883463,-0.03688068803433695,-0.0725983557620234,-0.028322318533462894,,,0.011364498781435667,0.05959113531823495
NPPC,,0.0029885361134454388,0.11348523462873915,-0.013764811308722041,-0.011855226927555853,-0.03455537571822048,0.015439545830670443,0.04269475797763902,-0.00299917759447686
LYZ,0.017867137878909298,0.015499368869400941,0.047114321595509524,-0.05110394437769467,0.014216789977416489,0.02417032070833286,-4.703916366529963e-06,0.002687253727547406,-0.04500698463117252
EREG,,,,0.009982990713391468,,,,,
SPTAN1,0.02850487464477115,-0.03529280726598563,-0.06834122775549557,0.013542724872249662,-0.014585758536047702,-0.013456801946679987,-0.028620143096339874,-0.03274215539573166,0.020957094408511723
LIPC,0.040287065513353086,-0.019989146278383454,0.01019110623837337,0.0205607899589145,0.048301760984558746,0.03125695042543722,-0.012767044642842585,,
COL8A1,-0.04101038728081852,-0.008612681630072535,-0.006744060358060671,-0.03712814380242609,0.05570844324316275,0.004866785533107943,-0.004565312491261699,-0.04189030697171929,
GSTM2,-0.030497309026998036,-0.01090026417967639,-0.010411635795120422,-0.0014129865938114906,0.06085735776509916,0.02137458779148388,-0.030428056933180316,0.02968186654123811,
SPX,-0.03090980502142296,-0.01611252871928561,-0.03786216261789911,-0.014628200752812076,-0.036344592123699886,-0.0359513344643754,0.01972347358544086,0.08991895868545252,0.023947931104016603
MFGE8,-0.058223284944046015,0.030887178089566893,0.018969877614964215,0.06440913738868631,-0.0035099811724298045,0.0838976657621685,-0.03964741445550165,-0.0013369427960485225,-0.025840758978472152
TGFA,0.0006683235013603762,0.056371459328791805,0.04441191719340646,0.01948999880327602,-0.023903036048949586,-0.012451827395090037,0.029861288624032038,0.02656710879493999,0.05430857561909574
SLIT2,0.05994779568714407,0.014293685150966474,-0.0557658758336796,-0.03238768564597032,-0.03496868783856791,0.03308853862119741,0.023752429452123205,-0.03825428173021609,0.02643463451445529
PLTP,-0.007863681278123279,0.032777021186046515,-0.01444086477465993,-0.04383530369011592,0.013400083684125116,-0.02034222409589168,-0.04478779063563792,0.05966320552754464,-0.017495671320987137
APOD,0.011862690026314487,0.02079871533049869,0.04714269568421664,0.07728750973803812,-0.04867658855362726,-0.07497212507607157,0.07653756041457682,-0.06497053625653923,0.019938285013387326
B2M,0.025271274116312886,0.1049083753951725,0.015660586687266546,-0.013415403501108132,0.04615932046971832,-0.0832708539362214,-0.04357991355569055,0.22914838977039087,0.030642350694263014
OMG,0.016437799730516952,-0.02533807496353784,0.07876866473496687,0.09427091429726614,0.008900066530402177,-0.024646658229970576,0.09677094019234092,0.03636823868051599,-0.0686274886277233
CXCL3,0.01850691704087775,,-0.0048208568134429424,0.05039210638412753,-0.01565678098391915,,-0.017231914989322004,-0.05454048813515142,
CXCL10,-0.01660958351070777,-0.01761922387957978,0.003382835452623978,-0.05622220091180853,-0.024880519732029368,0.014836351388841021,-0.02129077743206842,,
RSPO3,,-0.042786076818994774,-0.027557853309413884,-0.03459033459086073,-0.016361034373300977,,,0.07431651112167377,-0.031059306922353785
CORT,-0.024856158299275247,0.05573707689182546,-0.0317651931923848,-0.024292210695085026,-0.035376612623035986,,,0.026556148289385097,-0.03316630915051487
NCAN,0.005714321459117468,0.021965372569814432,0.041151337084310805,-0.06889212932733886,0.033655215231076056,-0.04973542493181292,0.06701003116008104,0.1406477252682312,-0.02395668328439212
PRG4,,,-0.023872588073199988,,-0.019128753761140167,,,,
ZG16B,-0.01674770840853765,,-0.025774295131909635,,,-0.032081293315872894,,,
TGM2,-0.07156793243444187,0.058126397617401744,-0.019145447055276942,-0.010138965188419918,-0.04340701218902664,0.04904422882923623,-0.015752825318667632,0.03639213279534333,-0.0767227862019484
VEGFC,-0.021504702542852423,-0.02642473671559468,-0.03147450851536556,-0.0481840352665703,-0.019521655682754095,0.009417302708005944,0.10414835827106078,,
WNT6,-0.015488225816083983,0.04255029939041861,0.04149531714660931,,-0.0170375152962976,-0.030509313709857405,,,
NRG4,,-0.016185203849742657,0.022164481721122117,-0.03353949935267463,-0.022774288344335078,,-0.03253023483919172,,
COL9A1,-0.038468943835712095,0.09137809160059536,-0.013441452627118688,-0.042049782346603934,0.06277829945829207,-0.005569102512443978,-0.061389866301487704,,-0.05053345735371878
GDF11,-0.035136081021494084,0.0756106731883404,0.014953310440338664,-0.00849989025260981,0.044730379391852815,0.11153895614030958,-0.004089313300811358,0.031030050833455423,0.08803712503452552
SORBS1,-0.05315947181824687,0.006404727395805045,-0.07939287984589302,-0.0026182736201671524,0.06438560192406151,0.04870367119486136,0.016754467354956216,0.025621797945036783,-0.05271831664966241
DLL1,0.02888301971510749,0.1213223577157496,0.08942447518561257,0.06497115630433928,0.09548877907723069,0.001361935034936594,0.03485607519317363,-0.01784734832543211,0.020226078748160393
TLN1,0.008868000010326936,0.11230481020213058,-0.010892406235274363,-0.00017801802673318804,0.012022085449769378,0.029362784418988302,0.03493357025993724,0.050885463742049525,-0.03780712194561463
COL2A1,,-0.014323534482993025,-0.022034706452697842,,-0.015894847083040353,,,,
SHH,,-0.015634195606715286,-0.017321956628667055,,-0.015169925967041547,,-0.06338747372935997,,
PON2,-0.06398664221695352,0.005582224017168191,0.09041067014181103,-0.03727588746024923,0.026643187735788762,-0.025282955560439958,-0.02551952472808693,0.054632644237195147,-0.03711329919967513
ICAM5,-0.019936825029299714,-0.03586748762871786,-0.007221168381498151,0.10783650751885557,-0.029626045980145482,,,0.15552251340104906,0.06168167121731537
HPX,,-0.013221209843163632,0.030155320336851026,,-0.0385589241694799,-0.05257637728829986,0.051112772467518344,,
SFRP2,,-0.03125489915185569,-0.017585743941155824,-0.02218808096712834,0.038599755806543595,-0.07932727730103559,0.030315037653277605,0.023191119004767828,0.011334736200802156
CFC1,,0.042695157375256025,,-0.04380091942770615,,,,,
HP,,,-0.015297165989473576,0.012862156397177249,-0.020596093762646563,-0.056324129921253976,-0.009962232227295023,,
CXCL2,0.030566216765393554,0.052837443989661996,0.056784465817271465,-0.001324357460196224,-0.007083512108874028,,0.06552677217435024,0.057706679152981395,-0.012117178166192104
NPPB,,,,,0.014408110332714733,,,,
