,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.012443408278456702,,,,,,,,,,,-0.049929887269151416,,,-0.02533209826481941,,
BMP1,0.06171233845335858,-0.0638311336640498,-0.06949710982772853,0.013474158242547628,0.023028457035357594,-0.10241173523462528,-0.028192718061385926,-0.014747993175247097,-0.04656263481245782,-0.03275422432809635,-0.04163029110191903,-0.08043349726361802,-0.01043625420043666,-0.05187636886757125,-0.13028854986125996,-0.03409805683293828,0.013317411475739541,-0.05051543987719581,-0.05523932627727229,-0.057551599775734597,-0.08336521243241266,-0.02258749814961878
NDP,0.04086626206817513,-0.020780770031572332,-0.03171907106809137,0.11490533411996312,0.05350454460384387,0.0022562377748467036,0.026057580851099736,-0.029525455049208355,0.008574324274718829,0.005711547006152163,0.08326061632889993,-0.038931881988701116,0.1307418507725155,-0.0010079517203869356,-0.0025978704186714495,-0.00033327764671414213,-0.010907444777610882,-0.07060043634847378,0.005990519345186575,-0.055935315353235225,0.0016353602745124147,0.07754883570660523
TNFSF18,0.04562457801957407,-0.018985855463337253,-0.026566997558608866,,-0.028153871289105327,-0.01847808773215497,-0.010647509681371023,,,,0.04908224992209574,,0.03300409810188815,,,,0.004194021777828298,,-0.03332763382311186,0.0371642734635659,-0.08449205123247253,
IL36G,,,,,,,,,,-0.012934680532231345,,,,,,,,,,,,
RTN4,0.008174003703171801,0.06836334658742341,-0.0016511588820146727,0.05503391710458276,0.10744283805240988,0.1174045170321357,0.09429497672248237,0.06675835477484109,0.15571221089555576,0.038114772820302505,0.057886320303411246,-0.03925054731525779,-0.02471108608361962,0.07193477224801269,0.11109506705327268,0.03715813171014376,0.07169021880525085,-0.016507401556843833,0.02928738531914466,0.025158395002083365,0.3173257411855363,0.040073536741581144
HEBP1,-0.05661966708298708,-0.02586160640031462,-0.09330901119796764,-0.05521004052623877,0.019285930246616498,-0.03764216654763054,-0.04087213484058404,0.05933200855171043,-0.04390058839451023,0.0005220250826917893,0.02689714396886881,-0.042559591629628434,-0.040687723073549995,-0.007165522127813822,-0.07003318663908867,0.005775273318873965,0.06627388750595337,-0.012303149873463532,-0.012626347285788436,-0.08887499587484735,-0.011764516665064804,0.0708544633508413
WNT7B,0.039113804618446865,0.14583242072623076,-0.019049664788296297,-0.007817441480291164,0.012183572186881507,0.07290875001742686,-0.01124204709807047,-0.006733425576777151,,-0.014216704515608674,-0.030772975155449446,-0.04679306200542143,,-0.041820649961573135,-0.011200883267415633,-0.011118911071425522,0.010938606789654805,-0.007970794835051396,0.03153639855629626,0.01813910566900472,0.006348440184035669,-0.048108704091741186
PTMA,0.09844401378309078,0.02507158404006941,0.056913784589123675,-0.04897318441441385,-0.07219774975920885,-0.0047416526097429235,0.030387686655798468,-0.05698147779292698,-0.14107921800725914,-0.08344563141728281,0.09749969224249083,0.22975531447700495,0.053501543176666735,-0.0661166432096352,0.23152909151593445,0.11057024687780657,-0.01213540717264495,0.015852565277546152,-0.013363700799119364,0.0790620324077056,-0.0581513088350321,0.013096161653600535
FASLG,-0.022745682588070915,,,,,,,,,,,,,,,,,,,-0.02197052018290767,,
