,MGH258,UKF243,UKF248,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,0.14568818389994243
BMP1,0.01675552684706371,0.07784146539918003,0.04141877604813532,0.040613197619608424,-0.013859408388752723,0.0607515428337382,-0.07859548709210651,-0.009229899398923908,-0.000506702883946544,0.050652021851922614,-0.01793870958107542
NDP,0.02406671501633436,0.07138381969718292,0.011948896180057752,0.049563748240570596,-0.03750077733283783,0.08942994124344536,0.07072102140020674,0.04011443842680558,0.03713178076982082,-0.06258864692883256,0.05373819926561751
TNFSF18,-0.03039028841266584,0.04069179814652018,0.06679916619776097,-0.010647509681371023,,,0.0519122747540717,,,,-0.016937937237450802
RTN4,-0.04925444238540024,-0.12080463299924521,-0.05148375179117394,0.03993455757030096,-0.09844895891331075,-0.007998844789565519,0.029612170508583894,-0.05014241227161941,0.008670375368046802,0.0039636659056756715,-0.01641518907914155
HEBP1,-0.0020046674557406344,-0.0013112250741263139,0.034908475259573746,-0.03576726141772066,-0.03979792794570659,-0.013142450079577924,-0.08795228560817665,-0.03977785136257992,0.025704503396414786,0.021218780209383156,0.03594988409248778
WNT7B,-0.02677289224125653,-0.04501290588487398,-0.003209933099468731,-0.009581586820696384,-0.01743575296518947,0.017472042157481507,,-0.03447726331011193,-0.03835217295701299,0.0007554338298284616,0.06278616102754234
PTMA,-0.04147040970623658,-0.10029668669117743,-0.015519111207325917,0.026248635593922917,0.02464564476201368,0.08634437151423466,-0.02954990411993752,-0.07703049204554704,0.008237338630124205,0.043825937648840706,-0.029524967514787347
FASLG,0.010224392693304883,,,,,,,,,,-0.015589437159175849
CEACAM1,0.041482875677740456,,0.003002886922858701,-0.016745996129576765,,,0.08493963116077775,-0.030919761970840853,-0.00476050768150523,-0.01762728529937133,0.016287281060880683
PDAP1,0.04054052278797017,-0.031579257487278245,0.018142068567861477,-0.03790360813936633,-0.02254547270294189,0.11662832630618145,0.02158615163674184,-0.025773660914093152,0.027529208468520184,-0.023140906187580003,0.0677105360180942
QDPR,-0.10618391208491376,0.011347352897667133,-0.06952904526115977,0.09782199307930733,-0.01380789323946678,0.038134442004421266,-0.007883678831930486,0.004865274700795744,0.05965407706485767,0.012797695285301704,0.019306471087864863
POMC,-0.05765937987811941,0.09190383192515415,-0.0226832181197728,-0.012354528249030876,-0.03312442421742591,0.00788468145140679,-0.001415519163675973,-0.018228335632075817,-0.015445207566241044,-0.0036820340745659617,0.10523530605387585
CCL18,,-0.025863633435517265,-0.021366726876261656,,,0.0794399279102621,,-0.021922619606978923,0.09618676084681264,0.019866795559672017,
CCL17,,,,-0.013279517579130084,-0.00827472026039536,,,,-0.0073357853907678044,,0.014753096343196392
VEGFD,,0.050241193104207243,0.010954681904748083,0.062318679403578804,-0.0158296123361888,0.07403430681012155,-0.045721909641093066,,0.12172565459503616,,
TNFSF13,,,0.06739333326025357,,,,,,0.011297382273128353,-0.019794259965843636,-0.023023775843567292
WNT5A,0.024787633947362685,0.03653918282326265,0.014793635345923284,-0.04470884992555424,0.03826698813071708,0.04074420509014554,-0.05376709086184078,0.046396041305756405,0.05301898798350026,-0.020086123306266957,-0.033928637785442084
CXCL8,,-0.11782768919501538,-0.026024865457001688,0.038972600929545756,-0.014741223301885925,0.04408640001865836,0.04225233421113557,-0.03859822338619806,-0.04236795816576436,-0.08211676951992454,0.0615887831396381
GRN,-0.009680185403650102,-0.030077245266112305,0.12979626644605957,-0.0044658839555715415,-0.05508163709872698,0.006316451219245175,-0.04656501285801904,0.00957019903096581,-0.02544730192082208,0.03451858194929188,-0.05110174097244012
MIA,-0.020969830593557632,-0.05505959882784099,-0.024941845113806836,-0.026101067462027047,-0.01800285034709761,-0.022765399268371046,-0.12847284438939768,-0.04804567295837022,0.10904573641925734,0.00657276841985923,0.09804068594047692
COL4A4,-0.03100628024031135,-0.02933525591848528,-0.02566126537873408,-0.013864227203243833,0.008722304280144448,,-0.03580115570684551,-0.027717040977436987,0.03335842124577491,0.008794748413323124,0.027067042486635454
TAC1,0.044669487680202825,-0.03674012103303835,-0.036373997145839304,0.030592290494146895,-0.08434795679833706,,,,,-0.030412088846385417,-0.018575418796960053
RARRES2,0.09681225321701838,0.04114906885259039,-0.039280799993967254,0.004778905929544727,0.033220969348325725,-0.017843099654117397,-0.007454108278278064,0.0028836296755183144,0.019322531610331005,0.03000175116028446,-0.00713520865204316
FGF7,0.0035593536988970287,0.04563674075479927,,-0.03160527851273665,0.0356921688960229,0.07617488067783752,-0.03530293906517414,0.038676155951909895,0.040972089660486224,-0.007525634967091864,0.052793695115180964
EFNA2,,,,,,,,,-0.021744805771887823,,
HBEGF,0.03207522799349501,0.0032975622852431954,0.08351112858500008,-0.029398110924008018,0.04393033345751515,0.11231112446689434,0.03549792138092012,-0.017871479236152968,-0.010087369357145031,-0.03796237492238431,-0.003340580427591642
CSF3,,-0.029335232693675536,,,,0.06792251500123725,,,-0.013573083971567543,-0.0252711213403039,-0.014876787874602015
PI3,,-0.0347519576244039,-0.022478697532513928,,,,,,-0.06315716761219436,0.040451124971967664,0.019061140981199008
PCSK1N,0.02744378573262342,0.017240526459502397,-0.07562483988322412,-0.03624025305989291,-0.057843627500242904,0.025587817878314528,0.021535565113624033,-0.026497154370069848,0.018666262875595002,-0.017826882253323222,0.035841426631817795
NTS,,,,-0.015838267966539643,0.022829247291075935,,,,-0.026491919464251567,-0.009259771027268033,0.05548106433769275
SFRP1,-0.01282650795877544,-0.032306791939640256,0.0007378853420401359,-0.029408340856306232,-0.021580574659213606,0.019169952476736925,0.048312980738907954,-0.01721006747969693,0.1294711950406403,-0.0215965820730301,-0.021518561352557586
CXCL13,,,,,,0.01759877214855778,,,0.042674394404490675,0.008675270565126316,
MICA,-0.021400853850759374,-0.02608287675726868,0.042159605553016136,0.01822267449732483,-0.02621950765489352,-0.02345702151874986,-0.07299252517849945,0.06150584063791519,0.03845475957623768,0.05686693641296212,0.046285954613701046
TG,0.07849578434380995,-0.023384862705620357,-0.033647411260345074,0.13192590811316554,0.02130354167198876,0.0523413955163969,0.05045216553819959,0.04451650397398298,0.06849171085913203,-0.020798521193798568,0.04472365831104607
ADA,0.042961517559124855,-0.03458239164770147,0.006802013658915092,0.011858645410802079,-0.025364511225642466,0.13063057109923093,0.00795928733187637,0.06180308160585721,-0.034203953632770207,0.02961112686331571,0.04853143920059145
LAMC3,0.09810180026090108,-0.012110177686195232,0.11026734783106726,0.025044437485606655,0.017561161328260296,0.02965564852495327,-0.07892435929749357,0.03270641573801037,0.013120273188520035,0.06447518547584599,-0.0035589258956548785
CCL7,,,-0.013591043306639076,,,,,,,,-0.015589431615758072
NGF,,-0.016900861452773797,-0.02333514643870772,,,0.06476060431922095,-0.011641833091966319,-0.010605808680827533,0.015621260941161095,0.062356098881181425,-0.04667428839956817
TNFSF15,,-0.020908474902160204,,,,-0.016059749224973583,0.11223145988827346,0.010431969705454533,,-0.015692932500706316,-0.041189977376304775
HMGB1,-0.021531846028858548,0.02916537650699326,-0.06970327523557909,-0.005868564162857453,0.017354820171615527,0.09705679775065393,-0.05342516016347095,-0.02450617820078375,-0.04164685436629033,0.001712110579043886,0.015227115126854039
ITGB3BP,0.012054969330608612,0.05630253047522173,0.014268598460722311,0.03901386561429656,-0.019578903647016345,0.04438352948125094,-0.02526154569941746,0.02065677363729697,-0.021068949974301615,-0.03209728520410746,0.007453735120383359
AANAT,,0.01090334869663487,-0.019718536105058804,-0.012031463432730795,-0.018002851348462114,,,-0.022833327276113664,0.026818856172431647,,-0.01649426876272726
RELN,-0.007215932626134329,-0.02914074021083669,-0.04256989392232043,0.040016464415439094,-0.005189487672343125,,-0.00888862925843092,,,-0.018955361781225536,
IL15,0.05205542737007904,-0.009756200040765942,-0.025675015859634255,0.03422604355945021,-0.038694027434988884,0.04482239441083489,0.07983220887381372,-0.0207807854287432,0.01291000477942165,-0.018005132552647435,-0.042827016880131075
BSG,0.07647122345458693,0.09087563120226869,0.003318148953468706,-0.04968799361784254,0.004520968709414562,-0.001727951568688931,0.09368444404900252,0.059306825480703027,0.046932967635222166,0.030874566852587045,0.1385119746196443
ADAMTS3,0.03983280910410716,0.07741639097207735,0.06791289035714157,-0.030041894126948045,-0.020893949710869393,-0.01904266801219757,,-0.027340584884073336,-0.006897337328641141,0.013482685990395054,0.05054446819403578
CD34,0.03461068606376482,-0.00952229645120837,0.05471388009243024,0.049046842335594816,-0.024777714591343238,0.06295361009212044,-0.09406859438068711,-0.042703058406565776,0.04507710540595595,0.03424547641038755,0.03477056287976473
PLAT,0.044765120911407726,0.06434943329133723,0.03735400883592419,-0.03659339681212446,-0.01909762943205476,-0.014777717247388288,-0.04416645934842564,0.009163372044287285,0.04074094204475271,0.027481709907091895,0.023932704034003754
NTF3,,,,,-0.029060896738028308,0.009709779900968616,,,0.0385530898169521,-0.007261929730256288,
LTA,,,,-0.011587553160305459,,,,,,,0.03471188360894687
CKLF,-0.034486738203380655,0.02422103697307636,0.056718126089362275,0.004903699299477758,0.04366680615191043,0.0352101726711388,-0.02595711631670377,0.1117913523321898,0.07287713839929283,0.022335705545247435,0.026004259082165932
APELA,,,,,,-0.016526795398434577,,,,,
CD24,-0.07164604416200628,-0.02955429685882274,0.0024641378872258604,0.04525521273393922,0.07552093831608475,0.051738276721415705,-0.04292201650612727,0.06691142339938375,0.02462353350074025,-0.01479263832184502,-0.032645922777563355
HSP90AA1,-0.11737255726956936,-0.05554503157886488,-0.07534632589830219,0.05952166101138366,-0.01383378762663916,-0.05099884024796101,-2.6524071557545563e-05,-0.06721157024907708,-0.12328835173245077,0.00458138213977075,-0.053540051454432205
BMP4,0.07047417780001314,0.013833180139575355,-0.01348618646361132,-0.023450972936156337,0.10003023665993219,0.012844464199263413,0.005111678026529754,0.09141820788168464,0.11240828923220138,0.02519991775620826,0.00827152456244449
SCGB3A1,,,-0.013591041947552902,,-0.015185581192726333,0.004568822980051478,-0.029117931785248508,,0.02011653103493198,0.013333264702433931,-0.032686870145979575
IGFBP4,0.07046467299145567,-0.02048242731111144,0.11169360268959015,-0.004412347966471553,0.0018923635829414833,0.0431122144488496,0.038738591862523465,-0.028488862684014335,-0.00656979470973216,0.03942609304783333,-0.0161014387995138
RSPO4,,-0.020646135004679933,,-0.013477029757715937,-0.015185578971491562,,0.0010052804915819617,,,0.01375829683210286,-0.014909644152560464
LEFTY2,-0.030699705598425022,0.038039924531024616,0.024054093329689382,-0.03318921640892202,-0.01665117306595198,-0.01815859561012194,,-0.02917905713820142,-0.008846196737275913,0.009135175237248019,0.0007555205908591214
PF4,,,-0.01409852433923356,,,,,,-0.019930619952971493,,-0.022198794871703263
ANGPTL2,-0.06354652264547374,0.03075369072888959,0.026034050050493793,-0.0011425166473943576,0.044899141205956714,-0.042239839193724094,0.040626764447580316,0.05000331174595192,0.07764243459284641,0.018000555019538726,0.02406113837591474
LRIG2,0.021767301654514577,0.023598344445409317,0.02778853376475179,-0.039864025195472705,-0.04136276710535234,0.04467068282607453,0.03568020815957135,0.0963588498082007,0.04526665073654589,0.005288934772153084,0.023213986335063688
ICOSLG,-0.034244189375631534,0.0019547857000451964,-0.03209454745159799,0.017107822645700606,-0.02881939310399056,0.03327365392289795,-0.006192871943057691,0.015187204542440253,0.07889340380879836,-0.020429114033565274,0.06680184603020999
WIF1,,-0.0480468558961605,-0.02536800617028421,-0.01039990465138052,0.013265327895339324,,,,,-0.020402313874019445,
NPPC,0.07369526972574457,0.038586602911405206,-0.033186459596173015,0.10219617249669381,-0.021104238536680486,,0.020368722022090602,-0.02734053237484287,0.017828791711856137,0.00764587973762742,
LYZ,-0.04752314201981584,-0.016694638219279825,0.07538928126946093,0.028209661481806234,0.0004909046828851644,0.012442648999274273,-0.1139750116146657,0.01876009234095839,0.014122966515278768,-0.009779219659586415,-0.04713149352431702
EREG,,,,,,-0.021233643378559174,,,0.030263720525694256,-0.027335963529864598,0.016979749088607807
SPTAN1,0.11228123104952666,0.06726525085865905,0.008364742141496134,0.017430881973140428,0.03183863789903915,0.017089224283813702,-0.044585328149416854,0.03482286706629294,-0.02331645201352494,0.006658301428530945,0.04041346495692489
PTH2,,,,,,,,,,0.14683135870943093,
LIPC,0.08546336994756955,0.11794729977933698,0.002650898573864819,-0.02519667960178463,,-0.026549943384154055,0.06893278669137057,-0.01323607050338178,,,-0.028067678911148076
COL8A1,-0.026170015723811262,-0.059630564948793256,0.09490354527230643,-0.047627166579150136,0.025535520314179803,-0.07763173008301512,0.01857707679945842,0.07155919937833169,0.037485271331692424,0.03521307615451617,-0.040666581112929194
