,UKF243,UKF296,UKF313,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.01743553106720778,
BMP1,0.11391495996354896,0.009794182251724763,0.05880015351847819,0.1378711349018554,-0.0026238920496469554,0.09727222692928683,-0.0006024049327825654
NDP,0.10873818865745492,0.07075770044561218,0.0439588042350192,-0.059301664932131105,0.05893641476493461,0.013366633001031625,0.004683576634633259
TNFSF18,0.031219737693398874,,,,,0.03393518551427518,-0.027315549626368976
RTN4,-0.07160745181884648,-0.07124346048024768,-0.034002151595069516,-0.02192519525350344,-0.03499614047933186,-0.013767186276273026,-0.06583100369379145
HEBP1,0.05266539067752116,0.026935813824724195,0.03573978661248709,-0.03588101132824335,0.0583422131899482,0.02667291425297106,0.03845357093175778
WNT7B,-0.0386927026060446,-0.027176190440674774,-0.0013058894330979281,0.0405335943094233,0.06771126626316566,0.10815675381971071,-0.04001427033819992
PTMA,-0.13299859024512187,0.05855178814898394,0.08179070304337585,-0.06729244435275648,-0.043136379870732475,0.05852016893404467,-0.004458119161486712
FASLG,,,,,,0.06939020739472969,
CEACAM1,,,,0.051472897169960986,0.052546640407231976,-0.010288173046835268,
PDAP1,-0.012504167140566113,0.012175675569038875,0.0161574226552643,0.017947575470985216,0.03568092153392343,-0.023657697546095598,0.0018948010115647682
QDPR,0.023997551606917317,-0.023622009242977884,0.01032057240871472,-0.19529653083446386,0.047090438530892426,0.011969836767564666,-0.06341755824262753
POMC,-0.04118489926664565,-0.04520716294050851,-0.03167058568821732,0.03705909745634121,0.023727475163824306,0.02583478109874929,-0.01599778584069319
CCL18,-0.009147551561648787,,-0.006978620483981814,-0.02373574845696947,-0.06027436209122045,,
CCL17,,0.028339662250363246,,,,0.15708164411583136,
VEGFD,0.07347772203431226,-0.03779854289551049,-0.021397927925391753,,,,
TNFSF13,,,,,0.00916947996428232,0.08014212659668143,-0.012917575411167715
WNT5A,0.06450665175139784,0.05748175033076431,-0.06374581992762646,0.055504716550805175,0.023708543788849786,0.0006127395626104234,0.08794460956344961
CXCL8,-0.06163778394169123,-0.015886524535657386,-0.02927349979347154,-0.024103257195375573,-0.01947888262814841,0.013933531724325453,0.04690058569603153
GRN,0.049430702028750134,0.06317785380606876,0.038999057804756605,0.14629240360255474,0.02882261284476887,0.053015136339458646,-0.08317117346771237
MIA,-0.05285177514098153,-0.01527921106510606,0.04933405087661122,0.12709426243916616,-0.004190482379296654,0.03672032923417375,-0.0017155840432223706
COL4A4,0.07126039085828977,0.027065319818767208,,-0.030009402361865837,-0.041791755738293454,0.027464161689608867,0.05549410704694194
TAC1,-0.04155316259845994,-0.03488838740654469,,,0.10606554731848877,0.034233177426304,-0.014947967696239378
RARRES2,0.0068786458824193954,0.018502013157438345,-0.07600168778492265,0.022836191541091323,-0.044908882761424344,-0.05097350282283911,0.075817836996844
FGF7,0.047125780312313195,0.0277869956825882,-0.04662200927919588,0.022661111152532488,-0.008246849075793075,0.00801218174585805,0.04210402476705853
HBEGF,0.003142175767813122,0.04882849421172235,-0.022077943441853244,0.07625172740181044,-0.004594734717699432,0.01347980939441229,0.03586487478532901
CSF3,-0.033178216611965,,-0.03214666858781882,,-0.029728990202915664,0.07649353130543902,0.06385814968873031
PI3,-0.009546599922545015,,,,-0.0069676549405527245,-0.03896118887918131,-0.0024841798775649296
PCSK1N,0.02335477774809333,-0.08693435359985635,0.04790257829896175,-0.02970111247678862,-0.026901919989419258,-0.01905002850302435,-0.10998388568187202
