,UKF248,UKF259,UKF313,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.017771219511818835,-0.018395372825493358,,
BMP1,0.1054012791238295,-0.031013752655232957,0.054810590390130344,-0.07454616743355671,0.07242833866435083,-0.013773359242405178,0.04516742329000724,-0.058113992143628335
NDP,-0.05082915268614612,0.031031663516011984,0.06930615711602353,-0.0014371553857784466,0.09483433592271587,0.060798890936630205,0.008273497678281725,-0.04662744244396523
TNFSF18,0.008951401578247047,,,,-0.018327145002093485,-0.031029705201529215,0.022071643943161898,
RTN4,-0.030754055064727375,-0.01238969999156335,-0.017525151433242587,0.07433538516577663,-0.12638517707429794,0.03995033220497365,-0.013764311567439812,-0.038027572204579856
HEBP1,-0.011367359381637382,-0.02961012530825135,-0.0028925779694541427,-0.006080663186825404,-0.052511491977778435,0.04546364524672497,-0.027440607292274807,0.06719535939496064
WNT7B,0.016639464519269676,-0.01766568116742345,0.04336269323240835,-0.02391004065182516,-0.038323542826829676,0.03737988518350993,0.012410448791719828,-0.05239097985318155
PTMA,0.03313019468119048,-0.01814104789158426,0.01980710010075787,-0.011585507802207825,-0.1626308156198939,-0.04217707638919777,-0.02148898893002846,-0.04947910502696563
FASLG,,,,,,0.010492030099828603,,
CEACAM1,-0.023762357356525224,0.03321188822281552,,0.023325061335964115,0.0676016218203368,0.0359795410446952,,
PDAP1,0.055655550275284765,0.05543943202752033,0.013448970933036443,0.07156026100227786,0.06041772914431615,-0.01947788285933005,-0.010835989233253523,-0.06003976079867484
QDPR,-0.04469433911021594,0.016997855639074754,0.03712545942381648,0.013157359603532854,-0.1745234966122551,0.006687473490366421,0.040468517173043256,-0.039364272210234565
POMC,-0.001247786366147046,-0.020349799008785353,0.011522838428589017,-0.04821462614261537,0.03162032008655834,-0.03187795982849342,-0.034196952231246386,-0.00960794900235157
CCL18,-0.02965317681772543,,0.0714646020040982,-0.01053258560052454,,,,
CCL17,,0.04355074114355618,,-0.014246134256059109,-0.002462601213362194,-0.014460781491072801,,
VEGFD,-0.029653186233997934,0.13324782211505223,0.02001475620719379,,-0.024711762567657135,,,
TNFSF13,0.008360088013708486,-0.01295945470455808,,-0.027336191835183522,0.03457895299595235,-0.02356263644731462,-0.02486316883386084,
WNT5A,0.014091811506350452,0.02188897598885184,0.009084725484292382,0.015698508297200865,0.04746454472184161,-7.309191838318633e-05,-0.02777763693460332,0.01676994205435523
CXCL8,-0.03697731563621823,-0.021360422885041037,0.05070188562929237,0.03209546625787477,0.015283072466532042,0.00012127794357136253,-0.08651370940050328,0.037115905188903585
