,UKF248,UKF251,UKF259,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,,,,-0.020378000533263583
BMP1,0.09372710720115733,-0.038767059723177996,-0.009583633520420007,0.013617643294789877,-0.012298353210784013,0.04053215958297503,0.11534414908064852,0.012319602869966933,0.010994846336139017,-0.051716904813959866,0.02522169819591826
NDP,-0.024129913524336334,-0.0034765379064171575,0.03311836760610587,-0.013192926583082526,-0.038015391263943085,0.018704080605898985,0.06685975919888722,0.11579525501782187,0.0001901879986735014,0.09918719490584538,0.022702376617676375
TNFSF18,0.06976941830101638,0.054606855879734816,,0.14757127126486697,,,0.08851524930402146,,,,0.04138907106660298
RTN4,0.01632092746646961,0.011928028540417435,0.02883015389102196,0.018654130396821636,-0.08374298560232551,-0.027171571677754126,-0.07641595945693386,-0.021464565578983515,0.04163044811860165,-0.04169084119565947,0.022426119681993414
HEBP1,0.021704798573755957,0.032547196233733276,0.013269087734983342,-0.019205236368188112,-0.02686616433630081,-0.0363843324915683,0.06029568033987257,-0.03523881877125882,-0.015936070237239933,0.03344138554302928,0.01824819676730677
WNT7B,0.0035479581532816503,-0.01570923701207205,0.0650863894437174,0.03954161124770351,,0.03516595383637091,0.007225010358206021,-0.051356578785190427,-0.017339013734160122,-0.037716793875877744,-0.024523911706021053
PTMA,-0.02677994767300027,0.0560247090927828,-0.08347480462608008,-0.004663321951505187,0.03529661378958354,0.040576832176693244,0.0065991925168474765,-0.12950969987659075,-0.02945275569048737,-0.004490533317116254,0.008542582548789463
FASLG,,,,,,,,,,,-0.017673832910444165
CEACAM1,-0.004259737592927317,0.014921088215476067,0.008079293232251582,0.04523849389862355,,,,-0.017857098681192014,-0.03312228337350103,0.004234718320840834,-0.007689669444143859
PDAP1,-0.02058550152629039,0.034516959357046816,-0.030741457430639975,0.012869917921968125,0.06900617807785234,0.07821067053735352,0.08011125115885101,-0.08694482932905648,-0.014737434848151388,-0.05374649671808847,-0.030687676884694266
QDPR,-0.0642018066498948,-0.01350459987645954,0.03303261406560529,0.044862015848121294,0.002295407838671862,-0.020733718729769663,0.008453869798867236,0.055983949701356034,0.000866018029854831,-0.0003424860862780822,0.007113047415364499
POMC,0.09479651416266564,-0.021421401203998325,-0.029007913249032635,-0.017808427713555553,0.063537660451578,-0.02259547775659715,0.10806233172835028,-0.04776624047884781,0.04051638839228698,0.019188516751405565,0.07181323523324536
CCL18,-0.036717424142515845,,,,-0.03470822916079121,0.05558914665192774,,-0.059085729499281876,-0.023484243494390617,0.009691491824275521,
CCL17,,,-0.001622899917258722,0.08188231860067628,,,,,,-0.02637682339502946,-0.016019344415140243
VEGFD,-0.01672755369818777,0.05848204080387907,-0.02011502064146697,-0.006856359793581653,0.058879718959859814,-0.015266418159590197,,0.025999788213842915,,-0.01827203068048997,
TNFSF13,-0.027708155311806048,,0.011178783583587456,,,,,,,0.0008832203864083692,-0.026102184644120986
WNT5A,0.04133053119997006,-0.006188293632636347,-0.0060157820270576624,0.015498956763011905,-0.011300529852429063,-0.03492051278317759,0.05005047097835026,0.08869156491596479,-0.007668977504643211,0.010344048951955488,-0.017116304757632112
CXCL8,0.012238908122996328,-0.01616840415202679,-0.04097002971872644,-0.04845597621073465,0.0651971397386052,-0.01767673114352522,,-0.07339049200625854,-0.041347708107100256,-0.049289568170750336,-0.0011862482010506783
GRN,0.09062864197621955,-0.013385921927071087,0.0367116321727777,-0.024611134414419422,-0.01780883804292526,0.006119969876549306,0.08910272238679158,-0.011684262856443098,0.025133319164591092,-0.042884535171281005,-0.02572800685792367
MIA,0.025373177806052586,-0.01535664050381278,-0.012042537577467692,-0.00621286445186336,,-0.02070400568099362,0.1930126552517817,0.09172438434477119,0.042244644917811235,0.10181919848411877,0.14499702203903292
COL4A4,-0.004294539019328667,-0.025825295405257284,-0.014369178763893637,0.007339884358366849,,,,,-0.029691421505617814,0.012207558562279768,-0.03787694208827645
TAC1,-0.0035302244115474712,0.02348109337380716,-0.027897561039973654,0.011684629463148615,-0.03157961915563042,,,,,,-0.021059057149203173
RARRES2,-0.07697375881900337,-0.02270830193828027,0.03632515126413638,0.014445372632260143,0.019821037907656807,0.0029614687582702032,0.015616069996629438,0.10907208582867958,-0.03712364751423311,-0.00827694065097433,-0.04524598427910943
FGF7,,-0.019489736165360542,0.005943723081333102,0.02521642515710257,-0.011470676311991597,0.014124297772892291,0.01140105553766415,0.042393728873500194,-0.0018236624236176223,0.040412532734024204,0.0031113465847301576
EFNA2,,,,,,,,,,-0.017366342341286298,
HBEGF,0.09848218142712761,-0.02806892189183465,-0.028752975954985556,-0.0205796639774601,0.025100285517017974,0.026809050664436868,0.1422022304410627,-0.03844654741160269,0.05170610280918811,-0.029633567242580018,-0.011723109203951304
CSF3,,,-0.021519725581330255,,,0.046561834782328,,,,-0.06538930403644166,-0.01686589839358497
PI3,-0.029583567465986747,,-0.03713654934604256,,,,,-0.01596467501914993,,-0.11214218807762465,-0.025287015266818046
PCSK1N,-0.021669161554431333,-0.00038704945422402405,0.036347373928537506,0.021683989621782033,-0.054430840813081034,0.06805081374002322,0.01941512763914996,-0.008609433980429867,0.03211065198477653,0.04550125418320125,0.011392195179369409
NTS,,,,0.026664794948050317,-0.018120705948406493,,,,,-0.021157592646275303,-0.0249760956664604
