,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,-0.01522497666528244
BMP1,-0.027082927301036022,-0.01016947516711303,-0.052429907655565475
NDP,0.03608179070444523,-0.0663912015821867,0.04583225186423186
TNFSF18,,,-0.025681813687905244
RTN4,0.020447428889198045,-0.03200153668030992,-0.016569178147676923
HEBP1,0.03806392996250732,0.005116406109917744,-0.0025097813231887856
WNT7B,0.06996251059157432,0.052729186246042115,-0.03249642931518362
PTMA,-0.01932410372263478,0.019709577349797298,0.003526219635818524
FASLG,,,-0.013204617067723618
CEACAM1,0.03741952881928693,-0.01351765766452986,-0.01837228524450476
PDAP1,-0.03477288531310835,-0.001119770546892463,-0.01756530984145441
QDPR,0.022283049792143673,0.0335082840162436,-0.01786359476211904
POMC,0.09961154104568508,-0.02211311218353496,-0.03860996616309439
CCL18,-0.027021055396593663,-0.02935301231922563,
CCL17,-0.022230503622037538,,-0.011968502234334401
VEGFD,-0.015399748413266412,,
TNFSF13,-0.02416379740041662,-0.015179423569579693,-0.0195016754205566
WNT5A,-0.016731064324571134,0.04668191655504133,-0.024400849583272148
CXCL8,-0.05558571858620778,-0.030172240035055205,-0.024412652034866342
GRN,-0.016408476713174105,0.003300368090310698,-0.01680995453090349
MIA,0.05189221000289189,0.11545355090587021,0.052797560443966066
COL4A4,-0.024657405097556873,0.044259748526149306,-0.022242809185698792
TAC1,,-0.02332181041532054,-0.015733813195563752
RARRES2,0.01443447770780878,-0.009248517811547534,0.06288502516421567
FGF7,-0.05006810333330789,-0.015923881193583074,0.03276352853057545
EFNA2,-0.014636430268258149,,
HBEGF,-0.006927986912644775,-0.03385522061347244,-0.02622678995129425
CSF3,-0.01332737850062803,-0.019379408756106446,-0.012600986493360911
PI3,-0.04953458026079069,0.00254525322949796,0.0320095394713121
PCSK1N,0.03026501259382966,0.04274232074225168,0.01460354281807535
NTS,-0.017831712822752234,-0.0037390702546288854,-0.01866034271080775
SFRP1,-0.015706190018284456,-0.007668709796071249,-0.018226723621102257
CXCL13,-0.025477338816458948,0.029225343249688458,
MICA,0.007213089286349146,-0.011152090524561354,-0.05154455549059459
TG,-0.02196170364033618,-0.01594955120152648,-0.024574327204201524
ADA,0.026020237536528,-0.013737329174564897,-0.009570522089239376
LAMC3,0.029238055445473202,0.02400828429145656,-0.013930279256035183
CCL7,,,-0.013204612372319402
NGF,-0.014439692021334966,-0.03327020987398998,-0.03953421146202398
TNFSF15,,-0.012034280134144542,-0.03488887204386136
HMGB1,-0.02131881900748854,-0.0013250601869436193,0.10130308437997261
ITGB3BP,-0.05873117551610235,-0.006044288868681358,0.024356971526157643
AANAT,0.0009196803803712712,,-0.013971030551012089
RELN,,-0.014536106219093087,
IL15,0.07297667378476436,0.12346778314319934,0.023778453611947047
BSG,0.01487065128451597,0.0772542924570702,-0.025998436438143323
ADAMTS3,0.10467917948055454,0.00020402685674946735,-0.035294342602769806
CD34,0.013925195214221791,-0.025013636598686818,0.05058965288051158
PLAT,0.024575930102979093,-0.019606344346111165,-0.011461224260655139
NTF3,-0.006756739873416879,-0.003690779215896784,
LTA,,,-0.018802901636826425
CKLF,-0.0032340304352578477,0.03148328057307936,0.0006190151909405912
CD24,0.035772070988742716,-0.044920072517829944,0.010618972505698009
HSP90AA1,-0.029114887570018528,-0.0007626535308462382,0.06671817786058157
BMP4,0.006761308736150988,-0.031635734316360006,0.025434757116960447
SCGB3A1,-0.028017888780719046,0.022941710034024457,-0.027686541791922228
IGFBP4,-0.04255200939858402,0.059121982035756644,0.0011578267259157035
RSPO4,,-0.016830646003687517,-0.02479905902877244
LEFTY2,-0.0168292651227172,-0.022888566634103626,-0.004740870797759048
PF4,-0.013415301668132401,,0.025330500792965897
