,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,-0.012843354483576966,,,,,,,,-0.013212177828509043,,,-0.024056561291867524,,
BMP1,0.06462227402162232,-0.02281092887764403,0.02710418847401988,0.003472069847027287,0.10269491293594807,0.06376134222577542,-0.04955872571986645,-0.08508663015614082,0.043218545926003465,-0.07270659056158336,0.022320911838320752,0.020168886164012873,0.1148878731653731,-0.014078461200645912,-0.042306235939944134
NDP,-0.01720665218062775,-0.013451021059559476,0.03611154631182978,-0.0215321778749179,0.06671591138353831,0.09773065520734595,0.03468650927273993,-0.00596805842569893,0.058981668689414055,-0.052944405576947774,0.02526546140139165,-0.0641816954812695,-0.024671097595205995,0.018570277229032654,-0.03652260115328619
TNFSF18,-0.017907431942050186,-0.019071995840044466,0.060823613660936755,,,,0.028965967156201335,,,-0.03165645647342404,,-0.03314018299682983,0.061728639910667286,0.005647452747186499,
IL36G,,,,,,-0.0174564409161633,,,,,,,,,
RTN4,-0.0560354326130196,0.03347534943682985,-0.009639557776187472,-0.013904036203426725,-0.022547430956049604,-0.025704893896744692,-0.025954616835691776,0.00413960975031859,-0.019391049915381407,0.026947879157676935,0.014658475646969277,-0.07742719111981256,-0.006163090133522153,0.04085017511538648,0.08637330214136779
HEBP1,0.021662379932090015,0.016199243912625342,-0.02228365505380789,0.026937947062130103,0.033478561596335187,0.022422653213034164,0.03514219522136211,0.05142913682847839,-0.017848128621296342,-0.004655328197895674,0.006981196519066423,-0.022218821569527727,-0.05106268115728517,0.03096009832553384,0.00640067412559449
WNT7B,0.05509866973620576,-0.05315824754359329,0.003033736569543246,-0.011083479727255402,,-0.01918664027154468,-0.030537196431291908,-0.05130636643101372,-0.03444587638291731,-0.015001518681117196,0.046866174984045925,-0.03314014863294955,0.035662582841214055,0.05056272641023023,-0.004671711211986492
PTMA,0.09273102651817722,0.13604859807062566,-0.04635131445309271,0.0003229875877546697,0.0936109555121247,0.06434356515072892,0.07160402877639406,0.016959932849714695,-0.08570468347153194,0.11180378134344464,-0.0025841253755263358,-0.052764064213637524,0.09209322962095358,-0.048977756235239374,0.039466651789363545
FASLG,,,,,,,,,,,,,-0.0007993882057681872,,
CEACAM1,,-0.00875007008360126,-0.02255208099334059,,,,,-0.030613937718860743,-0.016687423436793455,-0.009295556143642313,-0.0168485176413829,,-0.02902953585892428,,
PDAP1,0.009910079922913232,-0.017854671875931104,0.01820768573224997,0.01207385050629596,-0.007878490153013697,3.146397404197393e-06,0.10235820192732994,0.006430925831632329,-0.051041478656071546,0.016547762870235353,0.013557288865058975,0.026655427846558458,-0.016405396708127157,-0.04884850733344924,0.009054860846404136
QDPR,0.03668381981341943,0.1564518713670025,0.05966859145282654,0.056592838394792656,0.10422696745952251,-0.013972378872879039,-0.013726681370866519,0.11122458540858564,0.025494598749412487,0.11143036214731139,0.0276092059769117,-0.025819059897327967,0.05517770250620977,0.07013177580184614,0.018968591675527523
POMC,-0.04724341722045672,-0.03235227549053559,-0.016638026161642283,0.012795534685293715,-0.018171254429959025,-0.019275000515331736,0.06490310647811451,-0.07137910632256655,-0.02891791927224487,0.02608502248570154,-0.027561961545142132,,0.08568853326630439,-0.0363537461647397,-0.014852833338187562
CCL18,,,,,0.08333053766376142,,,-0.032623527701907226,0.03504686988100041,,0.03000126176116857,,,,
CCL17,,,-0.01788372299143729,-0.013718240893102624,,-0.015946954365104755,,,-0.02408934335800784,-0.040471175780665204,,,-0.01891109680507203,,
VEGFD,,-0.021516063909748924,-0.01905359422127461,-0.010062495595615596,0.08030472659963693,0.0620748304293082,,,0.07966176059238193,0.02809659369255111,,,,,
TNFSF13,-0.01736647328275463,,,,,,,,-0.026184292641707678,0.016894904192339275,-0.018919756080905438,,0.04944677451610963,0.0840274150185532,
WNT5A,0.0834640228866265,0.04156168302867749,0.013242861192990328,0.04538366655586138,0.037855617452125866,0.02753025160511966,0.05905340870416978,-0.010876274325740017,-0.04726341383080897,0.048501761662462534,0.0073388835595523845,0.029021083111042734,0.08607892371765354,-0.034214605157575954,0.04822112541346161
CXCL8,0.036442339202949446,-0.04278222657585339,0.04391545090114951,-0.009370633430491607,0.047330213672785226,-0.014033367527044512,,-0.006884226144007847,-0.025719001201932316,0.027705955669768446,0.024564439492107033,-0.1088173787962153,0.02361183938888637,-0.0034456247574012433,0.0047435842771769545
GRN,0.04752890135826958,0.04566023276873201,0.016197412326813966,0.031462708085525454,0.07648369533196349,-0.03046472448740277,-0.04868137712725813,-0.038898808405812786,0.022680117701787288,-0.10075555218424148,0.014981747252510372,0.13862960196927837,0.06423559746446018,-0.02403278607972601,0.007483689167012423
