,UKF255,UKF259,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01642346588545122,
BMP1,0.013871437287787116,0.02825558334057121,-0.012106402551845459,-0.04522473275298004,0.0401531325581304
NDP,-0.0005580947107527307,0.03606711504592393,0.02154146715589268,0.0727782734363527,-0.024973331475971538
TNFSF18,,,,-0.02770345073445151,0.031146848151884766
RTN4,0.06223978779280958,0.05251174907189875,-0.02564534842902369,0.030441918819884,0.014917314125871729
HEBP1,0.11287113757843263,-0.05011035981452125,0.02763373539522326,0.03170033001124896,0.016956945507166542
WNT7B,-0.03255376630685634,0.021550812470162488,-0.02524774668458926,0.028795650357991174,0.13072085075235942
PTMA,0.03059901966282596,-0.023374091250883706,-0.08258124643381268,-0.05338801988450342,0.03875822458742017
FASLG,,,,-0.014244066359505494,
CEACAM1,,-0.01834277257829972,-0.02132106969435811,-0.0198185262667071,
PDAP1,0.002448678186276089,0.0058975303814155595,0.036889630925203816,0.017207065085094442,-0.009088689710250054
QDPR,0.00303557052445642,-0.025679875870823154,0.047446610887534546,-0.05665394130101136,0.008877721695252862
POMC,,0.019476405397306728,0.0009077821977740129,0.025863210427517776,0.04473916833651432
CCL18,,,0.03215260964551089,,
CCL17,,-0.01669895680813275,-0.015126266979365963,-0.012910646266786332,
VEGFD,,0.029851921290753102,,,
TNFSF13,,-0.011518566672560836,-0.013271793374190198,-0.021036820483869838,-0.03542967639207931
WNT5A,-0.011775213883483487,0.014608327063509712,-0.013740548854006508,-0.03972631858480833,0.0025666989204888705
CXCL8,-0.02678242136031111,-0.016456603524640488,0.05586956365192754,0.045374401146440625,0.030290337921174786
GRN,0.005661353016851733,0.0172801981842182,-0.018312709117887967,-0.010661221476045672,-0.03720928351132149
MIA,-0.04338308622662396,0.04573346969950722,0.04227299791353805,-0.013822519682192502,0.022541672293334696
COL4A4,0.05057294645339114,0.05680601094403563,0.006525196002928466,0.00938428354483299,-0.03959802805347811
TAC1,-0.05903330022457251,0.03188317177752632,,0.08264900138754076,0.11239251501824067
RARRES2,0.06975071960265893,0.0076542181909512825,0.030330205752440685,0.08829930132630753,0.13112133837990855
FGF7,0.07736305777925985,-0.01963149471468214,-0.03447956960626564,0.06779770423955192,0.05775393071808675
HBEGF,0.018889444148475695,0.020774602653275118,0.027397780477980117,0.03196594856959802,0.0929615883879924
CSF3,-0.023107237039840037,-0.019903700482529502,0.008061255248088248,-0.013592918816661144,0.007306371616249599
PI3,-0.033693426684825604,-0.01737338406487676,0.029414477090512096,-0.029532896784030937,0.13406210319758244
PCSK1N,-0.06690501811045405,-0.004331995017869608,-0.0819198134482368,0.053603259566657215,-0.01414541745123394
NTS,,,0.00232351189520828,-0.020129259220516126,
SFRP1,,-0.014570485289733877,0.013170938751639343,-0.019661506232539608,0.016890039296598165
CXCL13,-0.016778588203731425,,-0.020106897954895425,,0.01380301602762237
MICA,-0.04306791769750549,0.07586141404328249,-0.02058119107188508,0.039298929420762,0.044200314242342116
TG,,0.002455390398932635,-0.02009902703209162,0.0070975808223285655,0.12839494487166012
ADA,0.01088304677878012,0.07283973689047377,-0.030695073872444585,-0.042835222344084635,-0.01076022918778222
LAMC3,0.04374872397547957,-0.015732922539179364,-0.014319371571998953,0.0005782187213991808,0.0029451249816551486
CCL7,,-0.011368327169634374,0.05287745862846957,-0.014244061294485516,0.0009160909652900585
NGF,,0.02153047317980146,-0.026182944730511196,-0.042646290206496046,0.08044397687200185
TNFSF15,,-0.012659188321147246,-0.02210147218853545,0.013153216816674609,0.023217893806016476
HMGB1,-0.031564605098522346,0.01826537520582914,-0.045597490490929184,0.007004373983060714,-0.0439155720696096
ITGB3BP,0.05138218688040683,0.027261760868498124,-0.0008689960116593355,0.013256944610469038,0.07442725999701395
AANAT,,-0.011518567901915534,-0.019888677615915222,-0.015070810857948019,0.014526578359555203
RELN,-0.0260222795211812,0.009709654442853242,,,0.061836625838004304
IL15,,0.021426580646259522,0.013564845336655789,-0.0612379354335988,0.0004661031465952381
UTS2,,,-0.01693666459430101,,
BSG,-0.026166847885138837,-0.03246800028267774,0.07222251908105749,0.011718482907670982,0.0972927909357563
ADAMTS3,,0.03275623226739189,0.03172972907389298,0.014643306627654326,0.03982356179692507
CD34,-0.038314341760918885,0.01060068702276729,0.009766996316233019,0.010003723775421509,0.00045044947957942154
PLAT,-0.01634429201416197,0.04768186602692195,-0.05010314916152563,-0.05708159825909661,-0.05242325790133147
NTF3,,,-0.0043648033815226785,,
LTA,,-0.014570484608103673,,-0.020283040189092133,
CKLF,0.044416656330442686,0.040633918786558657,0.03115707360017604,-0.03926313641194441,-0.07239944738343632
CD24,0.03699333450121703,-0.021341491641454935,-0.0132017917557453,0.08078863945987459,0.11486392184359098
HSP90AA1,-0.004653740930763793,0.030111889171260366,-0.009873319800359203,0.006809564770432267,0.0622227401169407
BMP4,0.016715660436484713,-0.03399468970511386,0.03144242092329103,-0.04453203135454089,0.14295847701783185
SCGB3A1,-0.024699351311723232,,0.09721964485051533,0.05280083373218402,0.049588005938372454
IGFBP4,-0.0016885418239751845,-0.02952811600188432,-0.00880477475291614,-0.006186874689958016,0.01396232641825295
RSPO4,,0.08014379554285606,,0.006181238670439644,0.047797712253206455
LEFTY2,0.004425482743804714,0.002826153649524753,-0.019244931398359647,-0.04667137086037784,0.02879529533759186
PF4,,-0.009918641486105962,,-0.02028303549544619,-0.025122272881876483
ANGPTL2,0.041903178885360735,0.0019500951585611607,0.03387151980648885,0.013282915413170423,-0.01853767910322652
LRIG2,0.019737778178353215,-0.0211465463753212,0.0027625448170165512,0.028142645349561308,0.09008563027060668
ICOSLG,0.10048398281371765,0.03579899179530051,0.06723903689674685,0.017485399081618433,-0.020702104790574567
WIF1,0.04201844941204234,,,,0.14689970324320398
NPPC,0.03541383631624766,-0.01538625894567295,0.05778025733227873,,0.030478641257837218
LYZ,0.06834162972854643,-0.05739566549303567,-0.019631475289881524,0.063845362903872,-0.029376930855861027
EREG,0.004131241948192715,,0.11659408048031746,-0.016371464800644955,0.04212289396329773
SPTAN1,0.027534339459055077,-0.00686776934220362,0.02290255065654695,-0.01457076881968667,0.015626589163582574
LIPC,,0.015223200865690047,,-0.025645433948997157,-0.03917668076601665
COL8A1,-0.028849807160945245,0.026388669136352443,-0.011033589561136502,-0.00842758832447404,0.031185794699199947
