,ZH8811Abulk,ZH8811Bbulk,ZH881T1
DCN,0.011491082073037081,-0.010478624550077514,0.033606673525334196
RARRES2,0.008224390950020493,0.030406111104112555,0.033745956544005924
SEMA4A,0.029619067804014465,0.01746499435874317,-0.03977044546448594
GDF11,-0.017681205417204294,0.037298276254585705,0.04012691800855951
GPC3,-0.039717274817280324,0.0016845861696766968,-0.057275744353866384
GRN,0.01995660435354085,-0.010874356658037017,0.059281756423666315
CALM1,-0.025991835565068788,-0.017606122156679796,-0.016980356200600462
ANGPTL4,-0.0019101135368878473,-0.018613465700654717,0.0817596681681238
BMP8B,-0.01696804630166703,0.021772343283727253,-0.01384865013768046
TNFSF4,-0.004523096969288614,0.10086936422030687,-0.01248859646083923
RBP4,0.09745370191989734,0.07440728825033137,0.02629984960871367
DKK3,0.03495926653551027,-0.015839571954123832,0.055907018025452934
COL11A1,0.01015633789554997,0.026865283802160873,0.04199186576351708
COL5A1,0.0007953671077132264,-0.017406396816054232,0.08678591943576212
KISS1,0.007862161575483223,0.03848084724003831,0.03260383586034502
MEGF10,0.02076056577117673,0.014328675023315057,-0.0007727449045665996
CEACAM1,0.019775334647303272,-0.024532498801722574,-0.01250357824389642
EFEMP2,0.03415873246004095,0.003859936521285575,-0.0011998316142166326
IGF1,-0.046779459724872664,0.04857781865076772,0.07066864827555862
COL6A3,-0.014730069452031607,0.03422708467344617,0.031863607197189794
RLN2,0.03409040487403895,,-0.012982639001384516
WIF1,,,-0.014471991775695246
PLAU,0.013818825876136233,0.03826894474178038,0.0028128669199639794
CXCL12,-0.023502960322888778,0.03841916621927129,0.045788830683958164
MMP9,-0.008540101955267759,-0.06421882632347127,-0.03831208000572174
TNFSF14,-0.022735696980252025,-0.0019973816454115973,-0.01709119737401885
HBEGF,-0.02633595419898228,-0.029413610560467568,0.05147123255210469
NUCB2,-0.003431858203762275,0.009231436984287423,0.027967203189133483
VCAN,-0.032270797897416006,-0.011874779775084195,-0.06173624151788108
VEGFC,0.03300405414135205,-0.035424170171190185,-0.02657021694490062
LMAN1,-0.03570094441009499,-0.019813361476758044,-0.025259382948486907
IRAK4,0.03268511776838324,-0.026505189929246685,-0.018976419041941767
MICB,0.10679282528872518,0.04030596279356789,-0.024935365339348082
COL1A2,-0.007878389159793187,-0.033279370433460374,0.04218312858427578
ICOSLG,0.011341866634926773,0.030598392949278668,-0.021370544629539648
GNAS,0.017256075011374595,-0.007617836578820769,0.005191229539672449
C4B,,,-0.015029217361264361
COL2A1,0.03597069476876072,0.023117201021845956,0.16170943267867385
GSTM2,-0.01215236913554384,0.08118135109734353,0.10608724789271128
NLGN1,0.03835731544414985,-0.01653593277307636,-0.0047411477332004815
SCGB3A2,-0.020744833342653396,-0.015508075573399702,-0.02096868967320623
LEFTY2,-0.019461698086937086,0.06373771589433226,0.014133898773458286
ACE,0.023649250657771115,-0.014356671105658608,-0.05720634818355355
RPH3A,0.028626128721680716,0.05203557905907426,-0.006021604189607236
NCAM1,0.019830472234383268,-0.006140759451171391,-0.05114636808986811
EFNB2,0.04850693920089124,0.038200306610926535,-0.0033590377491314826
ICAM5,-0.028482514924421058,0.03198755602639202,0.05478852600147762
CCL5,0.013285664019379292,0.035686388370877446,-0.0021601864437448054
PSPN,0.05015801087032698,0.11452435140455136,0.00573182700189888
PENK,,,-0.016846014080452613
EGF,0.0005632163063442252,0.09178454554496637,-0.01634571471587863
SERPINC1,,0.12699819169526824,-0.012665159478251023
F10,,0.03679619399200276,-0.023022575599592074
FN1,-0.003659848553143106,-0.08551200021136914,-0.014196815467736535
FGF2,0.036528778463158974,0.05320745114593754,-0.04061563239325071
GDF9,0.0812013981078808,-0.010330685511647687,-0.001366611162114853
CSF1,0.06757289657972669,0.034869753017462174,0.0031601771163410203
GZMB,-0.025972456238437327,-0.03113989317397267,-0.026821215535773112
WNT11,-0.003605173973030293,-0.01510314097308448,-0.027888824182901378
GDNF,0.011151142244611771,0.009097037730085694,0.023296112509908845
SHBG,0.050862375126033775,0.005471751844510244,-0.0188387895808591
EFNA5,0.005775813052609238,0.03548484755925878,-0.05408727272267521
THBS1,-0.0014155139224490442,0.026857540230116644,0.024486247942953333
PODXL,0.037630197134211944,0.04445000280217964,0.018918320009576186
LCN2,-0.0362053584496948,0.011525448388374507,
C5,-0.041961968866151965,0.050791719940581646,0.030194956838915113
CXCL5,0.012020170279759946,0.008225439932964419,-0.029083766739788536
BCAN,-0.01907004912031819,0.04935019411404765,-0.04997298325398848
RELN,,,-0.013445623937417642
COL4A3,,-0.02033264461211121,-0.018157695239633582
GNB3,0.01085706109305366,0.016479677699575604,0.006189054645877041
PYY,0.010622945812172428,-0.030171959886218454,
MSTN,-0.023489173227065004,-0.02412574615868799,-0.020140122698576252
COL18A1,0.01471874583741595,-0.016126153988886806,0.08338690578872458
FABP5,0.08333426692093791,0.09359994419612327,-0.08265168814872108
TGFB3,0.06084222843520991,0.03335487347526957,0.06927443583843028
BSG,0.04538685817539075,0.0660507478183435,0.014818309946439755
S100A10,0.018911403139140845,0.007897323062997725,-0.027514524449771097
PLAT,0.04401540722534129,0.07678309262461781,0.005561385183492701
SFTPD,0.006834636475761939,0.0022658018064935564,-0.034256418431481785
EPO,0.029944836472963036,0.060906886775054646,-0.013292974959347234
FGF7,0.05131153568051014,0.005454011535966456,0.03605169098859929
