,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.01755368672404756,,,,,,,
BMP1,-0.024045137643316446,-0.06336670305274246,-0.08142912576863488,0.00836167915228467,-0.027115981113002924,0.007533030263522768,-0.0038743860449145253,-0.08210776497708097,-0.06396607967653353,0.005770096293435116,-0.012663724378855035
NDP,0.010174277304239723,0.017183961038352357,0.06068833746533228,0.03895622122829528,-0.00725929099843959,0.026968507186083273,-0.03539518402298941,-0.06389012071807898,0.05274125277004565,-0.00020024560859639484,0.06785141382060597
TNFSF18,-0.03148683765705204,,-0.021962829874732286,-0.011560507299703803,-0.012490943243147092,,,,,,0.043237590347852344
IL36G,,,,,,,,-0.016810360528909083,,,
RTN4,-0.04741450774852488,0.016433198039802515,0.06027319084085042,0.016628562326201482,0.13886254436245232,-0.039289780710952904,0.17539975240972544,0.07228458778261906,-0.0023180088211678,0.07445415390549559,0.03120165965393501
HEBP1,0.01845421361569256,0.06448988713221658,-0.024392176456986256,0.011453765584090758,-0.025688631291875298,0.01703407803573073,-0.08229030801008456,0.004243643855782061,-0.02007089466316229,0.002811984312439447,0.03281979307972725
WNT7B,0.03471588180746177,-0.022088078260506062,0.009135559307696951,-0.028053727618955027,0.03512373182735684,-0.01754292501812342,,0.018076696060638272,0.04657242775845524,0.036013647307799455,-0.051049618580372214
PTMA,0.06387473399888727,-0.006991923578363181,-0.05567826915915682,-0.006974316924596907,0.040543628875258184,-0.042902512573569876,-0.2084351215430105,-0.09126173141540325,-0.025332440474046366,-0.010623999343946958,-0.008717005894872754
CEACAM1,0.016191586598653444,-0.025505397836116623,,-0.012450146950155646,-0.019645277953630382,,,,-0.0184898898645241,-0.017006893521637645,
PDAP1,0.027155600833500337,-0.04708042714052253,-0.0252353970193811,-0.03321941702908339,0.003517195854932904,0.027842644072367407,-0.01596613490891844,-0.09274666390348217,0.028604763013830737,-0.015890405920454653,-0.012521561880288004
QDPR,0.03183659730569331,-0.05669074936214734,0.07715316675684278,-0.02879692065893131,-0.05029887378340208,-0.030564275738242698,-0.21549377131523512,0.0460207859797838,0.035371034459891905,-0.018653217526280297,0.04061642904444522
POMC,-0.01596560198201423,0.10452178916102269,0.0314965203066476,0.10902392645143062,-0.014493502778823598,0.062213092507018314,0.004867171725094014,0.04260324944792445,-0.03334808033134684,-0.02782104368009137,-0.04940320835590873
CCL18,-0.03209875344380623,,,,,,-0.056946527157824396,,0.08882174214542786,-0.03627867288663113,
CCL17,,0.004646338838596112,,,0.05564427540661549,-0.021713223400088976,,-0.015356741589132049,-0.013117681923054394,,
VEGFD,-0.032098763636663856,-0.016470166378225105,,-0.0037730281023816256,-0.01659772127473098,-0.015926911951215754,0.06252319587500574,0.12949116610528555,,,
TNFSF13,-0.0242227570835096,-0.010197150885071565,-0.02129936327372443,,,,,,-0.025170861304288288,0.10036169975581606,-0.030058567826242402
WNT5A,-0.03189650360419451,0.054864632197758015,-0.07919114793081754,0.02349484385310736,0.028192974356192026,0.020270007856287957,0.084751588255411,-0.040879957619339484,0.07394836269858147,-0.03992872481052485,-0.0408766560480857
