,UKF255,UKF259,UKF260,UKF275,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.022974103268709606,,0.0704739833069029,
BMP1,0.018865531984199015,-0.02626044996174733,-0.04187818454627624,-0.0035713940970021583,0.026231259656480897,0.07008725507537376,-0.014535449383977753,0.05378012758243786,0.08942861365951106
NDP,0.09333355298069833,0.050458452795728866,0.053329068992746406,-0.036086837704047324,-0.03145390818050622,0.005318972131333272,-0.03911311036266863,-0.04424859930142271,0.04336982311313054
TNFSF18,,,,-0.014105909426731312,,0.06582240805351977,,0.02286440348680538,0.017138956896367484
RTN4,-0.07109145709198512,-0.043471705869397935,0.015625998622380698,-0.04814103012869106,-0.0048595905546648735,-0.07350674111479666,-0.011639989590985847,0.05316579514381517,0.0035223624242747926
HEBP1,-0.04631698155827193,-0.05548276457586382,0.002471822541277162,0.05684164435077613,-0.03571472593247984,-0.039095648265966905,0.018577796521697984,-0.017150221699109125,0.011640182921111858
WNT7B,0.10258368564554332,0.07680525677317641,-0.03831861376796786,-0.0404332762855698,-0.030936012261748917,-0.009647725609811593,-0.02233890984864436,0.08335823683536946,-0.03337450355798974
PTMA,0.06929292313695702,0.020534341053062902,0.04744820199352512,-0.043600402240526706,-0.043713153974666574,-0.1123553316635965,0.030241962662685223,-0.009616963625687737,0.08609730356347765
FASLG,,,,,,,,0.1893296114711186,
CEACAM1,,-0.004133992444574721,-0.014343781120467726,0.0520265096192386,-0.027743911309217682,0.024300366554973935,-0.014826659356958415,-0.022447897424651777,
PDAP1,0.012900503398535951,0.013202333325810374,0.00444075995021616,-0.07600747960222379,0.061240748040471214,0.0235414241652448,-0.036689858457320715,-0.021972173564627336,-0.0373283558026509
QDPR,0.02103047145167316,-0.02947701043603149,-0.014718242028064276,0.0075578803871680315,-0.03238088190320704,-0.026854012676820024,-0.022051517485026314,0.018972439114887822,-0.022080494228350234
POMC,,0.03117539769150181,-0.028863079518922224,-0.01636738182973719,0.05099965677204706,-0.015422834488378393,-0.024254466994514078,-0.02114378169937225,0.0673143874177714
CCL18,,,,,-0.01967088927189434,,-0.0435749743457579,,
