,UKF243,UKF248,UKF251,UKF269,UKF275,UKF296,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.01569721653105706,,,,,,,0.03737103083652856,,
BMP1,-0.013633429204786968,0.0037187143095298286,0.03714396766384543,0.06037118298939677,0.0031816430783825965,-0.01594624145306287,0.0395563445779579,0.0911904149986767,0.020528753012790116,-0.04702886042397052,0.061219659648335714,0.041267084860950175,0.029682504532665563
NDP,0.004314035946155272,-0.020635631671043538,-0.011202632494374674,-0.019894205172912502,0.013204483919022318,-0.019535213321389844,-0.0008706372822350652,0.06213700175764109,0.04140303942023294,0.0663287630489138,0.01613273452536911,0.0885653548374632,0.09737874008652908
TNFSF18,0.07263253853817804,0.11214928613778845,-0.008111317915156789,0.04123562968481403,-0.010492885546103694,,,,,,0.01556676692042026,0.029077537263246453,
IL36G,,,,,,,-0.01375291054121208,,,,,,
RTN4,0.0459056812680849,-0.031977633623906904,-0.045402274451384214,-0.128786140798097,-0.008228298364780801,0.03503987382774993,-0.023796672418713142,-0.07188555849546059,-0.06743334590943409,0.019723828905069806,0.014627679524125787,-0.05021906679245763,0.056301228896685956
HEBP1,-0.0637110452030503,0.03362669241436517,0.049324871562613656,0.05582581592922173,0.031147454517401925,-0.02382605652104653,0.03190411758590002,0.015036756988775343,0.04746196601743382,0.0037144202600690917,0.053639568669137355,-0.03690410244537942,0.13537234346567906
WNT7B,0.07237594500742285,-0.003010035147267038,-0.01862856289940668,-0.021270778490887376,0.005838741784067868,-0.01172384296907631,-0.01511603358944984,0.2163238081322431,-0.02336035632912645,0.008124432431982059,0.06806945965347654,0.029841217292443708,-0.03996496797374289
PTMA,-0.08678988795076588,0.008360900670573369,-0.018571119392609754,0.030241891011204353,0.07217288678494065,0.05388966882718079,0.10875268752422197,-0.07863003081601673,-0.056946051697850275,-0.030340963675267285,-0.023423541757930166,-0.03044736827232832,0.0852915211881036
FASLG,,,,,,,,,,,0.0031353940157114583,,
CEACAM1,,-0.017332503538678195,-0.014296301592682489,0.09776275705440288,-0.01650280920153328,,,0.07099343886760455,-0.020334241754943826,-0.015399751345296819,-0.03776035797496344,,
