,UKF269,UKF304,UKF334,ZH1007inf,ZH8811Bbulk,ZH881T1
DCN,0.03370288937563315,-0.032628605796514984,0.027242336431268693,-0.10900136391142244,0.03859596148749988,0.03840038159162513
RARRES2,0.04083788390881222,0.020586540314166176,-0.023821840491800732,0.003903393612072305,0.002899306060840886,0.08522844312348817
SEMA4A,-0.059770001866714106,-0.0175909749172934,0.033946271142185847,0.0020984131147651,-0.033878271797931486,-0.024665174699726573
GDF11,0.01740047077823504,-0.026282744296627136,0.021999849097281074,0.05645050354719809,0.009474042353102213,0.06475298796280654
GPC3,-0.020738823388999003,0.09130790415944456,,-0.030705721267970543,-0.026951547067061044,0.019523579802231624
OSTN,-0.015901780802612956,,,,,
GRN,0.018970453276700577,0.1075537891524816,0.060513046621223816,0.017387134017487784,0.020011508201640757,0.05408243048267962
CALM1,0.004620061070740582,-0.03787528620690882,0.06038545725593907,-0.012426603155035578,-0.08685939592377405,-0.005906810709227017
ANGPTL4,0.009601206742390175,-0.043344993943088106,-0.00714987006210528,-0.014902537482201737,0.07171660335194244,0.02688803456210205
BMP8B,-0.00667972019280915,0.028884856614447965,0.047792359676090565,-0.014664390277484647,0.0329893271670093,0.0814585914360417
TNFSF4,0.041509025465628506,0.024732768155013123,0.03995943128908244,0.055395567514895244,0.04618111539804432,-0.006999493527570631
RBP4,-0.008703600331331768,-0.07124318817132246,0.0677909440646716,-0.027416058016240415,-0.07595901236531004,0.09099686330236688
DKK3,0.014412459751656028,-0.06613780795003561,0.033635653137167654,-0.07497403388978133,-0.058640929768916675,0.08175086275736883
COL11A1,-0.027892096212162827,-0.046745927277891224,0.021269111032070038,-0.021838770960720906,0.003550322105819623,0.03876557806753901
COL5A1,0.1293765179425186,0.025332744495314412,-0.03952497309972777,-0.09322714992780269,0.09159697281383321,0.1113976619117904
KISS1,,,-0.013609607779366392,,-0.014828230716139848,0.11061002085478297
MEGF10,0.030234148108771206,0.11797104925905785,-0.04514018613107939,-0.006776146101181376,0.0053880056583609105,-0.046287613784280084
CEACAM1,0.015811683394437188,,,,-0.014481551413006236,-0.006263048579311743
EFEMP2,0.003469838863506603,0.006211614958358742,-0.043817635376859856,-0.004427029506518028,0.07017819007461146,-0.03592769811220684
IGF1,0.059704580279543694,0.007691335709077536,-0.02455381505270064,0.02018971529480508,-0.05117896000113894,0.05067929338031455
COL6A3,0.03137382782237272,-0.07349050671429466,0.04534496079311836,-0.0957185901469807,0.04126588100926237,0.07236315530794946
RLN2,-0.01764947280426589,0.004279881961696512,-0.011596588924573003,,,-0.023630928136206913
WIF1,0.03319109621122601,-0.10193846908328641,0.05510325964466314,,,-0.02634183986805465
IL13,-0.015150392126986986,,-0.016129551604680378,,,
PLAU,-0.0016451883522109333,0.08232634394280267,-0.004365920140419758,-0.03829700120944466,-0.03418270223606092,0.006031312224103591
CXCL12,0.04247004774734436,0.03552745217994782,0.04501742937874103,-0.04553735597054789,0.01505339576604915,-0.014517103137340157
MMP9,0.06011364294144151,-0.06807224328190441,0.04536585057620602,-0.0529131007537423,0.05134956013624942,0.026169634567360878
TNFSF14,-0.023332705493684484,0.037885178104876974,,-0.030705702336757953,0.04140157966295093,-0.03110930349862585
HBEGF,0.028785266561752374,0.12532825904940764,-0.0028359880110941952,0.07909720411641358,0.021269333229875276,0.021009440398501056
NUCB2,0.06105076025498229,-0.05201137828907135,-0.020060432806139866,0.03415074974391155,0.052357944179747054,-0.016923166769683726
VCAN,-0.007249244922711346,0.021861576778132535,-0.014328090717426517,0.036722476956600296,-0.032893725814263065,-0.08422013913254212
VEGFC,-0.024971407615289837,-0.04035625845989414,0.034511912068090914,0.04099356251067037,0.07450057004819567,0.016009776162271484
