,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.016020372959741243,,,,,,,,,,,-0.03368799522035229,,0.0070219307948911755,,
BMP1,0.09932927360001444,0.046437907436478965,0.07062793832239644,0.08860978151743153,-0.022239197098388185,0.04521508145903589,-0.016982518093766212,0.06241681511257525,0.031356697404728136,-0.03120111334289166,0.07852402127242497,0.08970219279868301,0.09613569200202896,0.007920057492348368,0.02117580475275258,0.04616356993414926,0.1805997020172961,0.09184016576472193,0.04851412825064511
NDP,0.023865445146441275,0.03128118066792702,0.052317723374558894,0.02319565153267933,-0.018370483252685813,-0.020167650125985804,0.08728349364956298,0.06191290930835504,0.013992452016770806,0.06001586053362667,-0.03515767611419236,-0.030179691605231884,0.07301900387762525,0.07024500407631257,0.030608377143502043,0.002266672418798343,0.013220358097706273,-0.014957794246151339,0.05817046569767964
TNFSF18,0.029365065046483868,,-0.014769702613913598,0.0887631716929032,-0.019943159983502403,,,,,-0.028742988412571092,0.11267442729754862,,,,0.0446092995460329,,0.050903687446164386,0.008599579216953132,
IL36G,,,,,,,,,0.051529370484961944,,,,,,,,,,
RTN4,0.01601823275428043,0.0593374310502424,-0.024865878955937195,-0.10606824746703192,-0.02907932034763645,-0.005686554061501031,-0.01382945282578017,-0.06974869712704226,0.03380670186231579,0.028375806402220195,-0.054597477667605955,0.006166839274216976,-0.06499641059232565,-0.06451547245403537,-0.05928192169798186,-0.07495684358693622,0.022359638903949156,-0.13148283768614066,-0.1257489315535535
HEBP1,-0.004000317423282288,0.03295096716000257,0.07140140162427706,0.04489555630598575,0.04565678803098449,-0.001437476355311617,0.11954394725326292,0.03082795826477108,0.009463461097129085,-0.030737706687520076,0.11903882907948853,-0.0018345036699296711,0.06291101704602976,0.0707346189468284,0.0502011175912117,-0.011316813223415668,0.08932710618864008,0.06774773928089495,0.0038261375050980084
WNT7B,0.012271001659294088,0.024264824240700252,0.05204695856327326,-0.016069721313847676,0.03622701070304298,-0.015391027802874708,,0.06309408739583056,0.010680931243353,-0.031643224771076055,,0.03569928893019548,-0.014039991183901398,0.04218626380701501,-0.030656751427668303,-0.0372895351926112,0.07637989872678906,0.046442692617921486,-0.03721182798635496
PTMA,0.03345678677561407,-0.04250750619192088,0.06766888301066319,-0.04736975763431793,-0.06688305926353905,0.0390690477364765,0.08530130904433075,0.10779642984388636,-0.028778906825982487,0.014003197796598893,-0.018252857165460077,-0.06071785977858602,-0.10229979363344183,-0.007608272321664441,-0.07582469166680346,0.018790735268713592,0.06057088152140485,0.007996414467825445,-0.03451850001194424
FASLG,,,,,,,,,,,,,,,,,0.0072505293654435725,,
CEACAM1,-0.015979904283108155,0.03588775488046701,,0.0449935528383301,0.03250650706917888,,,,,,-0.03236424282534827,-0.01367321811923031,0.0739435174033956,0.009186933620942804,-0.019208412288978724,0.006409453275691946,0.07003489135111565,,
