,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,0.04966600840348593,,,,,,-0.01880732089673892
BMP1,0.059449678918660265,0.005671820427165548,-0.03503287333057771,0.10012316622474951,0.026595850939500325,0.01814139026613079,0.09425957508742602,0.01938583941693187,0.08163112209266604,-0.01976584600380704,0.06125171014796756,0.02117725227039777,-0.02223194383228544
NDP,0.10394911248856235,0.03411744954482474,-0.003031716056728642,-0.02909982962323765,0.049832851860855544,0.014580806355332111,0.06678222982495031,-0.03759790641710541,0.040510216636491854,0.04535277601967993,-0.0034898993961243016,0.019586359199881758,0.03644706660629449
TNFSF18,0.0052033908777191894,0.00849433054037026,0.0720061444035881,,,0.014904537311577974,0.08445307325005372,0.11788638289321626,-0.028742972929466554,0.11372986900417739,,,-0.03172458794896521
RTN4,-0.024416064978758145,0.04757731980372609,-0.027396905942270375,-0.02700637954636512,0.007052299610377321,-0.020052524875882122,-0.10485066197703857,-0.05531665944893838,0.05918353261957966,-0.08773566037271129,-0.06951685513759001,-0.06993920621425061,0.026273507671572223
HEBP1,-0.0025584101306750716,0.03206773659294224,-0.03549228322913288,0.03442860439711391,-0.009085558826848509,0.01619880413816605,0.02652424959906128,0.04311923528321433,-0.04470003326518119,-0.040581688166033573,0.028209701547320574,0.06180646691263201,-0.011371087676798192
WNT7B,0.008593996368200149,-0.02302251408876945,-0.0188206601635009,0.008182719038708977,-0.0025874117244783644,0.05824283961764045,0.04255360817627388,0.01638394637628002,0.06262341490855443,,-0.02979634930666551,-0.015042253879072893,-0.00611329674913705
PTMA,-0.012267202668311123,-0.03407499675874868,0.041256043688673374,0.11824791677810337,0.02222112693016131,0.04001751353034678,-0.0685941568347004,0.005228654303849636,0.028497353415010945,-0.02575410266307798,-0.057475043194439704,-0.005631276368003493,-0.02888123437587332
FASLG,,,,,,,,,,,,,0.0826780271383858
CEACAM1,,0.07712929054738513,-0.014443724689002369,,0.08443136820161365,,0.10123530967441864,0.04740628455405861,,0.11012027545732615,0.0055315720136848105,0.04365462518906512,-0.022695172005599427
PDAP1,-0.0003430494449815583,-0.021936662259003186,-0.018050394061714152,0.11220263871559885,0.029493206622400854,0.003004821283329314,0.09720651966861911,-0.039476336166941225,-0.0073999380011016205,0.04119920414091828,-0.03967236865869844,-0.04945506076670317,0.04286916042886993
QDPR,0.026596540048440365,0.01113704548915382,-0.03959219270406344,0.07360961223938067,0.04128447741420084,-0.036360364889326695,-0.1214639909248115,-0.017162000751183237,-0.004069336302046963,-0.02386757138030564,0.0691923902772513,0.04093118162235448,0.02424463575025334
POMC,0.04351137626319277,-0.05778407528778357,-0.025664194383001673,,0.013777149539461114,-0.024122217936935756,0.05450554090123572,-0.019266525890364584,-0.03843881908247029,-0.07890700322673476,-0.030186337488947553,0.010921253218911027,-0.020517399259015523
CCL18,-0.02356496654561284,0.0032182784835878726,,,,,,,,,-0.01319041793385844,-0.017725108921721015,
CCL17,,,,,,,,-0.020709019728853754,,,-0.019104823480486675,0.07105646010006816,0.1776895528482251
VEGFD,0.027490124110788473,-0.018849702435264293,0.01069475468202549,,-0.025523001917884734,,0.05697416158340906,-0.022063708928106017,,0.022684289323342505,,-0.024091349197019177,
TNFSF13,,0.1110352713253683,,,,-0.012721405367082595,,,,,-0.02365904945511683,0.027964263679943736,-0.02409030080780422
WNT5A,0.06409099615928547,0.03892607645419833,-0.02783053770502381,0.03891693456814547,-0.017422842205403417,0.03023880701571318,0.10037997714018326,0.0008429276240566144,0.07930452931836734,0.061411537670878896,-0.005933058496335595,0.0034391725767678512,-0.05483239736545705
CXCL8,-0.07979877471634786,0.024338616876204103,-0.019370771457429048,-0.06275943589559328,0.017363127482924033,-0.018095374035064917,0.06726725740673739,0.05088268353609587,,0.029913509954580846,-0.07262820834345157,-0.09085011509362778,0.011979345710679157
GRN,0.06616679322481255,0.002247972480853013,0.04825306654616893,0.03611270057579627,0.011955152659425747,-0.012709642766915984,0.06841366653188337,-0.013473375287836013,-0.0598358174887285,0.06404291582252464,-0.011575301208019008,-0.06336415018810869,-0.023901452206708432
MIA,0.09659216122442371,-0.009229510614630154,-0.01839822723110036,0.0514468029405721,-0.00235012064588835,0.009552445350593044,0.1257672014134522,0.008529716629496345,0.05212749273748986,-0.07531323880788417,0.12964596542759455,0.080300933480556,-0.03980360980523808
COL4A4,-0.02465488739511996,-0.03653937604580915,0.0024185268983375765,-0.04386878640603244,0.06809612838733728,-0.012103855169799699,0.013637218579693381,0.030038344684448492,,0.05386161497235307,0.013509146506899546,-0.01780521827226836,-0.03295882443314774
TAC1,-0.003730749545601054,0.006696748916488139,-0.03317051592938308,0.12087091732296995,-0.04869208622349543,0.03365618234061655,-0.03305071015026675,-0.007315607361430193,,,,,0.1490888445312109
RARRES2,0.004465050565096716,0.02267163912657604,-0.025023252990889498,-0.018747336202278402,0.013596422960998144,0.011937908715942035,0.11332576862810713,-0.02353292112242639,-0.040293409836023135,-0.08680151717850432,-0.016796188384426095,-3.563378154399571e-05,0.07504006295674696
FGF7,-0.03257402464534602,,0.04647331819541265,0.0730766519693451,-0.03331524597787335,0.03820700023327572,0.021685624946636173,0.06525361953711299,-0.05582915763840799,0.069825373104496,0.03723881565781099,0.02695615040418294,-0.0023254571167735136
EFNA2,,,,,,,,,,,,-0.004584274800033348,
HBEGF,0.08932911187293772,0.028458965505045623,0.0027522537763248075,0.03767535800761255,0.0721641614548843,0.05476100323433802,0.05838185972126136,0.04784945384676413,0.009644680208709467,0.06203984272478909,0.014768320086775382,-0.03654465489330626,0.03809974093472094
CSF3,-0.011996880042018735,,,-0.012939125991332168,0.03418233676951894,,0.07798123258646453,,,,-0.020851842838198575,-0.05995843899487502,-0.015565921827422067
PI3,-0.06554671210326604,0.013097039346081496,,-0.05646597445895852,-0.004202444648828792,,0.1119586117278625,,,,-0.08289292920001849,-0.07651758439618277,0.0031217821761387867
PCSK1N,0.0206398250456064,-0.005754620949607863,-0.005831176267181979,0.03801728690821163,-0.011635283084156596,-0.03623040799040938,-0.005228973035144138,0.0007705350119554281,0.01588786649794573,0.017740009469714314,0.009938332580264646,0.02408630896989141,0.02621748175623399
NTS,,,,,-0.05068932451659106,0.010890751473462653,0.024238435045424722,0.030644334003375868,,,-0.044569564441144426,0.00248213473712596,0.0469866782082735
SFRP1,0.061219651658171705,0.0015676476417114122,-0.01682747934148849,,-0.029117325195795213,-0.04497027781875155,-0.033997386990083825,0.004575674555718268,-0.03425851284634563,0.004008319904016375,0.06494990907628052,0.020422065120968794,-0.004316533288062092
CXCL13,,,0.025571549631596965,-0.02229653987600439,-0.028855641114261945,,,,,,-0.022163866475957188,-0.013353284050293325,
MICA,0.0009758422473436604,0.02321586107439275,-0.015810313068726364,0.02537182459387614,-0.029846167915138763,-0.019768276208184783,0.0958672207004864,0.05695594800855416,0.03501656183295889,-0.06032061944004729,0.007019652592323293,0.03002968065754937,-0.0025152591214460396
TG,0.04516820485615095,-0.04791094261581551,-0.019640555393209913,,-0.016705159221689313,-0.017055465020628803,0.0260125030660528,0.0064369804645565245,-0.03683546193887096,-0.009880126837517413,0.0794907297739013,-0.010893107928095815,-0.030356516644441445
ADA,-0.03143290065392321,0.019260821132311028,0.000768606008246261,0.03115612497384144,-0.03076648788650482,0.011298930344515495,0.07155714966332409,0.0015277494763409618,-0.047622867717273906,0.04438217092660465,0.050585501803463835,0.0041312503414567036,-0.00988671498783918
LAMC3,-0.010578548967802552,0.04862821746709123,-0.024648204897400418,0.09328547044452809,0.008439309876837522,0.015049518809621867,0.12138233436083597,0.011597661903744555,0.043467595422575035,0.026713170186031032,0.05513525363175861,0.004606595055205249,-0.04035415534190383
