,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275
IGFL3,,,,,-0.012443415345730255,
BMP1,-0.055726943066734785,-0.005918933927621692,0.010403152656289232,0.030177510805319052,0.04124292064669279,0.012136575131167286
NDP,0.005215889248496838,-0.013037151893006887,-0.0053268285019988735,-0.009030343978875323,-0.04527410426802207,-0.04691847492683958
TNFSF18,-0.017173175786072477,-0.01888061039618284,,,-0.018478098226844028,-0.010647509681371023
RTN4,-0.02388781928700778,0.015739371406833846,0.0092797202960555,-0.018896185491808076,-0.009324711030190022,-0.016461099800670485
HEBP1,-0.018238245171041362,0.07140841048438011,0.018080997266647733,0.004578238773298605,0.04458346047422949,0.028765823924885386
WNT7B,0.05914357490658679,-0.018628564235715756,-0.024841362398553047,-0.02752849061811926,-0.006464317586136824,-0.030520095349847606
PTMA,0.015220498665329244,-0.02659143624752509,0.098346626329242,0.007349140580309032,-0.02548371157008258,-0.025668836360516548
CEACAM1,-0.018743062263176583,0.008790486686663476,,-0.04098717332208352,0.12354063089969224,-0.016745996129576765
PDAP1,-0.012332456285914997,-0.011640764275958526,-0.004122997440050399,0.0371958544198721,0.03119292880077658,0.020807000412720985
QDPR,0.004624257793718759,0.03304614371385429,0.046148547286704145,-0.08084695192190942,-0.041703910418007896,0.02404525563493824
POMC,0.04888350593224751,-0.025402248883320325,,0.055166790711955294,-0.0060738885163293494,0.009823074830444034
CCL18,-0.023389570784440282,,,,,
CCL17,,,,0.0003874173994358408,,-0.013279517579130084
VEGFD,-0.023389578211724507,0.07519986213853003,,-0.0049138607451392246,-0.002220209995205347,-0.014148202783512946
TNFSF13,-0.017650526285729436,,,0.05279413106190839,,
WNT5A,-0.05630425221054809,-0.048396056416830285,0.03677873806608513,-0.020651327844669897,0.04105347427411885,0.028340347662187206
CXCL8,-0.03799439821622495,-0.01917306073513222,-0.03670265218546792,0.04365492463937478,0.018401387723697437,0.02899688312163024
GRN,-0.0041876942217103615,0.00975269682977995,0.01757288991434112,0.040976973068164994,0.014796591596453152,-0.013259295157380913
MIA,-0.021081126234307572,0.053521120946277645,-0.05204927524659666,-0.007491731908783876,-0.012348543179720454,-0.004099756878392621
COL4A4,0.019706391170464604,-0.00776438836721404,-0.039606622266552705,0.03535463906796326,-0.012262062208633448,-0.013864227203243833
TAC1,0.038787699182422544,0.1003202883682445,-0.03266427483294259,-0.04999705580779433,-0.02144185634039224,-0.015122956298364042
RARRES2,0.06935558390060789,-0.018668494239576415,0.0847291317483256,-0.06216055887390779,0.08641224677283235,0.012759489218452297
FGF7,,0.006199445629667677,0.12770400749024896,0.03462014919774737,0.05428495695071062,-0.013997101368340828
HBEGF,-0.008496420205625209,0.0051732859549363675,0.007773262820332405,0.003902963336482928,-0.011480562709389033,0.061379039345678336
CSF3,,,-0.027723130037182287,0.02374562402709665,-0.012973025801344401,
PI3,-0.024606814610565488,,-0.04860633121524962,0.039964297660612554,0.08863450399979994,
PCSK1N,-0.017692932772878006,-0.013610682725531441,0.06869745201486327,-0.03200932304530539,-0.0018258496229139832,-0.018558883272551698
NTS,,,,,-0.015945409252831447,-0.015838267966539643
SFRP1,-0.015846500434649743,0.052951069754773095,,-0.020728615127782575,-0.029764790723056423,0.04563653960902746
CXCL13,,0.04142084203343767,-0.02013027268515003,,,
MICA,-0.037852424644992985,-0.017929529930446275,-0.019696093955566055,-2.958624883056359e-05,0.040166797958615795,-0.026142200049614896
TG,0.04416764579482205,-0.019440091080178485,,-0.0223694598453351,0.008769585306622822,-0.013378611417638507
ADA,-0.023736622984578844,-0.023156147547661713,0.01680516756409651,0.008157954792272814,0.03972570469951303,0.004476192835800509
LAMC3,0.035335111404926935,-0.015530354538597592,0.04535456761515616,-0.025980034632657953,0.03637097797953131,0.08976934808950622
CCL7,-0.014877742917573442,,,0.08938825890937599,,
NGF,-0.025544345774355087,,,-0.021307268057366623,,
TNFSF15,,,,-0.01800951974633743,,
HMGB1,-0.02967822831387854,0.019657612315323456,0.0520507154474564,0.03412533594487703,0.018835476168017697,-0.052320329984169814
ITGB3BP,0.09088323559130597,-0.03955394803626826,0.01708661418180588,-0.03418036537642172,0.060955335357913414,0.03874068883465584
AANAT,0.01089722019737483,,,-0.016386822821218335,-0.011702020347806374,-0.012031463432730795
RELN,-0.0466000971018372,0.02459826731392277,-0.03122048031038012,-0.008480533226747916,-0.034337399326908824,-0.02648939870959768
IL15,0.04854966898075483,-0.012018885766751022,,0.047093731341580986,0.05001905558821053,0.09571232419132718
UTS2,,,,,0.09448677226888437,
BSG,0.0502531678906853,-0.005608896072867538,-0.024989882275607105,0.011492201379119018,0.02558115555666071,-0.02252488288940035
ADAMTS3,0.0028040562471080147,-0.034157649465689534,,-0.03522536988542815,0.0680535630530581,0.04704930529444054
CD34,-0.025292443776125717,0.04091503713790167,0.038717888835399124,0.040422476451899225,-0.0027330081089040337,0.04332605317674275
CCL23,,,,,-0.013315041582337338,
PLAT,0.002782654125015421,-0.010894794256562859,-0.005915864699127598,-0.010559850614286586,0.054052753268330755,0.042527078482236885
LTA,,-0.014296304085276053,,-0.00702151305063588,,-0.011587553160305459
CKLF,-0.03611930040681647,-0.0054344539664411395,0.07099436409558997,0.03906558248850423,0.014261319774901967,0.009709547975620614
CD24,0.0297488128725722,0.028798880306291776,0.04996936808811495,0.038085280978113,0.05209467453629229,0.03428436108763824
HSP90AA1,-0.07397971245358383,-0.008474825423319746,-0.07019136656221082,0.004399303046691869,-0.07269805793088473,0.07393518785828233
BMP4,0.005061401918817763,-0.015154920379819485,-0.025631355411237032,0.027378203711608963,-0.025012913075499806,0.0026785077685558406
SCGB3A1,-0.014877741429819027,,-0.029633284458386817,,,
IGFBP4,-0.0027489723589242507,0.027979251179377856,-0.012996463362893229,0.04198709897688526,0.07240482139919269,0.026847089533703735
RSPO4,,-0.023111608341420235,,-0.03172877563045714,,-0.013477029757715937
LEFTY2,-0.03179074178891192,0.030153275279597554,0.09488333690722557,0.001408094057706258,0.058087904489964905,-0.007655974543595828
PF4,-0.015433268506605837,-0.01300443163651083,,0.00625078123034838,,
ANGPTL2,-0.02357597657468142,-0.012867932295605235,-0.019831608163325447,0.010925451576869073,0.05179093177897184,-0.015411796119796784
LRIG2,0.06521555135517551,-0.006312605276777361,0.04662907933204844,0.017362724654033098,-0.029336172768014545,-0.013842862090983664
ICOSLG,-0.01447036474785308,-0.04111895283392644,0.004536708502129789,0.0033787843027883865,0.05410172797618496,0.055979394931741935
WIF1,0.02190461703404229,,0.06998625492663717,,0.005384402683137066,0.016401166710338495
NPPC,0.06722775522057667,,-0.03717740828818223,0.030045597013796187,-0.031507226719376814,-0.02028690954289496
LYZ,0.008703519562737964,0.015871174112587504,0.009295365743925234,0.07664683324502225,0.036182055518623676,-0.0106636196780985
EREG,,,-0.023367817476506986,,,
SPTAN1,0.02399312426720561,0.05730217092532489,0.012654664315948914,-0.015369479843853714,-0.048951105612346384,-8.896695111037026e-05
LIPC,0.05218604512363501,0.03010439552465681,,0.06799777643979252,0.02242880876043276,-0.02519667960178463
COL8A1,0.024072382891333368,0.041788124962344186,-0.03461283381009773,0.06043955093989379,0.06144563575333721,0.027106217822161875
GSTM2,0.01094722500697729,0.061844599394962604,0.051023458980769903,-0.013369162161355082,-0.0036003760386784348,-0.02283674723321404
SPX,-0.030558670031393356,0.025085044925569195,,-0.002085833698302127,-0.011795471664093525,-0.056171460862640875
MFGE8,-0.02108091676944689,0.01570302802859617,0.018543144817125524,0.006152585112718696,-0.02213169519119246,-0.022423586598288938
TGFA,-0.0031777819622830577,-0.032518335687489144,0.018097471385457534,-0.060763152896091736,0.03302552513600325,0.026222968955178852
SLIT2,0.0879463364948094,0.004943372929377413,0.0721600808098791,-0.048025497227936184,-0.027715839400634115,-0.000249151128931492
PLTP,0.044920758499348165,0.015439552928172298,0.023963094917794178,0.018030106819348815,0.10107489151034282,0.03491599036847979
APOD,-0.01036320816350388,-0.0420127718378488,0.022515705362134025,-0.0007423492241685858,-0.033567209384944834,0.03672393582220511
B2M,0.006397278618076329,0.0005809517478778644,0.020046510080756464,0.008293833104798557,0.06033189556222517,0.037063966166654444
OMG,0.038935786043087235,0.02408988789974158,0.04949825285383172,-0.041881747703578436,-0.05194550958361872,-0.02932147897065599
CXCL3,-0.038111991931680224,0.07392103769931176,-0.030102446280133397,-0.015173679708993798,-0.015364193329876874,0.009759418520019299
CXCL10,0.012087006240494406,-0.026713976126408023,,-0.022505241047927137,0.07566772934384022,0.03738145829640679
RSPO3,0.013799535791104479,,-0.027723130901897625,-0.016386821610417657,0.042127806825782974,-0.020355016207720004
CORT,0.045707373012084496,0.03238277087730042,0.024321365092327407,-0.03674870572572849,-0.02050546698730018,-0.003455276430818004
NCAN,-0.01686855185533189,-0.0273934395936048,0.02158592848605218,0.03268811311586623,0.05469849815387901,-0.027606259502597173
