,UKF243,UKF255,ZH8811Abulk
BMP1,-0.011389122518700686,-0.07428311075951188,-0.028993915881230535
NDP,0.004990287552171214,0.0208541158881942,-0.03760856108086727
TNFSF18,-0.021000985711922365,,
RTN4,-0.08124131373657026,0.02375734809928237,0.008797856540006938
HEBP1,0.035258502447749786,0.04358343336166545,-0.08717771600288328
WNT7B,-0.04901653410210911,-0.03255376844528045,-0.016650130047845064
PTMA,0.08433228863792186,-0.04255393311143039,-0.002776566656687519
CEACAM1,,,-0.022267306254361366
PDAP1,-0.031998251660623665,-0.003794973809384889,0.12864491148391577
QDPR,-0.042509629836181395,-0.02123564557493184,-0.029713562115233055
POMC,0.022127597671709343,,-0.00020154078711430483
CCL18,-0.028164048629495203,,-0.029812513426275906
CCL17,,,-0.015797576019551385
VEGFD,0.07775293794496457,,
TNFSF13,,,-0.030313175549197196
WNT5A,0.050640988492720515,-0.03731736108095937,-0.04910895711722222
CXCL8,0.04231004628677808,0.013540785490257006,0.06656029978685421
GRN,-0.0465400901130233,-0.05245899570639314,-0.00773049868175689
MIA,0.15011552442963383,0.007656031267386442,-0.13038668711582246
COL4A4,-0.012488980808421236,-0.03301213347669305,-0.041741664040214746
TAC1,-0.04000793461629637,0.05061299985211005,
RARRES2,-0.034527226686501364,0.016510657514684182,0.05504465740911258
FGF7,-0.04371115823919937,0.0433786187106424,-0.05307026905587531
HBEGF,-0.054897053974508794,0.06885863355912414,-0.03373926031464877
CSF3,-0.03194442583645872,0.06983159552772264,0.07737816402538986
PI3,-0.037842935987477705,0.0628688848737978,0.13493174709759553
PCSK1N,-0.027655334417305878,-0.03417815977732421,-0.08243899572346844
NTS,,,-0.03685410038655522
SFRP1,-0.049322626756830516,,-0.03555109518082709
CXCL13,,-0.01677858930589998,0.013901689307225703
MICA,-0.043831260987568454,0.0027749346070410122,-0.006177062401789746
TG,-0.025464806098385237,,0.06441739825263253
ADA,0.088060837526342,-0.022272603642763712,0.032617250723759594
LAMC3,-0.01884625808631703,-0.04313303071291031,-0.0005619247193102342
CCL7,,,0.012276725232525135
NGF,-0.018404091792556077,,-0.02734495301188322
TNFSF15,-0.02276815844073777,,0.05314749066275266
HMGB1,-0.08701243997644745,-0.03173354842039106,0.04245928114669794
