,UKF243,UKF248,UKF251,UKF260,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016360141583073282,,-0.000558429523155469,
BMP1,-0.002345047486173509,0.04884954690736734,-0.018498865823823124,0.03193210304180957,0.07349334907865927,-0.00235876316439825,0.0446147093774112,0.011761436753088097,0.15627790926182475,0.03448079557270905
NDP,0.04355847984710584,-0.012547269250448398,-0.004876038719915787,0.09115551206940548,0.0017488534870819437,0.0985883614636942,0.0837601193674388,0.0015759963785995045,0.02580290185940925,-0.03287493958213661
TNFSF18,-0.023357429984788947,0.024544901919064666,0.0028929277859113707,,,,0.012771253132593842,,0.1035663547415802,-0.03363548365315099
RTN4,-0.1082531775535066,0.019025288769958727,0.02294740092125902,0.06860684183899166,0.033280918691090317,-0.038437333741285856,-0.039498454270945206,0.1052693682598111,-0.05280953936169041,0.02786129584940254
HEBP1,0.01482397725740848,0.042334834953700676,-0.00016966692183722747,0.006470561522065891,0.035902549141706645,0.061059986325198067,-0.06461768202339224,0.04137975479234256,0.03918335498985595,0.07946901339400093
WNT7B,-0.054516501229609805,-0.03002035469336989,0.0227358426825789,-0.03938210176565996,0.005135871788662214,0.005624940477178369,0.026546528743296723,0.015678048777262657,0.053450148261607336,-0.01672708878067431
PTMA,-0.025497703058754526,-0.04219701896359467,0.041146802940436614,-0.060200155258686605,0.011962852355457139,-0.033563954002163124,-0.0031820465850543084,-0.07465042493675196,0.09207771429490084,-0.037587489640527334
FASLG,,,,,,,,,-0.025987031516473795,
CEACAM1,,0.06271543160445893,0.0030103670076580616,0.05258510445748777,-0.02750952942744617,4.370941921024624e-05,0.016241926106561777,-0.017627280684966613,-0.0011100978573837894,
PDAP1,-0.00854608179873255,0.01278186996748618,0.03324257463429327,-0.032590958144225766,0.023978970395701293,-0.059177398085623896,-0.03847953515159216,-0.02918422482341478,-0.041090458274745036,0.027161949628710654
QDPR,0.012645825290095662,-0.024289408749589157,-0.018510571692299353,0.10107042587886265,-0.009324330092944531,0.0698799399761828,-0.0297979277982293,0.032873855317474644,0.04478044736808991,0.03889630689352451
POMC,-0.04410272585537563,0.0013644879678481774,-0.018854333270393767,0.03241326963075679,-0.001252223638553275,0.14541358529935702,0.12570544559222901,0.022788120497109723,0.0199104163535746,0.060177872962865676
