,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916inf
IGFL3,,,,0.15762700210293926,
BMP1,-0.030112785766037563,0.04296558393486426,-0.07473334484739994,-0.010485977309045737,0.0418932429553901
NDP,0.0020099421473615355,0.09640062557324817,0.012003388130461196,0.05803515327010106,0.05088235487109165
TNFSF18,,0.14546741766085838,,-0.020329361002380295,
RTN4,0.010026076539792492,-0.05521184696041929,-0.018170713224464567,0.014972745139528539,0.03561037172044846
HEBP1,0.028903708314630138,0.03494621204207162,0.09735645677358634,0.049321595779547145,0.04230250376788042
WNT7B,-0.010917751829432314,,-0.03318916932362191,-0.04251033845848917,-0.04062764355592955
PTMA,0.013605200253792606,-0.07519155270262738,0.11990055634034925,0.08310524475208879,0.0421894651303359
CEACAM1,,0.0019462257102135202,-0.005197795540765862,-0.02921116934640506,
PDAP1,-0.005650479085848893,0.048174929232574264,0.021977765581255717,0.006490833941572536,-0.08400748387775324
QDPR,0.04609020178082255,-0.007024545199324396,0.0358945185678872,-0.04306971414887463,-0.09993248431411433
POMC,0.010981553995896655,-0.06425349345557754,0.0011014707302420025,-0.020134641418767026,0.1554674230564838
CCL18,,,-0.02110357564081889,,
CCL17,-0.013513116213760824,,,-0.025990058088991855,
VEGFD,-0.00991203416265835,-0.04098786585445171,,0.10106067573175952,
TNFSF13,,,,-0.02787097618529346,
WNT5A,-0.03191734906971347,-0.03018449832174474,0.002079432255565605,-0.07969848793497285,-0.029040578053924505
CXCL8,-0.009230517201841214,-0.012344705455269086,0.05893190886817654,-0.03690021705349866,-0.055836914420944454
GRN,0.08500018115243722,0.015364527229447205,-0.03945875611639994,0.011102623747287333,0.008960253609507718
MIA,-0.011272851405066077,-0.09653065406673837,-0.018922057082211993,-0.005045899471185731,
COL4A4,-0.01893749386037828,-0.032094306188551414,-0.026681513491243994,0.012284919127901557,
TAC1,-0.0563073502963916,,,,-0.022584527161257043
RARRES2,-0.025228349762506888,-0.08833267032788165,-0.003969332303609934,0.0741476235922916,-0.01895799842852249
FGF7,0.013618733649651856,0.07182880693170211,0.010441685718006861,0.062030338510816116,0.08647320584195606
