,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.019381224079358935,,,,,,,,,-0.021872571755484235,,0.09023034513005215,
BMP1,0.012038670892768851,-0.0319504716420533,0.03803410103156768,-0.07648140056410341,0.014751407675596915,-0.07725714406154784,-0.024767966052390334,0.02225338358183432,-0.027745035157822607,-0.07218706987747503,-0.05875501613282086,0.09941094157603728,0.0458344511269468,0.015648354203166952,0.04579574290781805,-0.01986877475482863,0.0036034613669361118,-0.020718417925913883
NDP,-0.0253595102093395,-0.05494584104679261,-0.021935488789524397,0.048763561015913746,0.004054855114607848,-0.05584149738575509,0.00687932044233412,-0.01786581865757803,-0.04183158346462595,0.022615324739033243,-0.07295113429668694,-0.005773670269156513,0.07597997846079697,0.07888538521496513,0.08264059986502535,-0.00901006307345325,0.10242588438506998,0.02253542344116084
TNFSF18,0.08740993055132164,0.03744067659358186,0.03037144024601266,,0.021683379235369192,-0.015452782227607546,-0.016091835232548694,,,,,,,,0.022409323959636244,,0.02118726868151323,-0.031189195190785855
IL36G,,,,,,,,,,-0.015968597104527867,,,,,,,,
RTN4,-0.02722851749945566,0.03194864530361394,0.037078803683750106,0.037690197285116134,0.12543767026384794,0.078485718041756,0.011764117139415378,-0.05981842861203113,0.08627856524689455,0.10870132469936934,0.02646425737015245,-0.043445833288370164,-0.015285510672853426,0.05304485944511263,-0.034066712478250834,0.039713583523538924,0.0021403402781616098,-0.0037242213585252796
HEBP1,-0.039316696199015226,-0.006856300953466242,0.015053308175507834,-0.022835799065159895,0.021244413677849086,-0.06305046580730321,-0.03867528891900434,0.04132264910212773,0.03463481253507943,-0.007700820872283404,-0.03389373064048673,-0.03444385012491206,0.003105643332916687,-0.0013867121460861525,0.05474403959493765,-0.043059663747116624,0.05560672782116873,-0.045815505212162044
WNT7B,-0.01930308946635241,0.015634859687955135,-0.024072643668519304,-0.005801862015960674,0.015780740226898814,0.13364250490764967,-0.027075060264755414,-0.021789204927560868,,-0.01755132846135427,0.0035128558415260048,0.016317706913312188,-0.046145426731356215,-0.013468866086179912,-0.0471680876963302,-0.048183847552395805,-0.040575637530584796,0.10859419024654193
PTMA,-0.03855895125806387,0.0017755665461587123,0.0006519942903982949,0.019638426698876988,-0.11533565782313898,-0.0034144095997009137,-0.07317401553239747,-0.01844217362191313,-0.10526015263946076,-0.08224689305693851,-0.004085751949847624,-0.04391502278640115,-0.10328019717934,0.009272607584986776,-0.01073072645915776,-0.06537694644801462,-0.04308692344911096,0.004438090893481746
FASLG,-0.019303094923286353,,,,,,,,,,,,,,,,-0.016487527004075696,
CEACAM1,0.06140484720447546,-0.019506063221237806,-0.018474306143566863,-0.022682086193663048,,-0.037873546050747775,-0.0032064243253604576,,,,-0.04315733093723888,-0.02689725349802013,-0.0440469137863787,0.05690658263001894,0.11146321269315902,-0.02551381919248168,-0.004426090652868243,
PDAP1,-0.008196564433328125,0.01722663411125883,0.005457690367351541,-0.007143263428541062,0.015707506320721286,-0.042100508579171886,-0.010273503109353323,-0.01679904567118371,-0.0077582332519200775,-0.06728471618953223,-0.04696420343082139,0.05045376511478483,0.0538314976419998,-0.03469550366482464,-0.00777663670020804,0.02602345228880654,-0.028991804635752065,-0.02268937375423919
QDPR,-0.0027828112602415844,-0.0012580707313870117,-0.01938987017498396,-0.06077613929303918,0.04245483311480849,-0.014486084982982048,-0.06568506361581887,-0.007860899327394085,-0.11304306745095787,0.085637789784769,-0.07285574504928666,-0.05210296024660791,0.0903349782088468,0.05113540605580057,-0.04966400029839851,0.008653865909937533,-0.0015199411381057275,-0.04934064436786307
POMC,0.011203661440058002,-0.046231548696050284,-0.012863102810551653,-0.01023263561101049,0.0754433091762314,0.13303612021610475,-0.018671693091494218,-0.004663960699012202,0.018950346838211746,0.05065062427941854,0.03665107395778554,0.012169422234158185,0.08820642998575004,0.0960113388836127,0.011448254308157251,0.031598305726175904,0.07718553678093544,0.020778741055549835
CCL18,,-0.010321694155431663,,,,,,,-0.07355719732236529,,-0.03700515501897548,-0.019070594963365533,0.03643979868093807,0.025876076757084268,,-0.06155054714558663,,
CCL17,,,,-0.018787874084229685,,,0.05049285300108623,-0.0269689275769964,,-0.014587766803304295,,,-0.024823029466380726,-0.050132405561425696,-0.011803877665367592,,-0.014944091356444558,
VEGFD,,-0.024341731618334864,0.03503118235369295,-0.006848523233218184,,-0.03246874922543693,-0.021382516179094115,0.037356469767166986,-0.0015756981376597913,-0.015634161514914993,0.011875966386464048,,,-0.0002232718917674665,0.03519037424519731,,,
TNFSF13,,-0.018369051800781203,,-0.012959455058263373,-0.02849806764846561,,,,,,,,0.06589518067957759,-0.04344125127052906,0.0815950423613504,0.013793162990202088,-0.02435014953270254,-0.0033915656728260983
WNT5A,0.04220264615070422,0.042013843224000195,0.035515846172427465,-0.04728786158371728,-0.04135855033195272,-0.029977067971253303,0.00030798646900036833,-0.011778244107157826,0.03846544095434552,-0.05358178556175706,0.054216228067778253,-0.01024310788339971,-0.023059558052029222,0.06952455542999453,0.019719061071784904,0.030101615848406614,0.07448468872168774,0.018044944118433565
