,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,-0.01839538188182296,
BMP1,-0.04441630192100021,0.016090231844408127,0.06843735915428906,-0.06605129768390026
NDP,0.008013024054785432,-0.0654415358373618,-0.008320279646658773,0.11078803559253676
TNFSF18,,-0.07428032361600377,-0.031029720477938148,
RTN4,0.0048566166458880455,0.04653176356287071,0.049815871056785636,0.06418936077469736
HEBP1,-0.04050867336829443,0.028643923227179655,0.04821295121553138,0.06531317661009697
WNT7B,-0.008159875733207414,0.011926342384051642,0.0369389876395464,0.04442629388995126
PTMA,-0.000833319943529828,0.024146641777180962,-0.036613202153462684,-0.023958087102386436
FASLG,,,-0.01595430843042984,
CEACAM1,-0.015698626636884344,,-0.0033710897276154543,
PDAP1,0.009216326272674345,-0.04711119806595858,-0.016658163374971325,-0.021165767180400846
QDPR,0.027984382287685815,0.011910011553272145,0.037084271021439554,0.02199628722850628
POMC,0.10631600458005488,,0.0058502136719530955,-0.05686155529530882
CCL18,-0.024487107421332952,,,
CCL17,,,0.013738965510421997,
TNFSF13,-0.017628505551463947,,-0.005681686903481578,
WNT5A,-0.03254270694129269,-0.0005265150556521568,0.05081740145092473,0.006521462689574962
CXCL8,-0.009057101021499266,0.12262697834010226,-0.011545411267120638,-0.048530833559069717
GRN,0.016562897203483577,-0.019025104094624164,-0.014361601081109825,-0.028013240456977354
MIA,0.01819479967627492,,0.10883418366580254,
COL4A4,0.016215948834681016,,-2.8613947829454024e-05,
TAC1,0.11431730218352347,0.053584018497239344,-0.019010177063170635,0.08862932901768567
RARRES2,-0.06426633585333487,0.0022981242045942334,0.0023035349186162632,0.041947765130327
FGF7,-0.03343310626422533,-0.07312882445708058,-0.0020545924656068183,0.043703416247833256
HBEGF,0.03126960929691063,0.01180749372646825,0.011654314447607197,-0.04331857699311732
CSF3,0.09031713683741763,0.023271152944163893,-0.015224979566743199,
PI3,-0.012409154207939362,,-0.03307882259492906,
PCSK1N,0.02542701252431511,-0.06732196702765633,0.025223977093273987,0.011415932780813334
NTS,-0.013153931681874509,,-0.02254611864159676,
SFRP1,-0.04267288049244345,0.006245481954371818,0.05647996286794796,0.05063846389800862
CXCL13,0.004487910086731432,,,
MICA,0.010960838377448474,-0.011357524764709977,0.04131881395311136,0.012523500665417828
TG,-0.018522887289537125,,0.027493257714148102,
ADA,-0.007722477224855214,-0.03793646110270593,0.10161340725910059,-0.033200122513183807
LAMC3,-0.016032771169572545,0.04831865687807144,0.013315297423283691,-0.025591728556640957
CCL7,,,-0.0159543027572682,
NGF,0.057234462760942476,,-0.020197899148781708,
TNFSF15,-0.013975917674356951,,-0.021379319867855736,
HMGB1,-0.03972860182681659,0.03633293498217947,-0.010224406145559833,0.09681507959190044
ITGB3BP,-0.03570609155370176,0.024101675730657433,-0.004810328378345446,0.03762906645213528
AANAT,,,-0.016880317646366334,
RELN,-0.016881393947889383,0.013341335965531533,,0.019784326933957333
IL15,-0.03409156458858621,-0.040538783643425426,-0.007960325336799497,
BSG,-0.03608680941960797,0.004298193552381262,0.03959971756562121,0.1267485577055401
ADAMTS3,-0.027784304179034575,0.05574959021639063,0.06112027817308397,
CD34,-0.03408026870753058,0.033084006973713234,0.0038296182310958555,0.06202123519732174
PLAT,-0.030983754367954294,0.07638018674462797,0.070688656483877,-0.08233612314495263
NTF3,-0.011014791239793553,,,
LTA,,,0.08909406603629406,
CKLF,0.002154174163693839,-0.029640759175836213,0.025139529157072158,0.02358623438471824
CD24,-0.0013330304838629716,0.045583969050334155,-0.001447080986200861,-0.06990336674968399
HSP90AA1,0.0011956333465235516,0.05268175823732276,-0.03810826777880142,-0.0032067410178634377
BMP4,-0.022788951720932732,,0.0410032049618235,
SCGB3A1,-0.001480876085043249,,-0.033451907378671326,
IGFBP4,-0.007607082647098349,-0.012317128130467194,0.003923605929987893,0.1168628634106738
RSPO4,0.018230202288229254,,0.025585927424076522,
LEFTY2,-0.026581458915407325,0.005355675018824651,0.14475500721427112,
PF4,,,-0.022718358369887517,
ANGPTL2,-0.01061903319456777,0.03666685150168761,0.050014320054070485,0.11871020233264662
LRIG2,0.009069600063406106,0.0739775481407528,0.025996067154650245,-0.048511541851003356
ICOSLG,-0.03443311944014966,0.052778782000531266,0.046331346194694895,0.06306616226611404
WIF1,-0.01817003030229389,-0.093008711158286,,0.018573290165915406
NPPC,0.02926605162632986,-0.0060789302570831176,,-0.046742164903398414
LYZ,0.04580735347064551,-0.07235209182211849,-0.01317652223215748,-0.016735215272512205
EREG,-0.024345046779842863,,-0.03430998353804743,
SPTAN1,-0.01755482648935126,0.005820668366464825,-0.032736665433568776,0.08386810756497308
PTH2,0.017192863416028596,,,
LIPC,,,0.031072674969385827,
COL8A1,0.014661204045615267,-0.03150895954593173,-0.005855562021187349,
GSTM2,-0.004332841301127743,-0.08861273008544751,-0.040555247479095426,
