,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.113803717004272,,,,,,,,,,,-0.019712692760946535,,0.10145821667459914,
BMP1,0.058383844156992895,0.03369958537990955,0.12553491487717913,0.05222985371310043,-0.01911127735302146,-0.012111569624215232,0.03760784243490626,0.19701906814166262,0.25005698630567114,0.004383117102687395,0.010866867506244724,0.08495063818144126,0.11411535455041477,0.03565144671119076,0.027195844138017698,-0.011581904206531738,0.075465712640196,0.06730857123247705,0.0367611277077511,0.0937724265052964,0.07874291824841194,0.13081742226083523,0.12894141535821027
NDP,0.04546287200872491,0.07455207878248866,0.09098750408807484,0.056131984572759384,-0.003587965941891482,0.05103634346350067,-0.012055478573911134,0.012906999989495752,0.02985360269497431,-0.0061774589774989536,0.03724394572567178,0.01806966603658729,-0.023969069272632915,0.0649177429086801,-0.040629872076663194,-0.07179180041285556,0.019139811030184813,0.050627109771928205,0.10574494549261917,0.06014097460032643,-0.07811545371622612,0.06975757064024393,0.0001307531172258495
TNFSF18,0.02494443883960142,0.23241477529552212,0.08969814591792383,-0.008473704198701429,,,,0.03597888469479355,0.007193028162809649,0.02359963706759849,,,,0.014522073370809607,,-0.024977741079031033,,,,-0.020329352094903583,,0.0044869443706743155,0.007671662933455323
IL36G,,,,,,,,,,,,,0.12859314785811726,,,,,,,,,,
RTN4,-0.030875367812420593,-0.05241058401004751,-0.018978900795264642,-0.022253597995684014,0.011016375085750298,0.028099143898197388,-0.07089240779739202,-0.25490414186271654,-0.2999098472174778,-0.07060997068920598,-0.00746296972878412,-0.003844405884546195,-0.04965548402418745,0.044618250876773353,0.1379215921937079,0.09884062583328308,0.02300598052497234,-0.028894764568328644,-0.011424203012113925,-0.05176161864839098,0.0368371649471004,-0.0029258349235102153,-0.12810604478909407
HEBP1,0.025263828765266005,0.08115180084730698,0.03872584663587864,-0.004578040722905583,0.015142310434360812,0.02898291637710617,0.0866899930041192,0.11367487822055787,0.12910909886983724,-0.02554239599948834,-0.048048588175299695,-0.028978479729338515,0.03744402428097479,0.01171620441012715,-0.08822339049801817,0.043947189379967506,-0.0019397971439998312,0.027869125807610296,0.12275945576209911,0.045011870130906205,-0.012794603525957146,0.061090969880033694,-0.06999349368332859
WNT7B,0.041765440926467536,-0.014516935074204955,-0.01374378822320701,0.017619268784152965,0.0877378080706388,0.0025001400842601567,-0.035814283666677306,0.02465342554624645,-0.12294591489515377,-0.008774536693679011,-0.017755496577826522,-0.01232978864372674,-0.04735042334672741,-0.05286273832121813,-0.021197537379789893,,-0.03139837175171816,-0.02687185631222391,-0.04816279429074727,-0.04251031983223478,-0.054110289589493044,0.04247805502897404,-0.02705443268624537
PTMA,0.04378467286462916,-0.056045802100015994,0.11434735701393786,0.0723023891127765,0.1075692174312807,0.025014013173788503,0.03067008866274197,0.3471128035620285,-0.16048374546151883,-0.006698899653999144,0.0005782340465308965,0.11553094512344586,0.11115135109111321,0.01026883629286735,-0.04583183232875284,-0.029467051644542417,-0.06159761935423703,-0.07433014761407157,-0.08157215894304745,-0.037978348090439006,0.0893574803084095,-0.0025448021326362692,0.11175219474759279
FASLG,0.0037727302509715623,,,,,,,,,,,,,,,,,,,,,0.03616915893786289,
CEACAM1,0.07865381133375336,,-0.026940718336399265,-0.025417917691128052,,-0.028777161876392517,-0.030116821131429203,,0.03842547866016037,-0.03629666746318424,,,,,0.0825159007943919,-0.01920215522119622,0.023781617942709395,-0.01583414270929249,0.03289988781290467,0.0043864747050450575,0.037789930945093135,0.03699636226948444,
PDAP1,0.07614831820405367,0.005684839450220992,0.03166364497789101,-0.06685960454718459,0.03236967465019967,0.0181458993200597,-0.054195905469862006,0.1400596631958075,0.23294547787112563,-0.05431678099579409,-0.023943040065405558,0.07529230847055393,0.0758785210647355,0.044501693051044997,-0.01905764314008284,-0.03644890257082878,-0.018660169359922988,0.046486389264760515,-0.03912057422444932,-0.0025059148051661175,0.08734297442436037,0.07856819487109962,0.027731500726403596
QDPR,-0.004874235651856074,-0.001772469253999443,0.0302382296958837,-0.026484147348039104,0.03680070527176918,-0.002928812982562764,-0.010046213889263765,-0.09862306318754814,-0.2998348275554614,-0.00767127944376705,-0.03902009030644287,0.04993462717753502,-0.012441502328511319,-0.0906690394482748,0.021322434802394125,0.05554268076876801,-0.06471381052490711,-0.01876650748341747,0.08418983526961109,-0.016592665164604118,-0.02683762704861528,0.07769058313648575,-0.11367177030603655
POMC,0.013947207000052527,0.012566752682848716,-0.0038679372154509437,-0.04516358449652115,,0.03383293740159954,0.029413944911977543,0.02203222434795852,0.061177885066087755,-0.01598936266653956,0.002017282668222668,0.03695795671823495,-0.0072053787017130125,-0.04944686925157468,0.05473806277470862,-0.04190185403019026,0.03095148378505495,0.018739120398771424,0.046948313816797475,-0.022797386626783135,-0.02457626366244413,0.024135730871138093,0.011719512540133635
CCL18,,0.10038297015504154,-0.0629823307807554,,,,,,,,,0.06927233591864289,,,-0.025204933201760985,,-0.019964883929448833,0.04833025222081476,0.05411239019844426,,-0.07330352389569107,,
CCL17,,,,,,-0.03525497001869844,,,,-0.028783132989615472,0.030760222004954284,,0.01893567994774329,,,,,-0.021796758448919255,0.039130670360153365,-0.025990046701234164,,-0.02626979198433403,
VEGFD,,-0.010113008708252358,0.01581722834938666,-0.0014600165506175034,,0.02933684613882844,0.020957308555899844,,0.09542405204121468,-0.0031384158851955044,0.001953546983840612,0.07709101082859601,-0.026360361307414763,,0.11653080016749284,-0.014545516103543637,,,0.035792756978249844,0.028233750932461138,,,
TNFSF13,,,0.05606652320220985,,,-0.024318089289370372,,0.03376523846151997,,,,,,,,,,0.06479729383344554,0.0713326113977557,0.08293868498245774,0.009485242474622957,0.011442060411512951,0.055214508605346435
WNT5A,0.07337961802656685,0.005835579136756217,-0.019648426759167312,0.0060433657230355405,0.09581229851790624,0.001655480348807719,0.07604067605307466,0.2143697359135603,0.24098791107805126,-0.04667234398426062,-0.001966613104393793,0.0002322872341785108,0.06232032982185189,0.020805653467033107,0.06619362208690545,-0.05734348689571704,-0.014896154613892073,-0.01295289408024657,0.09605681512730899,0.08451171460987328,0.023063190148153563,0.051512423733469016,0.07146529963159529
CXCL8,,-0.03328795411596146,-0.09661498446572774,-0.023735176581268943,-0.1103770075274331,0.04772473177415218,-0.09308022262272467,-0.008569220153551521,0.12017734625341125,0.041811502356066454,0.0036927263873717266,-0.037833679724719176,-0.029018333052198322,,0.0657202115199345,0.02033350995220675,-0.035151321493671464,-0.04286653716236654,-0.13310262070603968,0.11601872239730432,-0.01906629520837958,-0.039240531411250335,0.011675904015401365
GRN,-0.06675907710307714,0.036881220084522146,0.06435905591951824,-0.03228087371833101,0.07887189329290688,-0.013393271756810564,0.03226122640603944,0.10833698628763402,0.25981790927936965,-0.022957023191026656,-0.00808846920824758,-0.05811992690356033,0.04940268565199948,-0.050053794265439454,0.06544612470338723,0.01061641688115845,0.06848094779059645,0.14001242560677796,0.01976710046440368,0.0371909205265602,-0.029035849742306233,0.058397150987056584,0.019253722652730076
