,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.06275762107020987,,,,,,,,,-0.04112328507714937,,,,
BMP1,0.03897699643245949,-0.04973160437994621,-0.07134720942613035,0.05265553924101902,0.018325924594057505,-0.03048953042943514,-0.08296690345554787,-0.2670578815031988,-0.5645380922328934,-0.22533206992458804,-0.025237186736150247,-0.20798867481240832,-0.35701294134964723,0.030705181924176834,-0.044343329975609004,0.007388684405410731,-0.07173469048972708,-0.00573980695085888,-0.16452297720457496,-0.13212496093234943,-0.21956622384711755,-0.022093778041918383
NDP,-0.0051166394389931865,-0.05506431015770588,0.060099034050332005,0.06146776272694223,0.0926047553646608,0.003793805019282636,0.20831448404081557,0.045728132068403274,-0.1164938224700234,0.07026153830020526,-0.01883670002525825,-0.11837837852180175,-0.03995363906829291,0.01963188416373111,0.022539722969675838,-0.0074654076042405095,0.11855996107017033,-0.028131740150616893,0.17559991413371245,-0.0500548142861587,0.14732981713890742,-0.11088866560415488
TNFSF18,0.05484022151795273,-0.07138571874217794,0.003088591500860934,-0.008396701230858564,,,,-0.07429618521754984,-0.13221697924773965,-0.06699296093748815,,,,,,,,-0.03081277204120154,,0.08312523506821476,-0.15116977875256335,
IL36G,,,,,,,,,,,,,-0.02326220120573482,,,,,,,,,
RTN4,-0.118000222992996,0.3286648689213061,0.1234214882506332,0.10225906762149663,0.04243634824710838,0.13718651090980707,0.27071904437624444,0.5798430901614676,0.6946810346431724,0.3412385886876997,0.29995185596608237,0.6357461916832418,0.5712756058358793,-0.07361406521235939,0.07213522013706264,0.12125227695590386,-0.003909287201806543,-0.011032528492056519,0.0418642497788037,0.08668602196267368,0.6098413462634029,0.009613562845568415
HEBP1,-0.03237720324470638,-0.11810896892735831,0.007383985611964077,0.030381287889548556,0.011919241201138407,0.017808636864709047,-0.02843899369345593,-0.1857556451047621,-0.2983352624628659,0.002860161058823948,-0.030336315305953047,-0.25534974711023956,-0.07874736415796488,0.023083908575010248,0.05122057668710216,0.05261115715436727,-0.008833336584241451,-0.06321971811479479,-0.030949411057197927,-0.10996974848744855,-0.09375236545192775,-0.06548953265850103
WNT7B,-0.02695459965845693,0.38668549801261665,0.02987194733160215,-0.023856303602881677,0.0812810960478208,0.05344039271816751,0.0857798085981616,0.06788893319971577,0.35172686682987225,-0.0288892591225081,0.09217592080550238,,0.16761055244356454,0.03686649870632632,-0.028016755129261342,0.02083904541886478,0.006852979776895119,-0.06189704499620546,-0.007712644977904741,0.0162323224990761,0.060753156796474736,0.033315566199999445
PTMA,-0.05609464491719848,0.03907156530299312,0.031870132499841504,-0.07655096828188286,0.13323352988695936,-0.02485513298185388,-0.262670160749951,-0.6504084629700279,0.14297614656141786,0.26428062490381304,-0.25595905559390786,-0.7924545922245165,-0.5556743515732586,-0.09424360879795413,-0.01140922950164365,-0.032560168650644684,0.02285282860805075,-0.022844283793889367,-0.16089613434520583,-0.23488968979100955,-0.3184650383582997,-0.3609155842202807
FASLG,-0.005341429424717925,,,,,,,,,,,,,,,,,,,,,
