,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.042169253469024594,,,,,,,,0.029355961618664175,
BMP1,0.011499266772067052,0.03299047137459271,0.04231884944119586,0.016577446667206997,0.0008035631852842987,0.024209489668486087,0.11490344920321914,0.22456261593737994,0.045375424683852174,0.040165870385861044,0.059983234691432685,0.06744904392692185,0.06363279372269574,0.036784590223050376,0.02468593687334457,-0.007548310572543792,0.09665324686227093
NDP,-0.034607008714498295,0.007714756512378107,0.028614333682234653,-0.028125457390868587,0.0165688936992306,-0.03576699371138917,0.02970784937182996,0.03721757475717837,-0.0028287097020870534,0.032041468150509435,0.12932128834601136,0.03090381597362153,0.005798875501492533,0.02646182657988428,0.02248867603108194,0.12254113355808328,-0.034959402808029026
TNFSF18,-0.01927998481725503,-0.030228034458910997,-0.018828297878084488,0.05260529898265843,,,-0.017775834266627377,0.10609465172761368,-0.027570982988537593,,0.1680660338188338,-0.041558706549608665,,,,0.043538608890809426,0.04781719730958424
IL36G,,,,,,,,,,-0.02713998839820199,,,,,,,
RTN4,-0.026117445136120434,0.02324413851893231,0.024692026712335273,-0.007418668293315244,0.01775491955778188,-0.025492882164317412,-0.10320980298155158,-0.24512081293418356,-0.010214017389162361,-0.04259128791371685,-0.031522034157030754,0.08710759801708545,0.044751186727131534,-0.0017131119262442306,0.06025871173649524,-0.01487349810239611,-0.005038890920053653
HEBP1,0.054345755074251045,0.02161238018629965,0.03644723982347941,-0.0514612734435431,-0.02307369482916423,0.010952216848208561,0.03775769428073541,0.07189760327080141,-0.011899621393023588,-0.01146755196599576,0.040409904978956156,-0.04715204659785758,0.058917457462525746,-0.09186201034672989,-0.053023392968448164,0.08100566146677896,-0.02031619091954061
WNT7B,0.037641070006154256,0.025206429662386867,0.013444002973127868,0.01973465996859689,0.02775109886768369,-0.03287957121042771,-0.01890398211408957,-0.15186716354056445,0.03935891822780099,-0.029829974899869004,0.15048258365599454,,0.004325257433172551,0.018529799194197782,0.06301724635072975,0.08809551671261935,0.08053155768113278
PTMA,0.02468060283269313,-0.1158167764387905,0.023410002989484167,0.02174230397381758,0.0411045278506902,0.023598100913236355,0.13290192752786217,-0.15270973253167527,-0.004406223796678454,0.09015275437212296,-0.03743003565692898,-0.08742242015598636,0.011450248520505978,-0.031077571772010513,-0.010578833354117797,-0.11614211636886895,0.01726618899214816
FASLG,-0.016985067559718677,,,,,,,,,,,,,,,-0.00900027470163346,
CEACAM1,-0.023583914954667863,,-0.02757599402613598,-0.01490277813400202,,-0.014408170167608043,,0.07604886579528446,0.02357599279650397,,,-0.029222823814165282,0.025007773277269274,-0.024532491310636798,-0.021128845593969367,0.09697339966160641,
PDAP1,0.051030176674858894,0.04562422299041,0.0749869769296372,-0.011407522751144235,-0.0018716000384758067,0.06398282063281728,0.06543752211166214,0.21871677961033154,-0.04558637098472826,0.0010399921687151408,0.07231414533431559,-0.09820895921016799,0.012285046972466917,-0.027856895939313266,0.009445392029067624,0.017521566281573076,-0.021470278488401086
QDPR,-0.029965074170746453,0.029777027686503577,0.03244865591847418,0.0040307932712876976,0.006186889999476214,-0.06229254342272763,-0.06011230219111524,-0.2234311292203419,-0.09397422687384871,-0.06735049049016871,-0.013827390104165189,0.0023477566169707643,-0.0009273593160022543,0.005089372017439439,-0.05150324919648449,0.03975507843451542,-0.05084502084747142
POMC,0.01388419108083273,-0.04590196319000047,-0.012669847535663246,-0.03545323267374981,,-0.06425301003447371,-0.04689623601070197,-0.016456714431264778,-0.031991188397921866,-0.03450428768525583,0.09784991680058722,0.037920950973901406,-0.013517143272650427,-0.04262013872145499,-0.034564015787588956,0.027874212533417857,0.0866510996883152
CCL18,,0.014819868763994604,-0.027471760075817815,,,,,,,,,,0.017300980272688588,0.022908364515843098,-0.06220762785834836,,
CCL17,,,,,,,,,-0.03438638369221346,0.09969190895384396,,,-0.022931960568996587,0.04826747565731117,,-0.023233535318085804,
VEGFD,,0.004379194448610158,0.006006928319656565,-0.03912190066984566,,0.011262604098751254,,0.06270888335347298,-0.005574379877819344,0.025509240144651724,,-0.0397277885914284,,-0.024532491310636798,,,
TNFSF13,,,-0.022650354866401032,,,,-0.017238850990418216,,,,,,0.0385588469619715,-0.015757318979551044,0.008189462637209877,0.019479131609390857,-0.013753213911039336
WNT5A,0.0443296181163092,0.05831487085574522,0.10012725134790493,0.0007365525272869306,0.04461145156160118,-0.007725640100622905,0.07736071255538671,0.1874177197647865,-0.04329338960165796,0.019215913369323236,0.03101397092806038,-0.08723250761949948,0.021352276150814597,0.07044334372179381,0.03195056822049945,-0.0075965597849996565,0.058643111107831575
CXCL8,,-0.025837388626542893,0.005135184498341577,0.008045103667193352,-0.018732574912600587,0.06661924921779395,0.03477907604869439,0.10155578788736633,0.03629863353599604,0.06334362695348242,,0.06159203559330657,0.039807828728496114,0.009875782661698584,-0.015423976630613559,-0.001693555234198589,0.02312684595667259
GRN,-0.07611060627418492,0.036928369033347716,-0.003559465527035714,0.06742288165554558,0.026805908967032527,0.004433879730637705,0.05133613078162802,0.17335136795989478,-0.018787332008275672,-0.042223925689599796,0.03254903627819994,0.08746537963783634,-0.0008873113246593488,-0.005105647307174799,-0.052739348824125246,-0.10821389267087615,0.02818568008232011
