,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.009440170079045726,,,,,,,
BMP1,-0.023519490044123428,0.02237096281947917,0.0122986481583669,0.07055845938781921,-0.0929827081524744,-0.02607846664396651,-0.013314280363792402,-0.05435269100875024,-0.03287788134103145,-0.11047547805977934,0.007818871128245782,0.007503929069667724
NDP,-0.09645264627472953,0.034308663803314744,-0.0035744899727605437,0.0016746853515806801,0.00812407136847111,-0.06022799835484145,-0.004419592617900136,-0.0467874359594484,0.006381510392303637,0.04029245501835859,0.12879095772831617,0.007117521840842433
TNFSF18,-0.018372663812852342,0.07914708924559702,,0.045558319010200354,-0.023066464445048573,-0.015563754526768508,,,,,-0.0008710104668902997,
IL36G,,,,,,,,,-0.01631018338390434,,,
RTN4,0.19225675577809714,0.004448385450722571,0.02963447162590829,-0.058607645613971686,0.11330133534316009,0.042600172852725764,0.022940047458026514,0.2292182748344199,0.12822246612087887,-0.08536266694741731,0.08720230769906101,-0.002313424435698212
HEBP1,-0.09437033873657288,-0.03723095608554711,-0.007005152551707024,0.009857082050693435,-0.03434581822094434,-0.00413061330462465,0.03628095481607881,-0.08799768937638136,-0.014791176706637493,-0.05224396702607043,0.015554382092788886,-0.006358184275906411
WNT7B,0.19659387762972025,-0.013560546719194403,0.007710603742370262,-0.04303550773078175,0.019055933210261607,-0.03006114841288762,0.04813910471624102,,0.00128903145648238,-0.020069969760610144,0.09603195892051279,0.01823591840306922
PTMA,-0.06285166668501171,-0.022538011558193405,0.05188883381678156,0.03515366185046729,0.03405481221215868,0.08030152006382527,-0.053991936060612,-0.27501466092204824,-0.1472395065707488,-0.09331631924049072,-0.07653689973603295,-0.11197531173211936
CEACAM1,,-0.0261557706376506,-0.023477278504857483,,-0.03035415344210308,-0.012935225442547769,,,,-0.013320730821745133,,
PDAP1,0.014900769455472328,-0.007383007839389324,-0.012684863828030699,-0.022251214614094992,-0.043294185449536504,0.016671806607505266,0.010609067973974132,0.026175618854809266,-0.026417768294661755,-0.09034470960931218,-0.023734822902141052,-0.03987804540979485
QDPR,0.11650835161442238,-0.03154382834861872,-0.011173121025977601,0.04885078618019495,0.09771987196252403,0.05711087391137929,0.035923744318375465,-0.22972497620212118,0.015392447126151985,-0.004836854517107199,0.14625485489328005,-0.07419906743827517
POMC,0.15557749252293612,0.005001043906913238,-0.02186299429963589,-0.025756334312386622,-0.005585800338177002,0.04375764417167932,0.033476344755558086,-0.08176985982495817,-0.013454593434377507,0.04583181994828685,0.01397267945608344,0.01024165627534237
CCL18,-0.024639252851106984,0.010230118482397238,,,,,,-0.07451398943735767,,0.038352969221889924,,
CCL17,,,-0.013607720998290117,,,-0.01941103206481188,0.05318074307547647,,0.05168577013407347,,,
VEGFD,-0.027761236285242148,-0.01180861490826706,0.19287145910859893,,-0.02602242194965051,0.04809956190211641,-0.0003430511731616807,0.12525972579060624,-0.01596859384031548,,,
TNFSF13,,-0.024631146750782828,-0.009386301394831707,0.06041632301941238,,,,,,-0.014958287923668706,-0.03542967875628058,
WNT5A,-0.07236232560983007,0.002852864579077691,-0.009163435059477561,0.027287010936363324,-0.07096473398921713,-0.013418351364607074,-0.030740137359194234,0.05202120070765028,-0.06983568819797345,-0.052119333310636444,-0.08040633717685702,0.05045726036580692
CXCL8,-0.12964822426393136,0.005062848504351357,0.08593252503257907,-0.006350108431404585,-0.023989784072921534,-0.059360689085556674,0.06600713561267019,-0.048561383369865325,-0.048011451518382646,0.038164118686899985,-0.08076652002227841,0.02327969943296246
GRN,-0.12073541637278674,-0.005040760306765854,-0.02025776996642762,-0.03331179550325197,-0.10941738148159681,-0.019699255871559174,-0.04547605807214343,-0.14392363520493015,0.05877885544359431,-0.040185304828520986,0.01918129072213464,0.0037278791168540632
