,UKF248,UKF259,UKF269,UKF313,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,-0.016020372603114143,,,0.08472787378390453,0.02195295515119677
BMP1,0.13510301177355732,0.017034236844266564,0.06818226038843447,0.057311410167596576,0.08381946568720051,0.02548666181248741,0.18588563491046822
NDP,-0.05412326036478439,-0.03809594593448568,-0.008942328530596639,0.0609636590410609,0.04991616619846034,0.023492905621755013,-0.05339012803949924
TNFSF18,0.023657029889179445,,-0.02378977237085961,,,0.08169788576123652,-0.006494061063202753
RTN4,0.011535980803103653,-0.024570957156986598,-0.1315833100431184,-0.05314792523741231,-0.07667735724651853,-0.04206779980938634,-0.04250811121658618
HEBP1,0.019554142294353496,-0.04473533685355486,0.019015510767350367,-0.01873034860225225,0.04036659533871721,-0.05504872724374954,0.07653046742910022
WNT7B,0.0070282681920000286,0.01920179186861223,-0.036751839698800325,-0.002460563867284078,-0.03925395580266381,-0.029639909814853403,0.05003994066801006
PTMA,0.0207267573452783,-0.014441135045633418,-0.058674401613516315,0.06202561614770735,-0.1544265770889724,-0.03522496688670869,0.13603865973910645
FASLG,,,,,,,0.06686449777952792
CEACAM1,0.06271661133811297,-0.02092036401831052,0.13364675645505744,,-0.03520357630810842,0.07825222752299568,0.020247059755734875
PDAP1,-0.02004945127234107,-0.007022027696498729,0.10287566273757448,0.020757424353274427,0.04530417008971502,0.02489386188876915,-0.08331748704250791
QDPR,-0.06501409833379693,-0.0034055936042583263,-0.13422208666583949,0.04520790486528988,-0.07163464663224345,-0.04473070985676232,-0.04459822694632634
POMC,0.025135040043827918,-0.007240553641665889,0.025179083829187356,0.0795797004804959,0.14960677825836186,0.020030779332608228,0.014656463597553172
CCL18,-0.021629328775557188,,,-0.025608612843304873,-0.02495991440476567,,
CCL17,,0.06580100998433884,,,,-0.025717135488191246,0.09613752281934439
VEGFD,-0.006181796707232714,-0.01990589330477455,-0.01257826420433397,-0.01759937119661559,,0.08267531228924267,
TNFSF13,-0.01632219075818291,0.010653877564659419,,,,0.21297425092148534,0.011117307876057133
WNT5A,-0.005356323620919423,-0.0014715401687004348,0.07633722183543795,0.002668088475585787,0.06560616887292928,0.045180390382658635,0.02362167896009638
CXCL8,-0.043810497098427256,-0.04209861688512159,0.022425997952652734,-0.03785985150691853,0.02432143929066818,-0.036512726453290525,-0.015010827027127317
GRN,0.06757786542257696,-0.010279689412208326,0.06014913687395743,0.03149704538626952,0.0014093239726673608,0.11400709835678144,0.12396119261739319
