,UKF248,UKF251,UKF259,UKF260,UKF269,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.071970821931603,,,,,,,,-0.01818616905043581,
BMP1,0.04464931064614072,0.0005506605858303798,-0.07642624380192171,-0.01855524572962828,0.028984859271691654,0.07539523010733698,0.05576374628300769,0.059574593191350944,0.11213658711979702,0.0016804680345662883,-0.009700845204547158,0.032990291877776495,0.07192079001845522,-0.028112668037955358
NDP,0.01742646093162523,0.013938275717949963,0.0177621540092237,-0.013309967632839967,-0.012468645233554863,-0.03535755594036208,0.02674135902635405,-0.08345267614222981,0.03915502467894025,-0.01773322003416855,0.06987169327515341,-0.04853068361656406,0.006200764856984304,0.009006461800134527
TNFSF18,0.06690555838145992,-0.034898860423566776,,,0.003121983583149319,,,0.04556732031811362,,,,,0.09273471728688014,0.04826063272643008
IL36G,,,,,,0.044395483161904434,,,,,,,,
RTN4,0.003414010542643981,-0.00705952660526581,-0.012823268696743117,-0.029665847365108522,-0.08397309503582882,-0.014328423997894347,0.0893452253981073,-0.04610857852391706,-0.01477083606317326,0.000715925869191451,-0.012057588531187217,0.043306228132879925,0.052834332039904855,0.028271501329862454
HEBP1,0.05955474319686935,0.0397823907109709,-0.029963912533477164,-0.005807358388006841,-0.0047217912367226965,0.019914995352507465,0.08938689946384516,0.04105459031990685,0.06703712511882887,-0.030744626313872304,0.04270676317211931,0.018716448831243224,0.006147675779933006,-0.056117758308519866
WNT7B,-0.015791405808276083,0.03801433955411298,0.003085576557278554,0.0023187235318744637,-0.025240312962832138,-0.022425618435721804,0.02345674015709121,,-0.0030829242858248437,0.05065617558260657,0.11789297396234004,-0.026327711908257046,0.15960116578164973,-0.05799862906905848
PTMA,0.06341695624558441,0.010030255649511198,0.018060193125188116,0.10199942498432922,-0.052588125303356464,0.0470162917422908,0.11094406001969762,0.047619758337324514,-0.11859812023102981,-0.03094622905666575,0.009264041111862473,0.07271238309360627,-0.0007881189916673862,0.005417264903744166
FASLG,,,,,,,,,,,,,-0.015772858213141755,
CEACAM1,0.013543449754035606,-0.016636630435841848,-0.0333334574744474,0.023430922377920396,0.05743521337029857,,-0.043157329443017436,0.06469800623080145,0.13946036661161754,0.05857812988339737,0.05406363299128254,0.02583400558343582,0.05589797736525343,
PDAP1,0.05257662973137746,-0.02397098733547044,0.03672195256965717,0.02586153455207208,0.01493592042258961,0.047523123899289824,0.08225918132911528,-0.016227513176465858,0.03073085531813052,-0.04061856221454166,-0.033961267217916084,-0.003960496555044582,-0.028120859577594668,-0.029853522439149342
QDPR,0.054633795788629716,-0.07130271954518866,0.0012578460580240872,-0.04988378665501716,-0.0632557455355757,-0.0201622889467692,0.013594259043957238,0.01163742057356657,-0.05071915524889156,0.035612961909588126,0.06418165024960616,-0.020999738764361547,-0.024657179299408218,-0.0061199990167874274
