,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.02112308747250198,
BMP1,-0.023142402429983555,0.01870938181061072,-0.05804099815822802,0.005862468881082143,-0.0509551585516648,0.02594078590952048,-0.012864877321627001,0.03957023159683507,-0.02555893191890967,0.02032442842206406,0.04689307900594714,0.041230587876496784,0.0767406460189647,0.060200604506098085
NDP,-0.013345267388324755,0.06447082941973227,-0.0848593904251185,-0.0003447000581507098,-0.023222284817865577,-0.0009300504971785675,0.027236235260623628,0.029264322036393745,0.044868085720274585,0.014289054559737936,-0.026312413755594,-0.040914356767283035,0.02170697468088207,0.010952001311550856
TNFSF18,0.0021434070322546095,0.004586414303959126,,,-0.01163850591128175,0.08011442563334378,,,,-0.054596554747339605,,,0.049357153198230565,0.008290291030418274
IL36G,,,,,,,,-0.0174564389744725,,,,,,
RTN4,0.07676342753310585,0.052313224172662195,-0.025464347855139464,0.03348416889138373,0.05040633943959742,0.0004254882595869323,-0.031788307294044436,-0.032526041221968345,-0.020700099156015877,0.06335981921499685,-0.03812399524926217,-0.07578890114267363,-0.022390179357994727,-0.06854196179714334
HEBP1,0.018994413153171744,-0.0011019533399878449,-0.014818329625216302,0.03801064120642405,0.06616216887283227,0.0034379723591459496,-0.007897699340786414,0.010373938785883758,0.06957821120913783,0.018778153505527636,0.029240700908519962,0.040631445839924944,0.024247641705794895,0.037862464912103794
WNT7B,0.0523243159956587,0.06467844052252081,0.08686740948450682,0.046763298831738215,-0.041468524755705685,0.033811036578078955,-0.01928305204569375,-0.019186638137402724,0.0653049121381107,,-0.04357543581949413,-0.03085403481528185,0.07278466174521642,-0.06075708263841943
PTMA,-0.052184920555097575,-0.0925563791982552,0.047497007743963086,-0.0996169926634113,-0.04576701812036017,-0.010362795381546308,0.05996998713242728,0.07858276982965774,0.0009184097748609517,-0.01245923993844205,-0.1313951481723147,-0.011944234618635571,-0.0049119177308102075,-0.014552310848576906
FASLG,,,,,,,,,,,,,0.0964600800272638,
CEACAM1,,0.010098174323639865,0.02664994138694929,-0.002064707366616434,,-0.027206990578722622,,,-0.059559867990212366,-0.048177604758005345,0.052510574761787526,0.03895511623740298,0.041292053013102493,
