,UKF248,UKF269,ZH881T1,ZH916T1
IGFL3,,-0.012644893364242316,,-0.015714765371463466
BMP1,0.10185235677103731,0.07679899106171428,0.006361387956879237,0.07080584123569648
NDP,0.04952960565239565,0.05205631546909796,0.011171470596553148,0.026871730329069053
TNFSF18,0.04516987821816315,0.02238764292973212,,0.03801684919197248
RTN4,0.01848936856726795,-0.12089541622672556,-0.013614326477373075,-0.0391502604224353
HEBP1,0.07981340373677262,-0.004195586871098349,-0.004320134784265798,0.042263914937741044
WNT7B,-0.01850866557791604,-0.052336823100091384,-0.022338909074453104,0.0825897937790013
PTMA,-0.01110567023572771,-0.060911901228711686,0.019126945742557164,0.08047053978414538
FASLG,,,,-0.013629410645500589
CEACAM1,-0.01580393568753256,0.022250233936167704,-0.014826658843116418,0.06649290053792817
PDAP1,-0.04878987776882927,0.05593674517639499,0.024766970243971547,0.0017618211126141034
QDPR,-0.03789751047617304,-0.122934057568589,-0.042710550562365876,0.01035968991757879
POMC,-0.03745709290698404,0.11674502146472841,-0.024254466153936075,0.18076539005964254
CCL18,-0.019721818518551773,,-0.0510592427816258,
CCL17,,,,-0.01235352989993645
VEGFD,-0.019721824781152864,-0.0031063452954418888,,
TNFSF13,0.030658980273353027,,-0.01664934416055476,0.00031049176327004394
WNT5A,0.005186081226124529,0.07221320195186762,0.02160073928357153,0.016897040883824
CXCL8,-0.020837697751826794,0.023601359717790985,-0.010958288868363666,-0.014449567586203428
GRN,0.049890039848140375,0.12132826551181086,-0.012154038749011883,0.03706838951838438
MIA,-0.030798069609842754,0.09140387032069613,0.07062427044261675,0.03395412174804121
COL4A4,-0.00951577266164191,-0.012460603841137485,-0.016235987866955685,-0.024429421285600092
TAC1,-0.037057287905325156,-0.013381468027710793,-0.025580210359900633,0.16615016236167174
RARRES2,-0.04187396545827354,0.06742388027357424,0.002736466607366456,-0.004982622404581746
FGF7,,-0.023052835181458706,0.0018330144768748254,-0.019688131906186353
HBEGF,0.0743399923231174,0.008412344661642422,0.08248516400392793,0.01552444549857086
CSF3,,-0.013183079027081785,-0.021256040753424917,-0.01300636122771183
PI3,0.013282309039255024,-0.014844320982303623,0.001110006125661042,-0.02825850200789962
PCSK1N,-0.08334571763453769,-0.01371667143957906,0.0407300725859288,-0.051845305226463224
NTS,,-0.016203589934851895,0.019466422302150177,-0.019260647414989146
SFRP1,-0.0028126609971641605,0.012984257364614091,0.002558788822751005,-0.018813078764795557
CXCL13,,,0.0885943482964864,
MICA,0.05578026945491279,0.06771635997301592,0.0064703485638932245,0.038766906134722806
TG,0.049254458792700136,0.08002758448595809,-0.01749404817273683,-0.02536488525832723
ADA,0.02817731213615378,0.038559744624995694,-0.0572279376883668,0.0338239970596807
LAMC3,0.07215409833675361,0.09839738484671176,-0.011778104763804746,0.08946273837406614
CCL7,-0.012544742632953531,,,-0.013629405799044847
NGF,0.010558323789506685,,0.03621178602779665,0.01079614930423502
TNFSF15,,,-0.013199636386683127,0.10238525733662203
HMGB1,-0.005615111103455531,0.09968122572526691,0.020610625251929065,-0.04119414690917325
ITGB3BP,0.0018821838892531166,0.08772557108822529,0.025453609408822412,-0.03705682227737592
AANAT,-0.01820051301107473,-0.011891494041865205,,-0.014420479711298789
RELN,0.011954530761721895,-0.03489337459455244,0.007872754724402811,
IL15,-0.03060232434701012,-0.01710848872486886,-0.03219797561115538,0.06869572186914946
UTS2,,0.06234137359294922,,
BSG,0.02791515942927197,0.0012565059018206388,0.06938706590048625,0.059861372418809095
ADAMTS3,0.03290205125003216,0.09282226916649453,-0.045437552120160964,-0.0037315291979219305
CD34,0.03525096411133206,0.12050111069307967,0.01087881798222761,0.06762321304014
CCL23,,0.2135238580848405,,
PLAT,0.0580430024438358,0.10258164656416081,0.028339845843860352,0.039597369018614034
NTF3,,,-0.04250638001720547,
