,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05645939382513098,,,,,,,-0.025709260758785664,,,
BMP1,-0.02315674941976444,0.007590382432649061,0.0188626579537842,0.002656881111496095,-0.02019792913713545,-0.11607997197349365,-0.012904900540659984,-0.38427709394751364,-0.036355138991672954,-0.05131627510055759,-0.07564810663467306,-0.25113230394463903,-0.0019253867096057297,-0.03920476743421806,0.035609525263175366,0.012832876166783833,0.012261951004749359,-0.04143306170795082
NDP,-0.043451734244939776,0.086576425587276,0.029346635900673768,0.02459955756887207,0.08329291348470871,0.18657054871271442,0.005528341242494471,-0.11387061770215755,0.013095614377049552,0.04295039715639527,-0.10262275522043307,-0.06427850193350224,0.039456745196407364,0.12032146219957493,0.05418491347650411,-0.07671927408634888,-0.10476728871928176,-0.05174284745233431
TNFSF18,-0.04159760683281187,0.02241669945692025,-0.050189914966242755,,,,-0.025305195769158042,-0.0661623579841555,-0.026841944028462822,,,,,,0.05127680841657766,,-0.054169938340984214,
IL36G,,,,,,,,,,,,-0.03204102185903475,,,,,,
RTN4,0.3513356527518826,0.043734916403749255,0.04266894893363024,0.03855457916199099,-0.007639289358801524,0.2721736539845198,0.30402003710372605,0.5465397720710294,0.11110984393220727,0.1638194941310989,0.12228764855946476,0.3276106078959719,0.027913998149115667,-0.03277336561821597,0.033522207378361174,0.04862656460658807,0.27084451279255,0.08597680183352192
HEBP1,-0.05550361322706668,-0.06172826156627969,0.023303055788690467,-0.026913243682866406,-0.024614370559773956,-0.04688333550154004,-0.14294730208379386,-0.1362206638776036,-0.010781330249543633,-0.0832126323538881,-0.14362780815001616,0.012875958646331979,0.07598241070490241,0.08820864728859516,-0.004910842323092883,-0.04292388897264587,-0.046546137057996526,-0.08369116711267
WNT7B,0.4051275408345324,0.06303130254707605,-0.013965968167553543,-0.009249507577891884,-0.022423416011304244,0.0455960816761414,0.1485041834165218,0.46421879672129546,0.03382420268690192,0.10791704565513782,,0.03946045208056258,-0.028316145956253445,0.008299845036469574,-0.027749913839629766,0.02906934838381434,-0.08498209860377573,0.1544441452105562
PTMA,0.002050044915690818,0.08861857791200087,-0.06035311193345542,0.12577773876400947,-0.04492700196962512,-0.22415866370368012,-0.2619006579719979,0.05733921795966374,0.03888462088480958,-0.053587138793609816,-0.22199770903861193,-0.3521006386698727,-0.0843431124978922,-0.07497199650521283,0.01979124820288439,0.10344935341757362,-0.017662830637284722,-0.1711021869376038
CEACAM1,,-0.0029976916468876283,0.029016708336631922,,-0.002927641052581315,0.05425166772911543,,-0.09672372606534638,-0.02100418620830959,,,,-0.006541968786584166,-0.001348355200987535,0.016103223260017625,0.0567263686341707,,
PDAP1,-0.10886954402606591,-0.018664039353184985,0.05851810565200524,0.02194847818919262,0.061748359416773424,-0.10977033217138482,0.02435381160233455,-0.2910364266356718,0.03555176024530003,-0.04239042472181595,0.035324961711800454,-0.1823652992936352,0.03953382854471407,-0.020584440674132416,0.03077454119660072,0.0687533005343764,-0.06724168377162584,0.11643584392683438
QDPR,0.19749880216690227,0.011784818567819981,0.09100133812537135,0.0827660944974377,-0.024549477288400547,0.21282979185014417,-0.03610270513957563,0.06999116652873984,-0.035209026181436766,-0.03589232770271033,-0.24669837054157617,-0.03479290553811279,0.010606692631649189,0.09218544829107297,0.02321013535069655,0.009436062385284244,0.07732130615248749,-0.12257400465845111
POMC,0.13719088438818597,0.03752924039131623,-0.047444798813028086,,-0.02411225531739774,0.1772823300540438,-0.0062888867420000895,0.05051863481010499,-0.031145269239694042,-0.036723465845737636,-0.014152755992425355,0.046336814896578676,0.05842727269973937,0.0709222689322309,-0.009264586756000307,0.014141482542421662,-0.007753651159404204,0.0143776879889968
CCL18,0.018612731816652787,-0.05105499198113315,,,,,,,,,-0.030195184015168314,,0.018102410944057942,0.01409337745861657,,-0.009609815421494527,,
CCL17,,,,,-0.015007680947167893,,,,-0.015940224965295256,-0.03964203487622786,,-0.029270383112530406,-0.0494208091856774,0.005867988120196157,-0.033896175214520124,,,
VEGFD,0.03448143149780325,0.019923290503840282,-0.033233646934669694,,-0.016720213869156952,0.0311670656858084,,-0.09458462953744433,-0.003375984251147709,-0.00802516304397079,-0.04052250285048948,0.025748174832102903,,0.016541183562827917,-0.03575000281992874,,,
TNFSF13,,0.013728425049614383,,,-0.010351962435538755,,-0.05527653484086613,,,,,,0.0066332235656235685,0.059168260324046144,-0.006191741501280564,0.04045347140227171,-0.0049063901879345916,
WNT5A,-0.08845279898789832,0.004443125863322213,-0.07971421554436166,0.12579203073046547,0.0389238277366793,-0.2222546651841253,-0.13373518151567143,-0.32240469931248034,0.03655765850195388,-0.024757150286015904,0.02657694393330626,-0.06587797442994343,0.058595728213452505,0.043511671574533325,0.026885350047194417,0.033417492742921176,-0.042018846431986785,0.0334044066002563
CXCL8,-0.1428007029029359,-0.08915744773912931,0.02550268990882629,-0.1068607487103888,-0.015988483242006093,-0.09122205010741476,0.036267114074252246,-0.1180092436346418,-0.10492952803360636,0.01552858313616319,-0.02916397019089478,-0.055278346294706196,-0.1270418419887057,-0.19875874095268534,0.023263215172427614,-0.0473370820889888,-0.1468452388565992,0.06986133434494174
GRN,-0.0773956971815131,-0.021128167578814295,-0.045006645632333336,0.08958673020498582,-0.04005673135395678,-0.10364819972255543,-0.17890267454426512,-0.442042986466623,0.05718774726569692,-0.04761895428284235,-0.12059254310815722,0.03503974393310859,0.08365011004252766,-0.008117861273333225,0.029609557037866593,0.01392036768751485,0.1378287499142318,0.011957776670717221
MIA,-0.024173776859029113,0.01691629675663141,-0.04302323859180035,-0.06004255616254134,0.009922720495121513,-0.05741342205381818,-0.0250989339716531,-0.12554536984526768,-0.02811426792322899,-0.013667063881080282,,0.01563554551256928,0.13540746544859486,0.18450853539512782,0.057983964246725764,0.10055958321219212,-0.018295886983338124,
COL4A4,-0.05128622517295652,-0.05192218440322721,-0.019214728126662934,0.07185722941164745,-0.011020480843299736,-0.18180664949586084,-0.03354218546073697,-0.04123984182051179,0.022601545748599208,0.017136290968546814,,-0.04167533526697176,0.054941919005940074,0.06275871054233806,-0.0023931662269033637,0.10121469341364457,-0.05375534040345833,
TAC1,0.45245221461774715,0.12390257721298935,0.07181611295791217,0.13125337308374818,0.0499860329525889,0.33804019459002244,0.21760563360256116,0.48369094220126413,0.06732877748451975,0.09470382961764433,0.24488501196221366,0.34930169293773694,,,,-0.035460517004050215,0.21303699186596425,0.14997645782681016
RARRES2,0.060750529844059015,-0.015720072911838738,-0.024883945233885454,-0.06781055267151712,0.005331622917590506,-0.2030747805081476,-0.15332854096527992,-0.45773611850196466,0.04530343782435125,0.03904361512852801,-0.02610416476133011,-0.21592654318744345,-0.035503671096617034,-0.023297075240830065,-0.00834788958907525,0.06254549243428055,-0.3208621637602553,0.0651955088408586
FGF7,-0.05990748974205596,,0.039606545152309894,-0.007127180370186057,0.016798467556744988,0.14059503311049107,-0.028509466943895896,-0.08976739278330753,0.02043408590282338,-0.03927984968787367,-0.004668037017837176,-0.011026317460825883,0.0648847484128421,0.03362560321492334,0.013298291374730254,0.058409426136803284,0.013578733346470926,-0.055328757713383005
EFNA2,,,,,,,,,,,,,,-0.054991496206342125,,,,
