,UKF243,UKF255,UKF266,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.01921106116314538,
BMP1,-0.019874100228127387,-0.07746814813885783,0.05213215792277843,0.024003148705293645,-0.04798656412073309,-0.06747847648338988,-0.0034087630878059834,-0.011269732692313348,0.023642515279984594,-0.03524904312575791,-0.07940547864886384,0.06266171529023937
NDP,0.03523185003364897,0.04091900979336154,0.03658844025926956,0.030430171801981383,-0.05215132961839769,0.1254002564643132,0.02960822742824633,0.005163759468853045,0.037972489659329665,-0.04108272426744706,-0.12051175814231224,0.020009612227722937
TNFSF18,-0.007208119972223066,,-0.029125149564666247,-0.017779782285822963,,-0.02868023101501412,,,,,-0.03240562559704253,0.07792035418203887
RTN4,-0.11366991253716385,-0.09273421107390921,-0.22275300268560055,0.034623334878410454,0.08524454179569586,0.08608775451519118,-0.009798649488089405,0.03475854143028315,-0.04303326801868986,0.013852855888691977,0.06334082014742337,0.024613419495743392
HEBP1,0.16430182848988767,0.06672885002926618,0.055516101867543244,-0.050192721117961525,-0.05310937454415006,-0.08223341290311614,0.08252105176456306,-0.009798338150491297,0.006241904846931195,0.03689808228244994,0.030081413544622893,-0.05038846281905023
WNT7B,-0.1807194938919436,0.02497772470136986,-0.047008251455275395,0.12291975095091108,0.055929395309872135,,-0.04820600480994123,0.040870149850359146,0.03108749779069172,0.022729964709573818,0.1325323336661578,0.022511546443824373
PTMA,0.06669411949528666,-0.13221460135416419,0.2688151599688828,-0.017119145056770146,-0.08549492866787484,-0.004260540707111687,-0.15962569535643828,-0.06418306868322829,0.08758814541524142,0.13114119512441716,-0.0721026999360192,-0.01736311728335984
FASLG,,,,,,,,,,,-0.016661746792847768,
CEACAM1,,,,0.013463397823113957,,-0.0007942313991506662,0.04156962776189058,-0.037858474627537414,-0.01741872947597101,0.002147722760631189,-0.02318237349708192,
PDAP1,-0.006111111462770459,0.029493699478374838,0.08733930186476446,0.014658086369544104,-0.08781699704107931,0.0543805491047979,0.08158476179152223,0.007910478076596065,0.027207975946216715,0.029806719893878265,0.06374948200689405,0.04094214892804246
QDPR,-0.06077259584039997,-0.08956273361663576,-0.01876108287236452,-0.060965886138093166,-0.08230543072945701,-0.007489639336809518,-0.14927963365717511,0.03230675230552678,-0.01094806974192987,-0.09909401270307289,0.013999435468797061,-0.1252587626993806
POMC,-0.08505465729162309,,-0.014397640075669882,0.03365115594711256,-0.06530013630430208,-0.026559135862458373,0.011573657072597596,-0.045846652153809515,-0.004715193314119906,-0.032351215793009466,0.029554477768509235,-0.05830047537453754
CCL18,-0.019630281232848292,,,,-0.09189531777130375,,-0.030652140128262017,0.05076696975239112,0.10746560958783132,0.046517325143657674,,
CCL17,,,,-0.022174850127705117,,,,0.004012239090531386,0.0812914153885029,,0.06773488637643209,
VEGFD,0.01707144357904802,,,0.001029953036644878,-0.04352294390141459,0.0067953959658776895,,,0.05107864871454631,,,
TNFSF13,,,0.011886414527669668,,,,,0.02472094586148487,-0.020922916257685983,0.07718675270375684,-0.024607451789560537,-0.00812619184302568
WNT5A,0.12015547485165344,-0.06366585542739074,0.2054951895971888,0.010053057950293012,-0.08381136418470499,0.010897539073988827,0.13984828962889043,0.01504098187535717,0.016369763290942602,-0.036150775717534965,-0.02772644247688233,0.056195108051938815
CXCL8,0.0936590217728268,0.1994988817798171,0.018009371298526602,0.017731435789012606,0.06178622099304538,-0.06124478460955708,0.07040551816976925,0.19333176793004261,0.16396386273829813,0.09463915377447715,0.1099703444602554,0.10111066881721543
