,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.03811459313006146,,,,,,,,,
BMP1,-0.010992366292816776,0.009555961177081967,0.027934627668638305,-0.006598788318164683,-0.031854547776394335,-0.26034348870330093,-0.05687786344251261,-0.013587761418646507,-0.03161403475347571,0.1284677170980182,-0.13127882064379864,0.0020989353577679504,0.08819501665023019,-0.03808063238669664,-0.02602826857465721
NDP,0.01328673638972746,0.05880068821073233,0.017823133855471785,0.05394213949297925,0.044830717659670706,-0.07282319721733692,0.04649079191980625,0.009951715960754485,-0.06823819269419451,0.06604312873188464,-0.003126591691215586,0.04989795461235897,-0.027872855806804608,0.05593929040002854,-0.02010657885842574
TNFSF18,-0.023357398062194046,0.04094304031213732,,,0.038066725754718166,-0.056599026566700086,-0.01994316115880582,,,,,,,-0.015256444180960579,
IL36G,,,,,,,,,,,-0.018234093568756406,,,,
RTN4,0.183882238609746,0.02138569009783488,0.012946718634904009,0.08069075117348669,0.10109402068903084,0.3400802078465238,0.06057821737239779,0.10211213261013315,0.032203457137486624,-0.060608106601282886,0.18967096110717344,-0.002964207647216672,-0.09966307045478315,0.11288652478089392,0.04062955878006789
HEBP1,-0.021864645021462993,-0.027286053718212775,-0.0041714048704503985,-0.037925234358354515,-0.12317273104975983,-0.13148324903477737,-0.0275578711553969,-0.048422088491559746,-0.012734612414670703,-0.004327763879541107,-0.02007445949262319,0.030651827059660325,-0.01888821905684167,-0.01080311523063329,-0.07201062014394172
WNT7B,0.2986525602512198,0.10315528968601027,0.02596287029760736,0.09122992551353362,0.023291182155765075,0.10408438179213501,-0.0335937168782807,-0.021254506069125056,,0.04406227346324103,0.16716796725228747,-0.031787878824462636,-0.020069970072147822,0.06636723454162459,0.017777378704676054
PTMA,-0.03896722137066218,0.04612369223582756,0.06105104847231416,-0.04762416772443606,-0.07226684081596495,0.08423113910994506,0.0888480940941301,-0.024305780691235377,-0.10099558854102385,0.20832090766033376,-0.18617697686805953,-0.04865675242515203,0.0001393127959498846,-0.0025191218495371633,-0.1863085972595211
CEACAM1,,0.02595217508703963,0.013283886210551167,-0.01477731851569708,,-0.07448109532226431,0.01372491152650322,,,,,0.03762568172345775,-0.01332073102851722,,
PDAP1,-0.04805440451271312,0.05445833061789608,0.05361582904004624,0.008843921779234943,-0.054403403929036094,-0.22302113653651343,-0.01824093967159244,-0.011680022667405438,0.04584494650162228,0.1602638122191051,-0.0918054311844707,-0.05160632627660333,0.011786143695911576,-0.001613478319380514,0.06777048050279626
QDPR,0.12680191423667944,-0.0030599122127140136,-0.029327472366855855,0.11133921105847967,-0.019604426955730683,0.12210603716886263,0.0891689673334883,-0.019880266498113273,-0.14542180557550155,0.1456973160316898,0.025434001995791662,0.0649173526712688,-0.03957316798393761,0.026306085109117684,-0.0803578502191856
POMC,0.1732458552258153,0.004727443816525564,-0.014647051823867913,0.04509391361875286,0.01421609526517116,-0.010553651810160538,0.0003375438951631102,-0.022758380480952835,0.06544014953719757,0.08641131392471096,0.017735209583044077,0.11238163363115383,-0.021790966076410186,0.044828939230748426,-0.01317713172440897
CCL18,-0.03132419134539251,-0.042631220844178405,,,,,,,-0.019005315431896576,0.14320953377089454,,0.036891007481909245,0.11860172323133485,,
CCL17,,,-0.016084697780243632,,,,0.053248065786071316,-0.003220526019641773,,,-0.016657362140799874,0.05080519070348266,,,
