,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.016874892690539715,,,,,,-0.021684188462050523,,,-0.02237271793202323,,
BMP1,0.028852694230733722,-0.03578544155265842,0.0019241995302706064,-0.019227826687983136,-0.011292212008450623,0.0048177276765671495,0.019855480396727458,0.028226665286306806,0.006864688787955623,0.03668631193115133,0.01270329529073075,-0.044262886603327924,0.018830380340582327,-0.01956310081243023,0.01838225392367882,0.05918196584509697,0.1035373762954287,0.07072170815802707,0.05085359136381882
NDP,0.008039766099829884,-0.06641353067509889,0.08069985665816168,0.050234191601326354,-0.011451136515568993,0.029473456788534164,-0.011331184375138128,-0.025121378020189246,-0.03903545125235665,0.025915283696492455,0.0871610863557204,0.05381772740253506,0.10626746173519908,0.038193718211561554,-0.02062264691393653,0.09060539810571448,0.03664179354925431,-0.04180000181037023,-0.023905744074700686
TNFSF18,-0.02603226733537837,-0.024338520368451282,0.10916613270990444,-0.01868490033729858,,,-0.01538393558436306,-0.03551712344628888,-0.008647280323618781,,,,,0.023298806862039313,,-0.033140151486892235,-0.025749032169565644,0.05964412742016521,
IL36G,,,,,,,,,,,,0.038234871844673224,,,,,,,
RTN4,-0.051004312383945996,-0.05445566225228984,0.05754638237984581,-0.03510268545416512,-0.006157217513563607,-0.02222984681732618,-0.018481756462018384,-0.04756104812941577,-0.01647378925185687,-0.002651039670327318,0.02420283452675287,0.022733740159139742,0.0676950076143288,-0.026529154321027978,0.05142773118981166,-0.08217983736904633,-0.02818177262141886,0.022939471843902198,0.09575629702621058
HEBP1,-0.01459672770451457,0.010660697440825796,0.020215671383090328,-0.007687675437935345,-0.0053169160590451035,-0.005867885849769848,-0.061555941179189506,0.04647953814321845,0.0036780454527148287,-0.03615747354857463,-0.0028938181162177054,0.0599117423518942,0.09997820139099384,-0.014486183693790388,-0.005290572913066438,0.024551692377340024,0.06664923616654037,-0.013933088983022514,0.04722834665217415
WNT7B,-0.022933612169182105,0.09131930061713736,0.008532962138955442,-0.018434580221311267,0.015081684688715678,0.0403129593821298,-0.004193178827935122,0.03401212638017905,-0.014622633803542078,0.05747020365275681,,0.0023598571188102402,-0.010365432204969752,0.06622427809910093,-0.0023732900056997767,-0.03314011712304463,0.01586173848180532,-0.007559514382729202,0.0682400271691581
PTMA,-0.05808428098926047,0.15164067387738026,0.0050679890870981535,-0.024247500739044445,0.014784959255549084,-0.000898657573759278,-0.04556907526563434,0.007147471441787407,-0.01820823427673435,0.05471685002803136,-0.06271582999370111,-0.03528845772825972,-0.03876810495073195,-0.012267114768710343,0.01814072721966146,-0.05088714479156447,-0.012463051456598337,0.02675818621525246,-0.009770782694978518
FASLG,0.018882666069970497,,,,,,,,,,,,,,,,-0.019403850629880735,,
CEACAM1,0.012833323621900603,,-0.01369733737800399,-0.014147431554516714,-0.01637178796315964,-0.029890135782521046,,-0.024390522931334396,-0.0266976328774814,,,,0.08172639189362961,-0.0005227094548274387,0.019913774608731824,,0.005093996981270198,,
PDAP1,0.03339724130259182,-0.017895964148463245,0.03994785626389835,0.053440550232564395,0.021642887786772685,-0.00618921552498438,0.0341982452944836,0.055612021889677316,-0.008058639947844523,0.019259905871539054,-0.03500882163171719,0.05752029639095072,0.0219322902660377,-0.001191973532225844,0.038480885963113685,0.0586035339087514,-0.00590651196628215,0.021999929727674575,-0.0812310646526315
QDPR,-0.13653028529922778,-0.0958441221220435,0.05474495345219606,0.013271800449083186,-0.043880713138438346,0.026338368125078542,0.007833054609431811,-0.0559100013732722,0.0014862202676150077,-0.0007167669447898455,-0.0011616460186274471,-0.02168729636758507,0.016472626687356138,0.009111819007391907,-0.013757402335089269,0.01282435094978451,0.010737741873686152,-0.07502649855738089,0.0604620537980235
POMC,0.02305569899951057,-0.006143113970417771,-0.015277147121613417,-0.02513772875439698,0.0042637531460918135,-0.02823857626523487,-0.03128763419626228,-0.025746584930724247,0.00858056739068989,0.02696627091675876,0.06879536468096077,-0.0479528744296365,0.06300762010293989,-0.03164107369438954,-0.006250001127174207,,0.017140852187554966,-0.04597938401954045,-0.043319829590929906
CCL18,,-0.03263995703010626,-0.03481618990909978,,,,,,,,-0.011216396686046393,,-9.29305799568823e-05,,-0.01450501119386921,,,,
CCL17,,,,,-0.02986635557858356,,,,-0.02104549370923294,-0.019782675506556956,,-0.02044625112133907,-0.01992103024533581,-0.01030733649605483,,,-0.01758741116287852,,
