,UKF251,UKF260,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1
BMP1,0.011667231969484377,-0.02738316149866445,0.014093454951065836,0.0022110865620588002,-0.05868901870925915,0.01155487655639974,-0.03825258588357801,0.046957994851393736
NDP,-0.013769914842394884,0.0023672786740222135,-0.028598135057028996,0.0009774979607604642,0.043795320680468666,0.03674126848713684,0.07350698267480356,-0.028588230501453572
TNFSF18,0.023189382555015788,,-0.011674764661574738,,-0.033586235697972415,,,
IL36G,,,,-0.012934686456429303,,,,
RTN4,-0.056341971946716383,-0.032550500322301106,-0.034251527763484196,-0.0499359487604387,0.06988359023690206,-0.06587649340349223,-0.042751049291207835,0.10599762317099941
HEBP1,0.0814621998264861,0.0734224068489668,-0.008575852822317324,0.05401500776642734,0.026181716430196185,0.04404258452094771,-0.014507152154178301,0.02021032726683696
WNT7B,-0.027782163746579654,0.019498163274029354,-0.03346462612583523,-0.014216711026984944,,0.03488184655876517,-0.03314257953724558,0.04122380093536818
PTMA,0.05389528898645052,-0.036957141707453726,-0.021114248447449007,0.004801747075406469,0.021583778965438626,-0.1374991582682422,-0.03995782524781718,-0.016603404641455363
CEACAM1,-0.021321139690869163,-0.016207988146285657,0.04187880023337164,,0.003192212985413572,-0.01381373270567921,0.017688759550871007,0.0025298499283169244
PDAP1,0.001164630161776375,0.006139388119909975,0.021556072813327155,0.0469900038043211,-0.011834230450756425,-0.015131746142859748,-0.04560422828588922,-0.002970083252886331
QDPR,0.04273884762613626,-0.06644292525899399,0.003302175499619136,-0.030186927095273198,0.06065920813456476,-0.004382272313644167,0.01766300901842139,-0.016227436766987097
POMC,-0.029515269848877163,-0.03261430488788281,-0.013546473694648937,0.02053965649975694,-0.03378303310943131,-0.037496661099558556,-0.04104295709314434,0.009172218919801469
CCL18,,,,,,-0.03204211235890628,-0.04283431101892429,-0.04334288955396572
CCL17,,,-0.01456070453984554,-0.011816203293572162,,,-0.03047655274814189,
VEGFD,-0.019585885714352914,-0.015506885391923634,-0.015513199125871216,-0.012663791056965126,0.031113006851252394,,-0.021112038341757167,
TNFSF13,,,,,,,-0.033126970877041854,-0.020469129469561212
WNT5A,0.07922747632795477,0.009195459460708053,-0.03448007894843764,0.011751342990701167,-0.1297695748674006,0.10395261622231403,-0.007257517172759791,0.015786911909049923
CXCL8,-0.028594211884848127,0.03780161071264772,0.03240929280039393,-0.010339571285932492,-0.007015036536412041,0.03411569533185029,-0.101344309553807,0.013087609096568626
GRN,0.018268253004543007,0.016573850629673148,0.05112819817058751,-0.035130771033401294,-0.09159920764601755,0.06383643335104502,0.042058045880129506,-0.0372734561798448
MIA,-0.0033189670020372882,0.056161741452209875,-0.019019454419635862,0.0028449548450371416,-0.022191589212682276,0.08753981297346065,0.06423414081269307,0.015173348721509175
COL4A4,0.10851033409900494,-0.013939352979837734,-0.015201826028453276,-0.016823976370555414,-0.0187539481452236,-0.00433786435460048,-0.007720974286685355,-0.02618255265379114
TAC1,0.026491488078620437,-0.052589144573845205,-0.04349709152995858,-0.029815607088329,,,,-0.03144896475597693
