,UKF248,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,-0.027396521805620775,,,,,
BMP1,0.09263638042278512,0.004652972254301502,0.0257825191953102,-0.016750115836372224,-0.015557894795074443,-0.010924385884939587,0.05498794812979725,0.004575605742611183
NDP,-0.0706605459407659,0.04437924340421383,0.04146957759733418,0.052954029039290196,-0.019798408111699153,0.0390060192308161,-0.007872434351354622,-0.005595909205700885
TNFSF18,-0.02851838160458881,-0.014453493251984131,0.09485067425038393,-0.01433915972666538,,,,
IL36G,,,,,,0.05396271602859052,,
RTN4,0.017266915960128918,0.07341305911659288,-0.044757169172266804,0.030132946593480498,0.04339792594756693,-0.0038523796305098535,-0.029803253400437896,-0.03023944106588538
HEBP1,-0.005885220485011255,-0.05668235573363456,-0.008608138103936892,0.03825201668368365,0.010256008719702319,-0.030520435504357485,0.044989524324807274,0.037896180379361065
WNT7B,-0.034073645272169724,0.01905062093481329,0.05337328014298693,-0.025377321655051594,,-0.01637662018987923,0.04801833820027382,0.0036690209435286192
PTMA,0.021380097945153526,-0.04916916251939231,-0.0027626606452002965,0.06365448857829342,-0.0917217880164917,0.04977042654388168,-0.06998875376114959,0.0833537900919604
CEACAM1,0.01884449137181596,,0.10171750901965794,0.0016080065307713146,,,0.03031378920798717,-0.025110219401470225
PDAP1,-0.018698827320855482,0.005905907693697428,0.05064847294277544,-0.009095412322801219,0.07433333726130209,0.01400758397108137,-0.06019897111971266,0.029875739192713004
QDPR,-0.001167321265692997,0.05396543025478134,-0.06738770573520106,0.04924230823797191,-0.07168498875855804,-0.00736288649975846,-0.051231580303578224,0.019473315784677852
POMC,0.08259092179023476,0.043387087412048914,-0.016403325134379518,-0.016638027032781447,0.012673963124434733,-0.03192302586846182,0.010299928256106138,0.11361848561957033
CCL18,-0.022650943074361107,,,,-0.007476713274355526,,0.05311459776303617,0.014521529887311967
CCL17,,,,-0.017883723927799054,,0.010786024250164152,-0.012720652006651198,-0.036248178111381216
VEGFD,-0.022650950267096435,,-0.00016785509788018346,-0.019053595218888872,-0.02158412008725863,0.07773823063734363,,0.03891322853338437
TNFSF13,0.0024578389090165924,-0.014016873285646537,,,,,-0.024409020529518904,-0.018013304351944773
WNT5A,0.008973355798864548,-0.06574179077674304,-0.012619550853033163,-0.04197582743526619,0.0380522053232172,0.033039071585202855,0.04974108252439175,-0.016580015119312095
CXCL8,-0.0482144265146456,0.03454903457094375,-0.008950400225191384,-0.02437837870192475,-0.02392638374851055,-0.008207572988037032,0.009155891510243971,-0.09482303779158618
GRN,0.06303176179918361,-0.024420313653655688,0.0004987818360496222,-0.021254886368241726,-0.06187957600416571,0.020264228075122258,0.022470148893620846,-0.001123983657969782
MIA,0.0018293851684175876,0.07713012991381629,0.02948483350970731,-0.018947898956672645,,-0.0032143556460243433,0.016657645992655352,0.032068228138061566
COL4A4,0.013569819288872546,-0.013336435660001918,0.004336975477823156,-0.018671161079281965,,-0.019380000801952058,0.034996367078737683,0.11623657707658555
TAC1,-0.06203787108602508,0.09970781994238338,-0.0042129058772560615,0.0794431231938695,0.049549194271449486,-0.005044893182711899,,
