,UKF248,UKF255,UKF334,ZH1007inf,ZH916T1,ZH916bulk
IGFL3,,,,,-0.025487621058822886,
BMP1,0.014384550068495323,-0.05069339144723734,-0.0012738280153627496,0.04835173922413822,0.09441157618541056,0.09380611179077801
NDP,-0.05570875504397888,-0.05731404767164671,-0.04237142943214462,0.03069705140191375,-0.03842553617960564,0.07139578427017035
TNFSF18,0.06760620384684593,,,-0.02705030330692567,-0.014225529410894756,-0.023953086396966614
IL36G,,,-0.016645199629133155,,,
RTN4,0.002340647468064681,-0.016022337258069414,-0.0629664637593872,-0.032138115417928305,0.02618287334116954,-0.10119625735466382
HEBP1,0.01676706161298763,-0.043585093497847525,-0.024262922900190508,0.10589927886414835,-0.005531909455779632,0.0302482656302811
WNT7B,0.010454268519965417,0.12468526830906271,-0.018294992608517312,0.06853405930678223,0.025946978194002025,0.04085626966774952
PTMA,-0.019050377010594425,-0.04594114922110422,0.07538623159664676,-0.04091930142263486,0.042807749685113354,-0.07318735359023153
FASLG,,,,,-0.003394632188551359,
CEACAM1,0.016916528718153728,,,,-0.017216381659823362,
PDAP1,-0.021718358020631778,0.038513296884830205,0.009744814818303088,0.025437548868953424,0.031006652214019364,-0.07382472161455389
QDPR,-0.036552344487500166,-0.06698231608386634,0.030504701774506218,-0.03019819824462135,-0.0240837361989795,0.010123747617888538
POMC,0.04144562312609729,,-0.024818892059208914,0.04675771810027682,0.018693095402034208,0.09999024943516585
CCL18,0.006517603577123526,,,,,
CCL17,,,-0.015205862418270388,,0.022406681558185745,
VEGFD,-0.023389578158528542,,0.004657002818325029,,,
TNFSF13,0.07710868540677973,,,,0.04438593031990522,0.013275950871150891
WNT5A,-0.014475562120942337,-0.06224857218524869,-0.03124567286242787,-0.021998797976765197,0.05855169824960303,0.015604977776007167
CXCL8,0.029058925373699515,0.08186409234829231,0.12011407905565387,,-0.005904665699542502,-0.03614718599048007
GRN,-0.0317742196349953,-0.07937771261178314,-0.039163516854701104,0.05871848905934638,0.07747327564270214,0.08711337253220215
MIA,-0.014376676161740848,0.04038636180089279,-0.02231893194630824,0.15344360674470922,-0.009418054551893573,0.03008147175947138
COL4A4,-0.0035200634934010326,-0.031541791893501606,0.04063970714879666,,-0.0015241995764980112,0.04046981247812373
TAC1,0.02416918355349638,0.011895560566643653,-0.02817503133737976,,-0.02633944716994394,-0.047453295876080534
RARRES2,-0.06552548964356118,-0.01727077392431213,0.03585416589869631,0.03801436981608595,-0.020262351404866617,-0.04754200308200025
FGF7,,-0.009039576652535249,0.07524186528939639,0.04582177058045872,0.030517983896515676,0.04435538160318846
HBEGF,0.03686918472132357,0.05623907900699311,0.016303972947362362,0.11503975197160292,0.06636805168545078,0.074630146708382
CSF3,,0.26198915368857767,,,-0.02109488741894044,0.0526098971959873
PI3,-0.024606814554601106,0.11993320461096346,,,-0.03680227958078704,-0.07813246203048596
PCSK1N,-0.03075885483891692,-0.03762957801599171,-0.05247123781479839,0.053586840999725,-0.05182182668669714,-0.048667599619444786
NTS,,,,,-0.031238651742919614,
SFRP1,-0.0025546246183990873,,-0.008560465055696954,0.02338944390388344,-0.030512744617722697,-0.024558693222800604
CXCL13,,-0.016031280514689206,,,,0.05872953654642776
MICA,0.028885187932364505,0.041666098132051174,0.0005421970854000921,0.21505348138581318,0.048917425013527485,0.0298962203744027
TG,-0.01745232331941458,,-0.02284135094411618,-0.03466622677975254,0.1289526000620325,-0.027383284371364027
ADA,0.0381851083695706,0.11622589500630691,-0.035060250112237935,0.05676406188994597,0.08470829022858505,-0.007062704295142903
LAMC3,0.011615708309788735,-0.04121191014337665,-0.02343128506024822,0.08046887582301017,0.04829608976329669,0.10602431460274836
CCL7,-0.014877742883736325,,,,0.015316135225749998,-0.051873893084212606
NGF,0.001635965711383948,,,,0.006337337206078382,-0.03471809236369938
TNFSF15,,,,-0.03195348558780465,-0.0010855950678076544,-0.03390441271630589
HMGB1,-0.055000167701177,-0.052561786140118555,-0.011614821656029273,-0.001105596151296903,-0.045288847656237974,-0.01988712415532332
ITGB3BP,0.011146913904668316,0.01880829376566041,0.0045298106150042676,0.0838766798576285,0.05206540326118955,0.028490481774243043
AANAT,-0.02158534143375363,,0.012760530154030626,,0.10160828484245149,-0.018705280966718047
RELN,-0.021287354124220968,-0.0044314158582473085,0.02491873227004899,,,0.013013401031877125
