,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.11509939272634273,-0.014155226338004964,0.019751533237005733,-0.03445425771123974,0.02418818237907515,-0.015884916078227933,0.01748018077482446,-0.01402639723137837,0.040150686635187734,-0.02117640689682371,0.025637072344178106,-0.09622825175680925,-0.03532177227646635,0.030132824914251875,-0.01935985168477575,-0.07342536419116188,-0.07483819147261112
RARRES2,0.01982988661962126,0.007021188298505292,-0.04451882992711214,-0.05210347865173061,-0.06941180474536666,0.02737229082805399,-0.07969310614663533,0.054410661013017614,0.06140553696093807,-0.010107526652831409,-0.0046381871050443085,0.10304240304741225,0.006859245275089424,0.016194439321625325,0.031251872862045456,0.061003081055356026,0.25711976369847817
SEMA4A,-0.032961066780838905,0.10453228586561655,0.0024950944729063983,0.002458570009702394,0.07377995515893081,0.036950792773297006,0.14008893332907446,0.06360169379962845,-0.0025050787478271956,-0.013110057804977053,0.07575972668218445,0.03879360661824985,-0.01324943838774493,0.0668090186560864,0.03215147024750003,0.051498031184029985,-0.04719098425024479
GDF11,-0.1570950554581878,0.006960247123502633,0.011334410228013216,-0.005410533388419855,0.053416467247252054,-0.014335424467283172,-0.014535927689978726,-0.021578868887307916,-0.006984526457420564,0.003811578734723458,0.01584851164965944,-0.006427699838867854,-0.02186783479326742,0.03483635418243485,-0.007373246838356885,0.04431597000540978,-0.006516075941913379
GPC3,-0.012438662302287693,-0.02065686513148889,0.03402240911037201,-0.028270032033017384,0.013039260205695225,0.011097765077453784,-0.025495315546428483,0.02693830488827255,0.0008267877084635951,,,-0.030603831606790446,0.034048016638383506,0.007016496934885241,0.016026035466161527,0.02505967537684185,0.058787903623214594
OSTN,,,,0.0366708347127255,0.09799176840561191,,0.09909918675724812,0.021178873974206463,,,,,,,,,0.04423878924520241
GRN,-0.04218424905897533,0.02729833589744354,0.02858030473095897,-0.0628051604822243,0.018909913669137027,-0.020771463014397598,-0.07106430982477104,0.017122811120872182,0.049872672848739606,-0.03702008220068784,-0.1510090357941211,-0.07102610102672854,-0.007553533452349488,0.04080455756994444,-0.010071961775913914,-0.07571117274110128,-0.09787199781783852
CALM1,-0.17575174836346777,0.0009982042970002754,-0.010500425342527856,-0.12548907834320955,0.08944024167613955,0.04764287657547777,0.07226339755453864,0.06322998283326885,-0.0037106783689110513,0.045781530419461855,-0.07620554153956129,-0.061609378879862696,-0.01137928029781272,-0.04743797500781312,-0.006406970288863056,0.018469317282362167,-0.20183477588722906
ANGPTL4,0.13005195627819535,0.02420999216583902,0.01807957609189652,0.14001403840688273,-0.03537075541190498,-0.03624182881170817,0.06490038782578186,-0.003233967894229081,-0.049882377021078804,-0.03123271982921343,0.022114487952960248,0.09974355947528513,-0.033666971948746294,-0.04376045916841625,0.013463074477389909,0.07121500998897656,0.2808698306757815
BMP8B,0.0424168184431529,-0.009896415741980497,-0.006174116711687494,-0.027919436125548057,0.01375915141827525,-0.009252484255190312,-0.03762239748080747,-0.016778827244662998,0.03373318201096041,0.029557613370052676,-0.000143881329003796,-0.0004743747752874415,0.009723797514388227,-0.0037151491575925797,0.013340399389312812,0.045303871631667464,0.09508029846483537
TNFSF4,-0.045025798346204224,-0.03348214916321496,0.050109805014056735,0.03956536448235728,0.001239997618307263,-0.020318614762902844,-0.029937579862776575,0.078620478919678,0.02572643083491583,-0.02489101944337908,0.05245194638366299,0.0010621735939927682,0.042459024502968824,0.040595725029377784,0.10249160345539195,0.07806542205706493,0.03751505435406551
RBP4,0.026736566706978857,0.0461007526160081,-0.04437708230695115,0.015546566871484152,0.11736941078509276,0.02605747150259369,0.14975138361333298,0.015811923077135064,0.04022043679367738,0.05618419650946175,0.02638073889718656,,0.023057019828340564,0.08175826784181094,0.0348419882184258,-0.01625680339499942,-0.05126018289935842
DKK3,-0.22248535244741272,0.07026735025436358,0.04131391196714036,-0.08898639899720645,0.11163515694097809,0.014950705327042258,0.08752943970429379,0.018636751613051623,-0.0002684451735709284,0.027664449244767082,-0.09640650681879857,-0.07274025600563644,0.011093170183282156,0.04280169493467524,-0.02284135584127164,-0.01920132065299782,-0.2225142767498823
COL11A1,,0.03402573625605773,0.012125474304840794,0.007924984741868753,-0.05899999303655845,0.004527920672954316,0.012625547259101711,-0.009462690018515643,0.05413753172399524,0.041812761456649056,0.07650614975499621,,0.03528594719880191,0.03831448338854615,0.00744445825899644,-0.013704026093929721,0.09419250217375344
COL5A1,0.11256571344756351,0.0066016735370762174,-0.006453240214431997,0.09370450367305466,-0.060394597327318104,0.0016257989715391026,-0.032580941696376625,-0.06870766660390738,-0.08188595967959728,0.0060077537983431305,0.05490778580978876,-0.0914539628766443,-0.0347199405741843,-0.04655254081231514,0.05374677339831387,-0.0029902421746989243,0.222965972605761
KISS1,,,0.041442750561280065,0.00412253548516207,,,,,,-0.01474456809237215,-0.04227336672227232,,0.03059243672328846,-0.01811684881891058,0.02866464593900782,,
MEGF10,-0.048495782179993105,-0.020667581838183447,0.058387762204714505,-0.04768827067185364,0.04372565903345486,-0.009744498664908504,-0.03046478570522718,0.01139759069662176,0.039172288452937194,-0.050325338867762894,-0.05212267443810225,-0.022150284228547434,0.02334086223484943,0.039019397348535996,-0.033124198461603284,-0.012379589865957387,-0.10945125136811362
CEACAM1,,-0.008715160189596498,0.004579523322001362,0.02611988658707335,-0.013897370304846272,,0.013376186957662881,-0.007649090104132938,,,0.002278529891115025,0.02905847248252906,-0.024485769632739934,0.005237597786053122,-0.02519850600220561,-0.004264530544579306,
EFEMP2,-0.018031189865924155,0.05753429653571768,-0.04354620418309691,-0.025806059778808274,-0.023746232357160318,-0.01895444607549966,-0.009301677680954442,0.0007077467640603582,-0.03557894877560968,-0.018432816954853947,0.013649824882598723,0.009947030198883763,0.0010007265089992175,0.017839075939344844,-0.002784754912893264,-0.06716360023146663,0.15152423778879487
IGF1,-0.08779380494669742,0.033572742536308535,0.02407756801900722,0.0002858444576286609,0.10195365696314733,-0.026748372105788454,-0.016373440309271594,0.0031930173377600147,0.0008238972190007599,-0.012895988926435547,-0.06876412794206312,0.048567104533518285,-0.05786658912252378,0.04726653623253459,-0.02530189461100281,0.09964612725833732,0.002206665693432182
COL6A3,-0.010507628412397194,-0.022581293237429537,0.019183829606681725,0.0401544495548941,0.03781217880514358,-0.05761064478538408,0.0627070174366318,-0.03248507025507589,-0.054121902372391534,-0.03942473293021594,0.11332460640151855,0.04805877641741232,0.010961729183861482,-0.0022164864348303004,-0.033626713253502985,-0.00977368193145106,0.10395513450837775
RLN2,,,-0.022968688240066724,0.06524431653656473,-0.01816015568196119,0.038185620434505615,-0.02169741599764816,0.0076887335040156405,,-0.012563675442348111,-0.0496712724833956,,-0.0188787093244603,,0.002473650325200257,-0.016234109544422937,-0.057813295542933116
WIF1,-0.10488459436253397,-0.022948024356355696,,,0.022309748522793275,0.0040042631916142055,0.13994128894266017,0.07779733973430075,,-0.003907191240322992,,,,,-0.0291654568404641,,0.03820649367690493
IL13,,,,,,,-0.018625165983840453,,,-0.017474660239305762,-0.021569410525007337,,,,,,
PLAU,-0.029318963713694555,-0.02427286717444281,-0.020125014696570374,0.017559399443670593,-0.020285438881871277,0.004133449889545889,-0.031229882915284963,-0.05696356444690286,-0.01364642205576921,-0.006945185865971952,0.027238642669448938,-0.0016225648497007765,-0.013204963009223353,0.04781948177368041,-0.03219646520762596,0.009536415717752121,0.10137259465519606
