,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGF1,0.09170692839386517,0.057970581239019964,-0.03140377591961037,-0.007507508976904253,-0.005970240662462358,-0.0386577945915079,-0.040326428139921024,0.023297921682836776,-0.018801351678289037,0.04102152368312027,0.031025032932914573,0.013028496170030783,0.0637175352782265,0.06163861924077482,-0.006194622049710446,0.04443096809633667,0.041396771278539204
COL6A3,-0.03355589298723663,0.020572343845565833,0.011963866482578297,0.0025651713192584376,0.026440302130614168,-0.03900672627563237,0.04056186418339312,0.07919157724101361,-0.007924970215800633,-0.020607133142168454,0.01964546012846831,0.0249463181570955,-0.06555444138257567,-0.01237984091536024,0.03079590213030263,0.10406971602182075,-0.038323705005442514
RLN2,,,-0.013756812101626418,-0.013835775012903461,0.017636117071982843,-0.016161516137251968,-0.03772513803534103,0.020630213715520172,-0.024382549888897806,,0.010584945996594394,0.01901823406874033,,0.11155718142783483,0.023854301229485467,0.004438441029953946,0.0037297229428751148
WIF1,,0.013158105044385842,,,0.005123618556795094,0.05460945074403398,-0.020977610506048478,-0.00044548337397409924,-0.08038242724479047,,,,,,-0.01968425871265219,,-0.04118992940698289
IL13,,,,,,,,,0.006437145453306397,,0.09281453370390312,,,,,,
PLAU,-0.043744489383919755,0.02774595784733405,0.012943603770043065,-0.01229888115962633,-0.009119922989227877,-0.04997309085041195,0.07789657136728302,0.058591893582355364,0.08853170588832672,0.062053715119188384,0.034269567211441344,0.03376382242851381,0.0009708930359915169,0.02982197685665746,0.09418357507662908,0.03295970867304254,-0.027823122281309353
CXCL12,0.07347041638918551,0.009311376563323644,-0.0479565923929502,-0.02425293393882523,0.09587689437328957,0.021527670501360067,0.0023510375438815954,-0.02458358288396749,0.04566843661542295,-0.04694921657487578,-0.021546110579014687,-0.006612712460921975,-0.01505241227864405,0.036408564498440384,0.07270763502202808,0.0902669971857157,0.05101256162496758
MMP9,-0.03712099981672307,0.049291946460217895,-0.013004432414860479,-0.04062479022582734,-0.031881930178908696,-0.048687483230971225,,-0.0008897023511290808,0.045270662791239494,-0.0027062464229412712,0.019884818043318892,0.012135553119984738,-0.05903933237141863,0.024181825197639055,0.009769806333208952,0.060258116341532345,-0.06138167771233041
TNFSF14,0.04036948805428777,0.1008638595639148,0.08079267376035408,0.017111070961360598,0.010792967688160852,,0.0484060328173501,-0.005680281569153874,,0.10369701250636996,-0.04249824568988657,-0.02980696582476755,-0.040236170079968256,0.026392143020347963,0.03981640095757248,-0.0007138694649776597,0.019804314593979477
HBEGF,-0.021212430159704445,0.05036089981612452,0.008841513412549322,-0.012522938439905162,-0.035674437332103334,-0.04973087733047251,0.028281134418400473,0.0434352945141438,-0.03853717402041198,0.023247041341802777,-0.03163736406877213,0.0035861442643617255,-0.022242364447619064,-0.01466829048969376,0.023648530741668325,0.040956698045314745,-0.03879447492124812
NUCB2,0.01862979650508334,-0.02494734404067881,0.0018047681589737385,-0.012464269906652786,0.04302437998294463,0.0579372023192467,-0.0019209316795332305,-0.06462296893645267,0.01092293076956397,-0.01648218456650661,-0.07887160850111133,-0.021089013782487263,0.025650519920750382,-0.03321158500440933,-0.018891967349053004,0.023144353032167386,-0.006965320983168097
VCAN,-0.067218697316567,-0.012270315580678532,0.02094106780318556,-0.044122520627055,-0.037790839670457384,-0.11883872977878243,0.014196340235129947,0.03643945802336212,-0.002577862498431791,0.09461197442454747,-0.024300211504354876,0.00023476867701669222,0.08115023717425536,-0.06433843778056701,0.047628003109363506,0.061486489073525434,-0.03367703723479856
VEGFC,-0.019670777053002273,-0.0007131979626151763,-0.020093558088527138,0.009668121068465834,-0.011381527557498076,-0.026839291693132993,-0.009510902613170577,-0.040112598670433486,0.026936984459202184,0.003540237983441592,-0.04678727882648204,-0.027202285360936676,-0.03354813180330412,-0.030784793754722085,-0.025271688134079727,0.049638018177633504,-0.028974661713475763
LMAN1,-0.06964003537545398,0.029082592083033588,2.5594955790586836e-05,0.053211240980733356,-0.015097308388057718,-0.0673692689313898,-0.0538981566661611,0.01684998099752676,0.020652800345251535,0.056216411332023916,-0.02810307862291065,-0.013208202455362262,-0.08145371569204435,0.039363601340359274,0.029780705409087272,-0.005963911370079713,-0.06275597396351613
IRAK4,-0.038803340402438276,0.020744365039777165,-0.03990387329488929,-0.022390457711583916,-0.00828926260720698,-0.05161877415384104,-0.03593876409239376,-0.0127095321754872,0.011051659917562351,0.04849952366280606,-0.055036745945968114,-0.0031356252681193288,0.006819297540612168,-0.02321908739175192,0.03692472254881624,0.018193456315696365,0.0068960263096672835
