,UKF243,UKF248,UKF251,UKF259,UKF313,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.016880322620215788,
BMP1,-0.043422729550088,-0.06406514481434993,-0.01930179826894795,-0.08230639799059822,0.06016465686260012,0.020044026045764843,0.0651150578519088,0.07046651717130813,-0.011980939255814142
NDP,-0.07193640110471816,0.024063498674423298,0.021653860557515604,-0.08688422972475568,-0.040973791303879036,0.07998710358048039,-0.002573411915719127,-0.014663978570822463,-0.005674560579640043
TNFSF18,0.01760226613328026,-0.03634029168869184,0.045889589136163436,,,-0.040202468303220336,,-0.013674181317689398,0.09298316565679662
RTN4,0.03047943232438346,0.06992460339274116,-0.026746132669611258,-0.056879555759344544,0.01697351729481545,0.025170681513646542,-0.03357127712610733,0.0054720629473583755,-0.013806843929194013
HEBP1,0.021307521617038902,-0.02311158326789955,-0.061534882639736076,0.06959204131235645,0.021571504517247028,-0.01101100241625718,0.026501415558369455,0.043185091848176836,0.026245359004859727
WNT7B,-0.04266762471925985,-0.013176038685702917,-0.026828169720464846,0.022368919910082757,0.023857755555371046,,-0.027464030893353104,0.046508181870051075,0.1296977508627906
PTMA,0.13333052018597888,-0.01649516566947137,0.00659605710728849,0.08168755591113214,0.03216812947945736,-0.031480950029077526,-0.00889038897042648,0.010521316841828802,0.001718711148535465
FASLG,,,,,,,,-0.014640298049707878,
CEACAM1,,-0.00803235134297981,-0.02058900665470301,-0.03299605593768266,,-0.028269158153831787,-0.01822827673255684,0.1010865678456764,
PDAP1,-0.02034322706609207,-0.03870482741112679,0.026555511379430283,0.012090411657242266,0.10544349764996552,-0.07747488140946769,0.0006102454234492023,0.03174849858559636,-0.0076098863255175935
QDPR,-0.11511740681052607,-0.0027155563011162453,-0.043784054468160624,-0.04830473774644426,0.08004039173467443,0.028905909850727066,-0.023938530224566403,0.008264158997771873,-0.023292175088884
POMC,-0.03850416710655529,-0.021215825520131504,0.017919170978053477,0.033861959579319666,-0.011175709737815455,0.023406519262330845,-0.004363522913308125,0.03668317027027279,-0.0067627458808330425
CCL18,0.002996393729800719,-0.028863555083847664,,,0.03691628685522079,,0.02950733933751407,,
CCL17,,,,-0.023318670712062763,,,,0.10972515481261862,
VEGFD,0.014263514762953199,-0.028863564249378287,-0.01780116173274631,0.04101294456757728,0.07838727968453998,0.05995540389663461,,,
TNFSF13,,-0.021781371808924543,,-0.016084697169919848,,,-0.020469133065341448,0.05549591884047733,-0.028304841566362423
WNT5A,-0.003458579098561027,0.07224682466033222,0.018557120770950352,-0.05465958921370341,0.016489041394126807,-0.057732570188410964,0.02720574247157748,-0.0030444913594292423,0.016427045895020934
CXCL8,0.08851878146183027,0.035254920061502965,0.030801889830810975,0.19775617351637223,0.0015328900326250616,0.032931523910402785,0.0779816306810219,0.02691236416154516,0.08593049262476977
GRN,-0.04052967061301829,-0.032361763042246736,0.023763671670975775,-0.1299797625475941,0.045204102398144326,-0.00774875670511521,0.013098185453867421,0.053473700511528714,0.03741487694196577
MIA,0.10094554091319494,-0.05160803736224319,-0.026226006868179053,0.02881899989643002,0.031235101899834555,-0.01888793848830631,-0.026636102051765025,-0.03817267348754708,0.034759902302561416
COL4A4,-0.0120284059395117,0.03944695552658969,0.047424674175438296,0.051212177164858874,,0.03242807196133215,-0.014751598421107816,0.00644349422579243,0.032021963641398345
TAC1,-0.07191870321417448,0.014854466743129516,-0.03387072733649403,-0.010500820470540488,,,-0.031448970280567805,-0.017444482748729215,-0.024515331272310602
RARRES2,-0.07817680698544273,-0.06996395616236202,0.015407120467842907,-0.04226412992991696,-0.03666630404016159,0.08421372553937971,0.019498357150869235,-0.00034149336188163073,0.06657607305792514
FGF7,0.03917407986292928,,-0.033284490472042814,0.029417700398922615,0.03866321330225553,0.09500939543696038,0.018176506354524467,0.0325959745338358,-0.0014226627322472228
HBEGF,-0.05682293674042758,-0.038220188939962096,0.040389157597418054,0.023451454362526592,0.01923304433329601,-0.021145959211568203,0.014168831659737502,0.09426210429746561,0.08314084493150956
CSF3,0.17486965597996798,,,0.1421083947563744,0.03495045472315304,,0.03226616941020459,-0.01397103733012308,-0.033276343976237556
PI3,0.01981847986811043,0.05971404271920857,,0.12750300417386112,,,-0.00931556052963836,-0.016230879590210547,0.03587881882520261
PCSK1N,-0.16962821419624424,-0.049068777322652565,-0.044016928377792246,-0.11435291018482543,0.020242016321987494,0.06333124078372447,0.001494875140178516,-0.025579492087940504,-0.043620221608122525
NTS,,,,,,,-0.01621295096137942,0.05728275400628912,
SFRP1,-0.03624638857513007,0.012625559178259258,-0.024301669116143506,-0.020346441546623205,-7.922448232868265e-06,-0.05741017214316487,0.030289689847203496,0.04177471617808418,0.02084322881246422
CXCL13,,,0.06725866004559691,,0.020617591162014046,,0.004369603704940924,,0.048840326671647394
MICA,-0.009529702592213168,-0.00355707239762469,-0.0011974321890270581,0.08678898429935153,-0.011679557343465938,0.12265918420506706,-0.041326042065404835,0.041480136211617405,-0.006361412729005681
TG,-0.013507440400325314,0.022978442452182238,0.03022218122212723,0.03039034723049521,-0.0070635344223877955,0.03021330862453292,0.048439619219451766,0.036178927842056084,0.0032290593829619437
ADA,-0.021241220727773166,-0.0037578857050592413,-0.052217305050566196,-0.004258290553454199,0.030371231852213614,0.02849551483582585,-0.030436604817167347,0.09117595468863635,0.040685885946817546
LAMC3,-0.01761442838959941,-0.03808773042017517,0.03102658921148979,-0.02136911583699433,-0.018225308758626144,-0.04293146597459154,0.06468854519585462,0.014041002574005639,0.017411275678473084
CCL7,,-0.01835965936195702,,-0.01587490050196392,,,,-0.014640292843792639,-0.02132166054894664
NGF,0.06694330861318915,-0.03152262340057272,,0.23699397778369002,0.02167968359513912,-0.027012076966009428,-0.002059240166657179,0.019424798603124464,0.0023035357702904605
TNFSF15,0.006745010689935942,,,-0.01767747814037442,-0.021709437680743255,-0.04324473883469712,0.03114283859913225,0.01684687510265508,0.07693977256171143
HMGB1,-0.09231172929193099,-0.00012638985155947593,0.018991033273033628,-0.12906521857608919,0.04544273792545129,-0.10560635395919647,-0.0018616436909419391,-0.047777325360006104,-0.033233999197472476
ITGB3BP,0.014483379296490299,-0.030313401572873076,-0.03286831870529402,0.07779832521169673,-0.00165446071761869,0.0649277646395106,0.012975160140411222,0.02891215459899342,-0.006189534631400539
AANAT,0.034982866771744614,0.105163943009794,,-0.01608469888660896,,,,-0.015490040360833632,-0.02031849464712619
RELN,-0.043230050211319045,-0.05027441332901688,-0.041900278752686405,-0.027919435178591214,,0.05753811389984654,-0.019601633163912852,,0.037240569487551355
IL15,0.08299268371665891,0.017677169903057344,-0.025982744645308614,0.01345519325439471,-0.020309636538544593,0.04971840017330664,0.011040621782104165,0.043360293779795264,0.017749865380365323
