,UKF243,UKF248,UKF266,ZH1007inf,ZH1019T1,ZH881T1
BMP1,0.15467629098654764,-0.02146115497532381,0.08877274660004533,0.010011994451884474,-0.05417003546571353,-0.0036163882871142828
NDP,0.051156736065619574,0.021113627612715475,0.025692507544046193,0.15044515680728407,-0.014822118158199225,0.048958199715068935
TNFSF18,0.11779448061879393,-0.024830504610871256,-0.013966649354544164,-0.04441180395596286,-0.011357643128673727,
RTN4,-0.11897469517302994,-0.0028808618531190786,0.03529627132696129,-0.08148306291090102,0.025839267768887658,0.0008606865220459795
HEBP1,-0.019094741529016798,0.03312419558493122,-0.04430615850657516,0.01221407578093359,-0.037939920979398176,-0.03980733645399671
WNT7B,-0.0003702290579426932,0.005191981558090264,0.0527873667777989,0.04522446910141205,,-0.022338912311980718
PTMA,-0.08267136657803785,-0.047268525920475514,0.014583595679630565,0.00880416217979051,-0.0403401575002665,0.05174814444993599
CEACAM1,,-0.01580393568753256,,,-0.02678186787472928,-0.014826660991910582
PDAP1,0.07252226866378896,0.06661471542051602,0.012955241373347243,0.036734604318867964,-0.041314352603072514,0.06926151325422815
QDPR,0.08498852376705632,0.08358441078325897,0.0009313170843797365,0.03302920258089302,-0.03349645485691926,-0.025686981552361637
POMC,-0.016826478309296077,0.00022089171786837005,-0.0368468379365517,-0.04725934352942797,0.00594708967822233,0.006748246745806582
CCL18,-0.004188526441405818,-0.019721818518551773,,,,-0.051059250181526475
VEGFD,0.026157577119734696,-0.0018414781901695016,,,0.016913705383290466,
TNFSF13,,-0.01488272184950288,0.04049921446744676,,,-0.01664934657350659
WNT5A,0.04144677051362911,-0.008561422603066077,0.08649182045529347,0.13894080047564913,-0.05618021026924254,-0.007971435998520168
CXCL8,-0.10957300706368357,-0.04650561356451051,0.05597080063230577,,0.013310216667817693,0.016158383744831608
GRN,0.07471496737581264,-0.036581533965112566,-0.00020401699505258303,0.06442691122363318,-0.02036411056726694,-0.027392494130536023
MIA,0.012068558461880825,-0.039292679281232826,0.034912070401307595,-0.006504889356398766,0.03558212502976163,0.07527228736674324
COL4A4,0.10884627301761494,0.004790870611868188,-0.01288721814548989,,-0.028509247878171683,0.03426512558097864
TAC1,-0.053261017474505915,-0.05238238829078697,-0.0014695380798345637,,,-0.025580214067182718
RARRES2,-0.0292399496302994,0.026771500354197293,0.03211537522718892,0.031830789416728275,0.030852153543410803,0.05862209340832518
FGF7,-0.04206659447066754,,-0.016046742513788934,-0.03437249377925594,0.09304182062325198,-0.015587055654688157
HBEGF,0.009705939408909825,-0.04775700908738048,0.011328886750907676,0.0375253254586596,-0.003078839886599795,0.07149676996950716
CSF3,-0.04252637980456157,,,,,-0.02125604383401487
PI3,-0.05037883845407672,-0.020748184587981264,,,,0.0524565493514124
PCSK1N,0.050297202491252586,-0.007859017641241448,-0.011189710335240192,-0.016596539473066642,0.02529705895124221,0.052641099275582005
NTS,,,0.05419940620897673,,,0.06375146438101113
SFRP1,0.0795773988910374,-0.007399719319185745,0.04305568810099729,0.06549516480048122,0.06142203059219461,0.029162110342498333
CXCL13,,,,,,0.01298125519449641
MICA,0.01922715089572167,-0.03230343000559911,-0.011696417866252116,-5.039866003517236e-05,0.04403697945069491,-0.01634542235430219
TG,-0.033900312415491414,0.03571949706697459,0.16518140013683463,0.026495909071585055,0.045669831886936706,-0.0174940507081097
ADA,0.02502352392402758,-0.05803760419720608,-0.024059324206602565,-0.02598643214686927,0.019864113929188264,0.011126408540659978
