,UKF260,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,-0.02729927523800117,,
BMP1,0.02180313216710842,-0.0742676689328812,0.01924118600833182,-0.03383729849411111
NDP,-0.02128582618199406,0.0029234062562542304,-0.02946625683972658,-0.004892715867967012
TNFSF18,,-0.028153260692445375,,
RTN4,-0.03510919333143878,0.043630789139105265,-0.007897349012929473,0.005927908518587102
HEBP1,0.023634518813857665,0.014079571845820689,0.05716732825540811,0.056750214927743126
WNT7B,-0.03574982652683025,-0.023570377976913134,-0.019769039285930535,-0.038609852831036635
PTMA,-0.03656358677333638,0.01627767997328313,-0.04810233028339394,0.020340588719805423
CEACAM1,0.0110838510675022,0.014500204831108884,-0.013120998889057598,
PDAP1,0.05247642501856561,-0.03433675510276117,-0.04189524648782585,-0.04519901084708763
QDPR,-0.0007554419213095752,0.11637305156867417,0.042081192094966524,-0.0006427294511622476
POMC,-0.028863081864193726,-0.03288124044889323,0.05002721786118612,-0.013863668201614903
CCL18,,,0.07634469102938801,
CCL17,,-0.035992517458149006,,
VEGFD,0.013165962762339993,-0.037960996852351735,,
TNFSF13,,0.01673515024426615,-0.014734002349801103,
WNT5A,-0.014956221823739275,-0.034265777982096984,0.10804427705311843,0.005854212186882339
CXCL8,-0.012841654686808113,0.07564557733028184,0.09149456744135674,0.05370256601718963
GRN,0.04029988255661673,-0.09109602616660374,0.04461310035182495,0.06712771817310922
MIA,0.0316260754077429,-0.034537257978085455,0.06163561974732222,
COL4A4,0.00942177918961187,0.012953341341374373,0.033822192723253895,
TAC1,-0.06044368038126634,,-0.02263746102649031,0.022013249398310283
RARRES2,-0.01749661764786483,-0.0018370639415421952,0.0083026859644236,0.09276218652958282
FGF7,0.07230360386392323,-0.026308181969203426,-0.009231774368345451,-0.03401327327971067
HBEGF,0.1026361345625427,-0.00833223181611572,0.010188652966103367,-0.004612708832841683
CSF3,0.027924580745490656,,-0.018810744218407414,
PI3,-0.021020699517426546,-0.030581513827674617,0.03482910849760048,
PCSK1N,0.005290092178047651,-0.07028488439421485,0.028160545406122624,-0.07912551888434664
NTS,0.02270332007503725,,-0.043493048698407956,
SFRP1,-0.015655930158813187,0.009538482837390255,0.024172362955142752,0.0018336608052066823
CXCL13,-0.015515226722745178,,-0.004461575395218453,
MICA,-0.011225399204539445,-0.023934995696974836,-0.0072807333663304835,0.03640841569782169
TG,0.032524240594978784,,0.03329254096651543,
ADA,-0.012324560087707657,-0.026571353371641713,-0.0018651695524583634,0.015577472310511766
LAMC3,0.054079617222423694,-0.049261557203262016,-0.023126844740006258,-0.004382961418474977
CCL7,0.01505407593893173,,,
NGF,0.02794941917147036,,0.03040048028533386,
TNFSF15,-0.01523019964280289,,-0.01168114921899897,
HMGB1,-0.04704810540015654,0.0853113786983425,-0.03412772961563316,0.01548627230798317
ITGB3BP,0.03688738942117945,-0.02552338852753578,-0.0003121455590652388,0.05419013714347304
AANAT,-0.013723320731760186,-0.03267897642998185,,
RELN,-0.0033514777801551374,-0.01885697005473808,0.03848584519108332,0.03734039387800901
IL15,0.04299101340367587,0.01993292296221227,-0.028493918063004026,
BSG,-0.01644555806801357,-0.06824390560783934,0.03433404427955497,-0.013544017538855773
ADAMTS3,-0.006399621408166038,-0.06070815806065487,0.08237239803609779,
CD34,-0.018790717972106016,-0.05361612447265196,-0.01675283177519732,0.09498907666213025
