,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.05204977235335965,,,,,,,,,0.015914156693707923,
BMP1,0.043554324223528944,0.0015668858997228384,-0.002817163356831009,-0.04155804134064801,-0.05151959303978655,0.03063970421451401,0.027075077463021947,0.09961634977556304,0.064200502011082,0.05142543052136742,0.02549187486285445,0.0557012039942126,0.10436974251315341,0.031117932211513103,0.028392724636016255,-0.031191404931867076,0.006653973567175675,0.003052186583700689
NDP,0.021918810527350136,-0.0012393681004301208,-0.018022013614191517,-0.06216614740730835,-0.008019629308270082,0.1264302216756624,-0.031585697706145284,0.040278830165982,0.008799692285761168,-0.018781815302170653,-0.011992522744664048,0.011762831639909035,-0.0032636758353459085,0.08342526984008611,0.01848894465662702,0.059657675861988856,0.13156607148608052,-0.010602407714420269
TNFSF18,-0.00846800830861678,-0.04191454733953795,0.06341539158815349,,,,-0.013291557140849945,0.0043440268767576526,-0.028541758185890838,,,,,,,,-0.04442813559973181,0.022816490053094933
IL36G,,,,,,,,,,,,,0.0694930222825461,,,,,
RTN4,-0.09630465878154106,0.01988415211432261,0.01748889598864488,-0.09802431835954555,-0.0031096973188465666,-0.07256831891744207,0.016549330700461867,-0.161477127837736,0.007202054828542599,-0.028398232974532322,0.06526963966137038,0.02889186338105277,-0.05548356185322127,0.016178396893471444,-0.04683758515241866,0.05251572755466741,-0.05914749283328419,-0.045039033570961486
HEBP1,-0.0626678570611084,-0.010564768466097593,-0.004275702165184563,0.043180729348840215,0.016184938938545782,0.018917407808042512,0.016001872407263383,0.06743491165936753,-0.0010254205901296938,-0.020319577822309233,-0.04011199945891215,-0.004907193293841919,-0.048877604040346925,0.07676453425444518,0.01847404648016046,0.05554526463363908,0.11751354865476339,0.006055979857935544
WNT7B,-0.04743860401311362,-0.0053143983512646,0.002509105613111938,-0.03865441194897311,0.04762982153841097,-0.0676183928456059,-0.002434169798656069,-0.07465120091696067,0.023805097091795183,-0.01655569065530529,,0.05828151348127415,0.02306263055592422,0.03806274607659085,-0.024097927624935525,-0.002250847560815136,0.07941340951440604,0.06483335508805146
PTMA,-0.058291284147527274,-0.046576601256532915,0.038207118643309515,-0.03605059284708687,0.05874393344439564,0.013866680615673347,0.03631131014111066,-0.08613396606329017,-0.00466829068997189,0.02113300571506191,-0.06823833781736492,0.13082781212393527,0.11244389667705201,-0.09706422585299045,-0.022869276452762318,0.05210378635064282,-0.07135149141240749,-0.018294445110110656
FASLG,,,,,,,,,,,,,,,,,0.026925338722023844,
CEACAM1,,-0.004038023060819633,-0.018822269265168407,,-0.03846760545480195,-0.00475259641276514,,0.01717694127303147,-0.04488938600811861,,,,,-0.03411803318146077,-0.02744864984405059,0.1001711088601517,0.0002380653501393139,
PDAP1,0.048799244242421,-0.014124151606316266,0.03589572085144551,-0.0007417784340701067,0.022977866319438673,-0.012913008756186626,0.04051953560109187,0.13221742797886823,0.0266519928507207,0.030363579041881972,-0.011426328359052534,0.10565729423583554,0.0638255776856363,0.02917421232444438,-0.003920840443560264,0.04032354210879473,-0.04087062550293954,0.03575214868303081
QDPR,0.014784256457851317,0.021205653972688907,0.025342285429198114,-0.049055985312733474,0.04595613382025032,0.006196291363068588,0.0051358608048143175,-0.14373700468861303,-0.05861803663687961,-0.0010780590141209866,-0.05115240676080445,0.08882271272256707,-0.037277532390825735,-0.00667941755462899,0.0658275830561766,-0.011087061105430361,0.034569850369535034,-0.0886738579268337
POMC,-0.023925955593305598,0.024080362132277565,-0.02283253841629426,,-0.002260244854311906,0.01609339491614825,0.009684824263008774,-0.0055540617439830495,0.07893256125003548,-0.025008149258061656,-0.049621122627584516,-0.033323016631220184,0.008772778028376591,-0.005738395398382952,0.08315170447365162,-0.031007962216165145,0.02185418346369507,-0.013869363858294964
CCL18,-0.031164396871165848,-0.03528798470145285,,,,,,,,,-0.05800767086593236,0.07603416332971254,,0.011173622941945965,0.09319359652745554,0.004591428006017892,,
CCL17,,,,,-0.018322241209123045,,,,-0.018419044778482732,0.03643978263018778,,,-0.033963154721301396,-0.0242050931830219,0.023968954603821042,,0.10505856693348907,
VEGFD,0.06896102976252191,0.06156159747141897,0.03397543555826058,,0.03362446720603817,-0.0022826943325359194,,-0.03173215053386152,-0.03792573049437953,-0.01503061930015699,0.05485327241178019,0.02534993084926832,-0.036399364867047326,,0.01815093426049505,,,
TNFSF13,,0.011058981125671878,,,0.0046256819171609995,,-0.012890037651392586,,,,,,,-0.01597254679928938,-0.01367213540869975,-0.003546089339241149,0.14232357916435665,-0.037997966322220224
WNT5A,-0.008270849728529685,0.04505031843012283,-0.003098223562596041,-0.021400559872512968,0.021466843868011343,0.10453790346834416,0.07130242531620262,0.10191538855030934,-0.01834044710478199,-0.03688236661509682,-0.046774660449000825,0.01688474505196285,0.05742952639684576,0.050583076304451066,-0.0348354503759088,0.020062755366060052,0.030705778122536664,0.060515031144604894
CXCL8,-0.003780861308664423,0.06272355676297253,-0.01222237140398787,0.025486038835779143,0.002716958942242832,-0.017122343171031663,0.06277827234525171,0.04605077998901698,-0.0024552937010168105,-0.01399716624536091,-0.017127126361188374,-0.042281409677375606,0.04099873828204848,0.044160898985165425,-0.049615983670600376,-0.0878005491972934,-0.011761367072880353,0.02979935758209392
GRN,0.06308721212309404,0.03160078235648724,-0.047905031338740446,-0.09065926704632012,-0.05186646203488729,0.010113013848030686,0.0332739432719739,0.11271814878449252,0.024896436742244732,-0.0632338258170954,-0.007173070318285416,0.021966931879791513,0.03281839167073634,0.008072360667563276,-0.022652634375395223,-0.06173567385591998,-0.013341118643455786,0.00226576904432724
MIA,0.10066581673416071,0.027877378805977748,0.03047522093261875,0.031700501185471575,0.016732471417399388,-0.0047604824914177345,0.009822660412375603,0.041723354058533245,0.031635290039949755,-0.01709416403497804,,-0.01873059946982154,0.022860784762472552,-0.04344618383560712,0.13288865766499924,-0.016645917406334147,0.1758682373081946,0.09357714762673548
COL4A4,0.08951801745406364,0.0024187010540874824,0.0019304643774616392,-0.03919867553483134,0.014704315616177506,0.06458380660042598,-0.012264301338076206,0.03820665677785786,0.023387816515424965,0.023489496240425206,,,-0.020117047945982406,-0.036332815256874526,0.04457636436451186,0.0038460373253184545,-0.019378372839766282,0.038094436563658234
TAC1,-0.0407741206975378,0.0627167709625422,0.046077420018085326,0.015589213225076212,0.05209909066424963,0.014798003373492928,0.002445180559505366,-0.10000077091851471,-0.028326141098827466,-0.027233142500242356,0.07409219933083341,,-0.039195395681510155,,,0.015617635389332281,0.023704314068664394,-0.007048188315346436
RARRES2,-0.031250450265576823,0.023981574765933825,0.019549584366225798,0.014056693050074068,0.02248412573033047,-0.029260431922253416,0.020037949207993934,0.13821047212302362,-0.07651050556375404,0.01181272724259374,0.04735776059872734,-0.09117440947889308,0.0795831844070275,0.10536454649371763,0.07014438343540953,0.027185439085492688,0.027503809723617937,0.09532444607221408
