,MGH258,UKF259,UKF266,UKF269,ZH1007nec,ZH8811Bbulk
IGFL3,,,,-0.017553688814606748,,
BMP1,0.0889185108624978,0.012316955114169595,0.09601689143106197,0.039374755763402616,0.025520116430445314,0.014525309614902168
NDP,-0.02506902898600193,-0.060170676240519395,0.002319770973592607,0.055449249037536175,0.024178542250543087,0.048662544352558124
TNFSF18,0.059578876411945036,,-0.01413067186824876,0.09221055585937933,,
RTN4,-0.08180904780872489,0.003147810438330114,-0.1165539583502587,-0.07847162376165903,-0.03794219836268752,0.04737911128822271
HEBP1,-0.005740258753409911,-0.010502372829147146,0.0008864815489867175,0.04539106093154445,-0.010290238553107697,0.03675523398629295
WNT7B,0.002818230528815641,0.05556555701136917,0.05460872235215967,-0.019579000960497243,-0.05731185060919121,-0.00422682461045491
PTMA,-0.05892784484498562,0.00574636082512422,0.1308746250411199,-0.05182025215716294,-0.07095541099932214,-0.08308289110083429
FASLG,-0.02016110527730495,,,,,
CEACAM1,-0.027993871121225065,0.017645768733086056,,0.12698851985273826,-0.04315726070899928,0.0904213177939547
PDAP1,0.05342880423443072,0.02474569073347694,0.07390715012340461,0.1212585817347278,0.026303145663592008,-0.026808943398777707
QDPR,-0.10348861775833208,0.00802752982683258,-0.0904315145097476,-0.10108679282798626,0.1297845046431672,0.06014937184864898
POMC,0.05579947144839927,0.012892744456629227,-0.017193356792538014,0.0472721524561154,0.05548969598539645,0.038628319739834195
CCL18,,,,,-0.03700509480193155,-0.03705667356622998
CCL17,,-0.01860715667056785,,,,0.18093675304563203
VEGFD,,-0.020730427314122484,,-0.02940713743203755,0.19902673853322853,-0.015175134503677787
TNFSF13,,-0.012834800230894583,-0.01370380388776277,,,-0.02381135495402319
WNT5A,0.06707757625132879,-0.05292249701568676,0.0868102823805773,0.062351642845277125,0.02292160850579587,-0.011366586594267356
CXCL8,,0.061520584618747876,0.05564247717704826,0.07691156861238088,-0.011488180264026347,-0.04648363462348704
GRN,-0.1297493695837216,0.002568604275681696,0.03482000728680641,0.0508358655518139,0.03545864717325177,0.03299300534563156
MIA,0.026731864075341734,-0.008844141807640963,0.08264022109667736,-0.02574650162385643,-0.028259528544149426,0.0005609901037526829
COL4A4,-0.023349016528711693,0.08037279435252621,0.014980871132122993,-0.017297857401308916,,-0.024297763107918813
TAC1,-0.020161094308477116,-0.05230561110772015,-0.10084479358030991,-0.06482461780936578,,
RARRES2,0.1335367584795169,0.025121942608446038,-0.018375650920622818,0.0955039060953604,0.040166987671472025,0.009156979531507618
FGF7,-0.0005007719764339884,-0.03298291162369384,0.07372931704066256,0.019288603256299733,-0.022383428705742694,0.026929909000498607
EFNA2,,,,,,-0.014422949779048169
HBEGF,0.03708033781356497,-0.019278935032186317,0.042087778924561434,0.010509201774695349,-0.008818725963445819,0.021489663016578127
CSF3,,0.032119797833875925,,-0.018300800188173715,,-0.02980440842926048
PI3,,0.027788541046363077,,0.016178670518624698,0.01821207823868486,-0.04004932586990992
PCSK1N,0.11249235439300793,-0.01837238376091633,-0.062388516396043626,-0.004049218709290784,-0.005205027732684856,-0.017184078502142878
NTS,,,-0.015917124126132713,0.04562771267588683,,-0.017571627357438425
SFRP1,-0.02933490148378102,0.01923750837432327,0.048098743877111834,0.040848046902078126,-0.09228908491860469,-0.022814336020437052
CXCL13,,,,,,0.00025958428868055633
MICA,0.04956337181603748,0.031060656607652448,-0.00044813463472987206,0.018744107753654624,-0.06692623364504985,0.10755825466748448
TG,-0.02334901126692092,0.048407677038920294,-0.018372557206774644,-0.02208742849158519,0.054111656701670674,-0.02164137995818868
ADA,0.08460362241696057,0.003911024954893448,0.005226620499307714,0.09342006051607199,-0.006666486179968109,0.03618780463147085
LAMC3,0.0341572078051617,-0.030021068698349127,0.06544048504897,0.050620602518601086,-0.035420375498341844,0.016970898022796596
CCL7,,-0.012667392769387798,,,,
NGF,,-0.02902423223868765,-0.01753234740787571,,,-0.014229081069056442
TNFSF15,,-0.014105761402957277,-0.021288113423290046,,,
HMGB1,-0.02423008419676719,0.0022793262567211057,0.08473787717777531,0.019237160911288683,-0.1533791068265629,-0.0023659317625804336
ITGB3BP,0.05172417509035844,-0.014948737357344121,0.0725540712788015,0.04446010172442811,0.0065301291188275355,-0.009039546909440681
AANAT,,0.07519637302558853,,-0.01650781702453366,-0.028467940028132698,0.10704649857825621
RELN,-0.019356949372820644,-0.022278341288685544,0.03718912298768231,-0.022674166427128033,,
IL15,0.16257224956679203,0.0014837071131989909,-0.015147758264390201,0.043246557396035244,0.19876200058802823,0.060512010391932505
UTS2,,,,0.11851656666834388,0.04922228021875913,
BSG,0.11721461169382591,0.015560742603234685,0.07167090248077737,0.028983332499599734,0.10021236684480957,0.03190643521583103
ADAMTS3,0.04008259226055693,-0.00781305966977667,0.09590177404435161,0.11350494744398683,-0.04565084751240537,0.04705025868195913
CD34,0.023091440888359165,0.013072087829722825,0.0581715912390549,0.0637175531477064,-0.05487390375382162,0.03447007087856715
CCL23,,,,0.02276873523194173,,
PLAT,0.1018755511942948,0.015819226478808797,0.04539067261095543,0.05598750105979435,0.007611436007846086,0.0423976149297811
NTF3,,,,,,-0.0030397607176853537
LTA,,-0.016235462668964053,,,,
CKLF,0.024781049807584273,-0.04182047292563062,0.05169522370271023,0.11630512894816582,0.0978353535652381,0.04733268899254756
CD24,-0.04418671448492401,0.01947825317126172,0.06994357459367617,-0.016786907134800407,-0.009445333037465696,0.0373808545978634
HSP90AA1,-0.04873940137842636,-0.04284400370669626,-0.09216901564506501,-0.08052377837323543,-0.02548731324074247,-0.05907231389619547
BMP4,-0.004733864343518278,0.01651377259293553,0.08733196312895791,0.028143797635496633,-0.038088177940022505,0.006290998834958689
SCGB3A1,,,-0.01933638133249712,,-0.041690335247616075,0.06411671353481822
IGFBP4,0.0081490989591604,-0.011318557107671096,0.09893010146606174,0.08117836117833659,-0.03455834216939387,0.020687243556906012
RSPO4,,-0.02485122007443941,,,,
LEFTY2,-0.023118153093136425,-0.019062318529533155,0.06657084178274107,0.06856686998622008,-0.06834859655917137,-0.016583800915557778
PF4,,-0.01105205062877245,,,,-0.013219632019828655
ANGPTL2,-0.049795917155299,0.03891619735919578,0.08157626579666406,0.06899587624482233,0.07735254741941312,0.05055923444160656
LRIG2,-0.013370956526373387,-0.003839412488371642,0.059588341805053256,0.08327662822379482,-0.12494499189078959,0.03806965044153629
ICOSLG,0.009828339295094255,0.03383168764418715,0.03504632641775267,0.0825644453367908,-0.024061932765234353,0.03984397836684616
WIF1,,,-0.029386222362252412,-0.039436375711455265,,
NPPC,0.08272088013250645,-0.00041484152119354416,0.013997653624348039,-0.03586430457856757,0.04404795473607377,-0.008870088556160494
LYZ,-0.06106401298979795,0.013218199053125778,0.1038790800656615,-0.0017390461220632236,0.013467210830967658,0.03667499817125784
EREG,,,,,,-0.007031939851020505
SPTAN1,0.051845298680744716,-0.019882205779778322,-0.08093312862984171,0.0005020501448981268,0.0021347520048310233,0.054678346642388055
LIPC,-0.029893723925359467,-0.019861358107376863,-0.023490288980201855,0.09461756996144581,0.0507274853937917,
COL8A1,0.021075643829490325,0.041157450439088944,0.0004542939590933101,-0.021119249089314666,-0.052589832074214596,0.03782957748484749
GSTM2,0.0032394773997954257,0.015001451311232612,-0.012809469297747737,0.05169861961785292,0.11413757999720717,0.0008987436237005861
IL4,,,,,-0.03589417711558517,
SPX,0.06299372405475227,0.003618922442180207,-0.034676214169907925,-0.01197609172159363,,-0.01641386286730391
MFGE8,0.087903706800858,0.003472354826256684,0.06316642312608599,-0.03732287456909557,0.025835430951994517,0.005179448046384865
TGFA,-0.06514491675058526,-0.007634129309212342,0.06280855418067802,0.010148422392315011,0.04649976127698615,-0.0239352577426498
