,UKF243,UKF296,ZH1019T1,ZH1019inf
BMP1,0.024177402462101982,-0.011324388338962488,0.02235568876951784,0.001443472089905533
NDP,0.03186451281520673,0.04649736479202794,0.04850472307305403,-0.04816059608123127
TNFSF18,-0.019581141029990236,,0.012651841864341401,
RTN4,0.010691711746218226,-0.04932064844379505,0.008072007501831817,-0.05626875677669819
HEBP1,0.0211680147009885,0.019677349720960278,0.051119843581382475,-0.01525292167958075
WNT7B,0.048046822582163376,-0.012332312690747553,,0.06284822046506999
PTMA,-0.07711110035856267,-0.018087361474910437,-0.13971068433399084,-0.005657020071423837
CEACAM1,,,-0.03871610675127357,-0.026464638797996168
PDAP1,0.009440812177487422,0.005197852747044768,0.07381468473558409,-0.004419215441768022
QDPR,0.016072915437501105,-0.02490725422261646,-0.08444944600479498,-0.05278156930894753
POMC,-0.03697246209636492,0.02015802674036008,0.007918690291503805,-0.0020122995175981435
CCL18,0.1249694846716104,,,-0.01876386402818056
CCL17,,0.0594153709266767,,
VEGFD,0.046706476401751414,-0.011196288998412855,-0.052633698710259455,
WNT5A,0.06640124314967044,0.060786859677100555,-0.025860655214725484,-0.01604925200142562
CXCL8,-0.021530875909121623,-0.010426471146152526,-0.060727382449083656,-0.03303673686503225
GRN,-0.05286489285355054,0.01952284960757255,0.044392403387519846,0.07669441009155693
MIA,0.00848730627095026,-0.012733420819186759,0.06994258744102215,-0.03347680191890478
COL4A4,-0.02978473540353133,-0.021391134320868723,-0.04121322267037627,-0.023723386962321458
TAC1,-0.037303059046204054,-0.014776745133839673,,
RARRES2,-0.051140179167313046,-0.036076457575279566,-0.009559873146074807,0.05838790989880333
FGF7,0.06903889582055708,-0.04440359902009437,0.015955443913899296,0.018504910454668785
HBEGF,-0.020805522220682923,-0.01852746239841172,0.024482216295223187,0.014056011301553237
CSF3,-0.029784711822867335,,,
PI3,-0.03528443267970132,,,
PCSK1N,-0.03121453461370586,-0.029908876485017038,-0.016273896611602123,0.033372794396362176
NTS,,0.00345791133233094,,
SFRP1,0.003922792658713017,-0.01526394617283183,-0.0786262661664187,-0.029327377619433066
MICA,0.032427782265358765,-0.030832564311840633,0.021648981390416024,-0.04602256644573881
TG,-0.023743169313750926,0.16892954847873334,-0.01404433392733903,-0.030551957589062567
ADA,-0.01849815658683775,0.09349925231227003,-0.11208749901615012,-0.026390171792444222
LAMC3,0.021355662830435912,0.05778835866651779,0.01916116016455766,0.014907103047901164
NGF,-0.017159819156218975,,0.0014626813847546942,-0.02788428660541592
TNFSF15,-0.021228837900125367,,-0.043273642317922245,0.02198709318942871
HMGB1,-0.03300253127842675,0.033230701827353076,-0.12564537197198913,-0.021514543983012602
ITGB3BP,0.04905632577057972,0.038175649760966775,0.03417271412829932,0.016563672768131327
AANAT,-0.03075626253317818,0.009633594420914954,,-0.019543350931635544
RELN,-0.02958723929508617,-0.020202789809304313,0.04362445182651697,
IL15,-0.030176426635261155,0.026069629889997625,-0.06012146176702611,0.05270177596992211
BSG,0.03037908510363017,0.0178907727627174,0.05808293177314837,-0.02348673024272402
ADAMTS3,-0.011374874097826847,0.10306217458510232,,-0.023401173145036275
CD34,0.019097709836593358,-0.011516920686032177,0.027199711467340355,0.05874853031613106
PLAT,0.10629668287381991,0.05730293363843073,-0.04694106822205506,0.06019137847055176
NTF3,,-0.02055477996060242,,
CKLF,-0.0417059389415055,0.04417177587982118,-0.10099125603932124,0.08939648555510957
CD24,0.07559577207534493,0.04174253194532605,0.12032093381161013,0.05515890105066284
HSP90AA1,-0.0200147376894383,-0.032705677628853395,0.025271738615047012,-0.051987971030059386
BMP4,-0.03713804616715309,0.07403213807326305,0.02677533212035025,0.038962641508485746
SCGB3A1,,-0.010740765600047678,0.028731247420043564,
IGFBP4,-0.0009102800411464741,-0.005476141615645758,0.021513576090408028,-0.022593655291184823
RSPO4,-0.020962478388759538,-0.010740764028967736,0.06274154930522109,
LEFTY2,-0.035112286900586834,-0.011777379120193448,,-0.02497474619490392
