,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02743871474329185,,,,,,,,-0.03686262876411989,,,-0.0007803202926992504,,
BMP1,0.07740740650090712,0.04588237693982028,-0.005421035677547708,-0.02462290154243533,0.012089546435122334,-0.050312448449785954,-0.0537051256161707,-0.1427734734158114,-0.03489971305104405,0.011506449306744297,-0.08112995856705535,-0.10495000175197536,0.14908107433075174,0.04330589733929539,-0.05158277688387084,0.047844248278555455,-0.024042665485741858,-0.022720768536718526,0.001767821658405502,0.01626455734451012,-0.07147939638988977
NDP,-0.005366040052390187,0.10651019151577582,-0.010288349205875283,-0.019607035957604144,0.03979293221167679,0.06942606235818648,0.01580214867293422,0.009842906631278707,0.018968470998279197,-0.013488354830323328,-0.06599816750414542,0.03652365667868387,0.03620719797428611,0.04730091631578985,0.11190594414096017,0.03668110981019976,-0.024961867461951337,0.04309649594938939,0.09285673156873542,0.07154172659521783,0.01257014935005631
TNFSF18,-0.022645257348662986,-0.0432663598457227,0.0066859026072148536,0.04114876668095986,,,-0.008035669357806537,-0.00813116934535264,-0.008584843073536675,,,,,,,0.054950511186534455,,0.05194459095941762,-0.014232040187379676,-0.04887781642720443,
IL36G,,,,,,,,,,,,0.0024488750721572304,,,,,,,,,
RTN4,-0.06925963245337574,-0.0013987461740962873,0.0799176826153345,0.039958596358107494,0.003563185056309745,0.06942905992370502,0.21490758122486486,0.19685769268036918,0.08278962292086212,0.09070899004174428,0.2994686012011203,0.1338627596827298,0.010489982156626228,0.00948780702829573,-0.058817175264146475,-0.07942492007499405,0.15709676793857538,-0.05657820134633223,0.047152389009728735,0.23643733748988788,0.004594584233081987
HEBP1,0.017067644254747633,-0.02557346812880124,-0.012203109128320061,-0.038064248108331644,0.03296752698671001,-0.016104979790717393,-0.04588604000322249,-0.07907725149294208,-0.01640019451230467,0.03841288078490647,-0.09823274589777072,0.04683560156825435,0.01873877241358897,0.12808682623414283,0.06910377388870294,-0.0060069317727355605,0.012675552944697353,-0.018843873937428816,0.013062509944803596,0.052789716107249,0.014693897809091841
WNT7B,-0.019949762454988623,0.09982206808564656,0.04556252416713423,-0.018040736883436638,-0.0032367319707084677,-0.04541944207344033,0.04503363904874621,0.17955023968847708,-0.05156168869556344,0.03938045803807047,,-0.0009615774354640177,0.026323146447980606,-0.05705668685901578,0.02937684583680772,0.033199965957754776,0.0008278844339652914,0.08324855897029791,-0.062790273854627,0.11630201790020409,-0.038522222873515324
PTMA,-0.025645212248799093,-0.1280728461076624,0.030500189085724334,-0.014833638769323832,-0.06393437655472035,-0.06497227885392932,-0.2684247142219434,-0.002860999578238875,0.0767208943876477,-0.03722472124090267,-0.4208575635597974,-0.11903694148708883,-0.1428048580793589,-0.06437192565454052,-0.05918650442327943,-0.04956132916538783,0.010923842241544133,0.043924028689932025,-0.06328532233445565,-0.11040408950217248,-0.16421226875205783
FASLG,-0.01994976809473536,,,,,,,,,,,,,,,,,,0.040968721750395745,,
CEACAM1,-0.02770042759367028,,0.0987835060654253,-0.01384518048077963,0.03486735833974828,-0.0005922242297986086,,-0.0607532619129718,-0.01646152933082208,,,,-0.044493083946899416,0.04204505414961274,0.0290554544682947,0.07525725024552733,0.017657133398131856,,-0.011708364464588296,,
PDAP1,0.030858813394095057,-0.028906495492209493,0.0011881560716808439,-0.016199726390443637,0.006958877228595433,-0.0029226784758525763,-0.03195638845302479,-0.1021525183425738,0.012009023318131612,-0.008200278017103631,-0.012886374230956394,-0.07975818551920678,-0.02209742252206593,-0.04661507526040625,-0.0498563731430854,-0.02089429374837384,0.025901298924401045,-0.0573811808714789,0.09184378091890094,0.0448690557301403,0.019177167279282974
QDPR,-0.054896247754704794,0.13251167657749938,0.0899893912397352,-0.0014338805608755222,0.017958849312803272,0.03572001177942122,0.07441500530991803,0.010685442009782891,0.025195390915445294,0.04739970268963004,-0.3570470775881597,-0.0013515045590848838,-0.021727766439698485,0.026924027392435445,0.12585391177097363,-0.03173589242664901,0.012182468651231496,-0.05587192258031005,0.08699523789896055,0.12323992798417778,-0.02014463645551776
POMC,-0.048798997907150816,0.11061550927802145,0.03464894666322994,-0.024600676818287606,0.01523577706566729,0.021506609500903523,0.05164754977431171,0.003256646254973261,0.01998083695079204,-0.03951541575551674,-0.030249424661312023,0.02541653601433426,0.012410415703363866,0.08816072429951338,-0.014879572532997595,-0.010577307028499914,0.020676131547932207,,-0.0023832981540921104,0.050987972522214424,0.013038041452324685
CCL18,,-0.03477580174360017,-0.0157713602303553,,,,,,,,-0.09635519835954627,,-0.03815049339176396,0.09582621017056736,-0.0038589164311430293,,-0.056154125280602825,,,,
CCL17,,,,,0.04670885379558869,,,,-0.02683894755942908,-0.01648390239745535,,-0.011579545848269089,,-0.03301265617006993,0.025076792781965267,-0.00038020940656309634,,,-0.023125787933028042,,
VEGFD,,-0.018634213060856542,0.03817198909285731,-0.0198304432889332,0.09944470730749998,0.04530470605814617,,-0.03210865918580515,-0.02859462855515475,0.026874780648678754,-0.007304645894604302,0.03779895802145981,-0.04298079532008919,,0.029822288094757978,-0.007424169003931438,,,,,
TNFSF13,,,0.039654911365735644,,-0.012193529382569792,,0.04386111246095303,,,,,,,0.03794681727962734,0.07569402690180749,0.0053070712959427235,0.055094021685624814,,-0.01471325892730892,0.05965538141631837,
WNT5A,0.022570281861819575,-0.07532051378908719,-0.011934747028309012,0.03948093319897497,-0.029657251070810412,0.049361810457339624,-0.18056571233911517,-0.1560855375947953,0.029934414326823068,-0.010025875806775771,0.13705953931152778,-0.036702402179964934,0.08398122238077003,0.03290260496579485,0.02377533866642702,-0.0354882722205632,0.024323720086624513,0.024027550169102987,-0.03275333326010536,-0.10783176102520253,-0.015323683717467732
