,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk
IGFL3,,,-0.024568789076857472,,,,,
BMP1,-0.003230894139694101,-0.016852821598955414,-0.17541920475829326,-0.00266634364581717,-0.005166564434612459,-0.17286121039317562,-0.01370402563223855,0.0001501687561757892
NDP,0.0018666198155751826,0.034079970265046874,-0.03840450529373021,-0.0482259671544898,-0.0699812686775495,-0.044902873869665634,0.13613119295348253,0.031014844190388045
TNFSF18,-0.02007913906557326,-0.041482253116637426,-0.03648391420387346,,,,-0.004638752765518217,-0.0354351395101459
IL36G,,,,,,-0.02503180757592563,,
RTN4,0.014184741077195305,0.15068678135704622,0.2622772353949554,0.09841509642144003,0.19577248711933856,0.2063757073411789,-0.020573450744739548,0.07741701786404631
HEBP1,0.028014521665149537,-0.024749682359985092,-0.053841662957393524,-0.04186911235150928,0.012254184859676047,0.011740438660085022,-0.018244068464965426,-0.01405492246023309
WNT7B,0.01773524736493181,0.091316021803805,0.2786496268861898,-0.007167325788713683,,0.06130617969760021,-0.03458142320464531,0.0390655174383563
PTMA,0.0008836323123153555,-0.16337045790507046,0.048768041103035197,-0.07151036000291151,-0.19808838093544862,-0.22541233840338734,0.0027355816068978197,-0.09785786350085367
CEACAM1,0.014363079500961431,,-0.04801075312391973,,,,,
PDAP1,-0.006830462263839076,0.01916217900469692,-0.1635325298771182,-0.03823812787283903,0.005172014360703767,-0.11077738552312413,0.13249716151358856,0.035467510482120046
QDPR,-0.029996691858779727,0.09095387187257242,0.006090082678490164,-0.021223951274988728,-0.1298406567028592,-0.02539392915367461,-0.007036565230545972,0.07750467683848103
POMC,0.028111718173857908,0.09498067285413872,0.021590991089280465,0.013161396537316832,-0.06591352192417037,0.08951410091400437,,0.16919406120883576
CCL18,-0.025033668616951006,,,,-0.03281613208261615,,,
CCL17,,,,-0.014750277443418424,,-0.022867266873384192,,
VEGFD,0.12720860281136803,,-0.04115931212821131,-0.018883795740020845,0.07362971771672167,0.03302137598725624,,
TNFSF13,0.056087668874828016,0.08745269671098246,,,,,,-0.038548377329858795
WNT5A,0.027302451768188997,-0.05749044488067797,-0.15858723535045413,-0.0015438769973052022,0.010901689045869006,-0.03245359354671016,0.09782112802853872,-0.012286274452376116
CXCL8,-0.018373895807746354,-0.022457375266116703,-0.06993945970364285,-0.01758541168784371,-0.07052885571333507,-0.033852109070023395,0.028114973713882007,-0.06796849374382523
GRN,-0.03330651358911692,-0.06344055532335946,-0.19151705318707474,-0.11372045812157433,-0.11000840877199297,-0.015423120354133516,0.10535791416879213,-0.011979993838916372
MIA,0.06375262331580636,-0.018526256189130424,-0.04980826159269206,-0.008295498815299143,,-0.012682893853472467,,-0.02926981538594849
COL4A4,-0.03006523261625839,-0.03827624160311585,-0.024210718012767595,-0.02750458842116253,,-0.03255854253508665,,-0.04308364857842903
