,UKF251,UKF260,ZH1019T1,ZH1019inf,ZH881T1
BMP1,0.008097930224621498,0.024325148496188442,0.017946247135358515,0.07646179880868348,0.026537838850040737
NDP,0.06621198088181054,0.03222608807209477,0.04558721348958796,0.022419168591907217,-0.08061729351975523
TNFSF18,0.00045834729847779116,,0.04323214141393252,,
RTN4,-0.0010732603732956263,0.06722029057796408,-0.02562770483984936,0.02288670625932223,0.050988536825325115
HEBP1,-0.006849686232789775,0.058773092238718565,0.01681006564387555,0.013751996747327336,-0.009939637553156863
WNT7B,0.004830558646728616,-0.01838916810446037,,-0.0068470372867279325,0.01599559634651333
PTMA,-0.04431324045883779,0.019477610444076948,-0.015004207151955787,-0.10187619467850799,0.027426983923914926
CEACAM1,-0.012055895765191327,-0.01752851007327118,-0.04088559769897735,0.023384332522199975,-0.013517655370567795
PDAP1,0.009123897756341747,-0.02201727301586632,-0.04935138954205691,0.027093825890834294,0.04537870797563242
QDPR,-0.04994497923694264,6.720160496840268e-05,-0.04035575355477033,-0.12894188483618038,-0.046713395151257144
POMC,0.03880075141480398,-0.01288295207681443,0.08629396523107558,0.07520608680245758,0.047887418989399425
CCL18,,,,-0.019372871961644555,-0.04655136768892534
VEGFD,-0.017267651916911243,-0.016770286006143567,-5.81603217076436e-05,,
TNFSF13,,,,,-0.01517942099361404
WNT5A,0.03864852964073864,-0.036881725858730965,0.18855516942565836,0.04872144247632226,0.05552009858056389
CXCL8,-0.016168405768625736,-0.033167420643910046,0.08956480979577568,-0.03410899121607371,0.0384403852809149
GRN,0.028730023487498178,-0.03574842409091527,0.022448959373422016,0.028057057132753943,-0.051563578956732345
MIA,-0.01535664203924748,-0.04380231706997163,0.026621668683393322,0.0989256344985544,0.05676279860639826
COL4A4,-0.025825297987401127,-0.03354727299150088,-0.01980114164382023,-0.024493363276741113,-0.027242747705821333
TAC1,0.006355104606495377,-0.013283767069044437,,,-0.02332180645758247
RARRES2,0.03077680587110357,0.025926381959200613,-0.02515231330336296,-0.008999097866398378,-0.015587282890879591
FGF7,-0.019489738114043084,-0.020503054430504764,-0.09490976509995763,0.006115983009975618,0.0025323016271251646
HBEGF,0.006288297448352278,-0.03152825807103791,0.018535303324605082,0.03193344241235227,-0.012580576953444408
CSF3,,-0.05587417378411295,,,-0.01937940546739847
PI3,,0.0025700794729990456,,,-0.04141247261115148
PCSK1N,0.016052900699561598,0.03520531447278022,0.017102087220595006,0.0019967222732802485,-0.026743390057793474
NTS,,0.00407270094386325,,,-0.04480787234962017
