,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH881T1
IGFL3,,,,,,,-0.011819350528008853,,,
BMP1,-0.02991469998109267,-0.030400571896575707,-0.05300311205601003,0.06623711890562668,-0.030637745005980623,0.014750000576576886,-0.07610188926451662,-0.018385061208787294,-0.023356067111114744,0.01017918053131801
NDP,-0.013052502835257619,0.05741616621816976,0.011495534026218586,0.011535733153872211,0.06567779528136035,-0.00796668604520843,-0.04450744601154976,0.013480424343591951,0.02270289212007317,0.050440462548951556
TNFSF18,-0.02154481115696375,0.00394620208627058,-0.02454885082149262,,,-0.016689356549172044,-0.017551380707466976,-0.013134252838118263,,
RTN4,0.0683524651885818,0.049870941913054134,-0.030783969338323277,0.022802028504761568,0.11405830502216661,0.06015724895939095,0.10397511851280203,0.020614757613223088,0.052453400636480345,0.023497558023239464
HEBP1,-0.020911482980679037,-0.044980217849079254,-0.040926226286417206,-0.025900088721952142,0.04218981440482559,-0.01654316928953369,0.001875321920932103,-0.0029770176970504774,-0.02846031069842115,0.010924982484746677
WNT7B,0.09960891190234872,-0.01497628488383074,-0.015248985146462387,0.05360950231829897,0.027605912338010418,-0.009438941953630946,0.17197245273983777,-0.03764811312355243,0.05826908656211864,0.0576187476947125
PTMA,-0.09129448107096029,0.059599072384948236,0.05493347571122451,-0.009958230435151512,-0.032935271110696954,-0.0419563911552189,0.008844031933422852,-0.03852837520675374,0.0036613860996076147,-0.03291017363680962
CEACAM1,,0.04880021333124498,-0.01170267893521219,-0.0038084535990494653,-0.014343778456457557,,-0.023096617359128113,-0.020657050688277914,,-0.015527901153821931
PDAP1,0.019898899196887084,-0.012566950615628042,-0.023958540403093635,0.04226921353918865,-0.032938164529242725,0.013138564274443222,-0.062260678724391325,0.013255467593262212,-0.007768831873474347,0.021301580288126187
QDPR,0.05285950039469049,-0.033992273861170645,-0.039642522361285557,0.007112198926431519,0.12088148201846774,0.024625038729080964,0.02755614262518432,0.021745070630625533,0.028621255818172032,0.008874923132800205
