,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,ZH1019T1,ZH8812bulk,ZH916T1,ZH916inf
IGFL3,,,,,,,-0.020303952162060074,,-0.016360140301201972,0.1642076487477763,
BMP1,0.05823916375459191,0.157424714998939,0.005947811415064198,-0.06467132860890408,0.010733519995436728,-0.02018615230236325,0.003836142004068169,0.15741392111449493,0.05591616060512634,-0.04409589890506718,0.035814947760621996
NDP,-0.033767474313137674,0.042591710216225605,-0.01992273449527469,-0.020734471855653268,-0.028233830634733035,0.05967322938414212,-0.03223807666213075,0.09244960976090147,0.0658802204749774,0.08879454811650334,0.01032571164813063
TNFSF18,-0.018422624768358906,0.0386163360127237,-0.025085406454303145,,,-0.014612399379496597,-0.03015075941931203,-0.03448345073078312,-0.016871923919195043,-0.02731047891225095,
RTN4,-0.040643089407814095,-0.08236920703252575,-0.03202292610972407,-0.024784611447862957,0.04035887288144548,-0.0027349014306040334,-0.018553199493413667,-0.008573179231752116,-0.06991716834363505,0.01498963285232913,0.05233487223789431
HEBP1,-0.021828380461091243,-0.05356480947674145,0.04403419872274224,0.02098381251972357,-0.0053459315042124,-0.029567943914322894,0.030514196358155915,0.014375198957436504,0.06913606703337422,0.05920669897687671,0.009127779140130498
WNT7B,-0.016229755408270923,-0.01768810879902513,-0.02626943148681822,0.004957289266148493,0.03808941716652626,0.01677730562637663,-0.0445398720755665,,-0.035280557818166663,0.059999125265155356,0.05284982491498906
PTMA,-0.02064660507283891,-0.12914725268253646,-0.00040010071231177404,-0.08454505959376156,-0.0034643164289267893,0.04528749256180494,-0.011688550707419235,-0.03242188044072189,-0.030860409120875686,-0.06625117628589867,-0.03317554869882139
FASLG,-0.0162297599963812,,,,,,,,,-0.014042015114464037,
CEACAM1,0.05804558610868177,,0.04579939626940048,0.04526553395999787,-0.0021322321488964086,,0.061025644289208425,0.06831031231993742,0.05676710732850926,0.15173828246842605,
PDAP1,0.08965739953775756,0.0037603367148256422,0.013550684250105185,0.05033968110443147,-0.025472927562259343,0.025945184236555733,-0.004658451900120601,0.02337009158765982,0.015480489847948073,0.04168235247135946,0.021686164379750874
QDPR,-0.05734186575619082,0.055200037040574315,-0.018226004195735522,-0.00014233594083248814,0.025626256227117512,0.004573798155710232,-0.04748266707779566,-0.053787211033786135,-0.04266301933748325,0.028547848654645477,-0.016259431987891163
POMC,0.014299288567673107,0.13098062804138078,0.039917256961185955,-0.02411225010216554,0.01897289667739028,-0.01662535902644836,-0.017852484510184247,-0.020159622669419633,0.0255042510283509,0.0656374067179503,0.004007566899538828
CCL18,,-0.04064105637561815,,,,,,,,,
